시군구,스포츠용품,스포츠시설,박물관,문화재,해수욕장,휴양림,공연장,미술관,맛집
고령군,10,2,17,31,0,12,7,1,0
해남군,15,6,9,40,23,11,7,5,0
사하구,40,45,2,4,40,0,4,12,3
보성군,12,2,11,28,31,60,5,9,1
곡성군,9,5,6,39,0,1,8,3,0
밀양시,34,12,23,102,0,3,4,2,3
금정구,61,43,7,18,0,0,23,8,8
예산군,22,8,20,62,0,41,4,5,0
금산군,19,9,9,41,0,59,6,2,3
양천구,134,83,4,0,0,0,10,8,7
장성군,8,7,3,69,0,32,1,2,0
의정부시,146,72,0,16,0,1,12,7,16
완도군,5,21,2,19,66,9,3,2,0
오산시,56,28,4,7,0,1,8,8,4
영광군,11,13,5,43,20,0,3,1,1
강진군,8,13,24,39,0,38,1,3,0
군포시,73,43,2,3,0,1,10,4,5
동대문구,102,70,18,17,0,0,15,1,11
양평군,36,32,24,41,0,156,11,23,18
함안군,12,15,4,71,0,0,1,0,0
아산시,74,42,20,49,0,20,13,6,7
청양군,13,3,6,25,0,16,7,3,0
봉화군,3,9,4,88,0,25,4,3,0
정읍시,40,15,11,71,0,2,6,4,0
진주시,152,46,56,300,0,4,25,18,5
울진군,13,22,0,32,63,43,5,4,3
괴산군,5,14,12,60,0,63,2,1,0
익산시,94,34,58,87,0,0,15,7,1
청송군,2,5,2,42,0,90,4,6,2
동래구,76,72,12,17,0,0,12,4,13
광산구,117,64,2,23,0,0,7,15,8
무주군,99,11,11,17,0,40,1,3,1
영천시,27,15,6,76,0,57,4,6,0
영덕군,16,10,1,74,84,17,6,0,13
통영시,37,185,7,58,215,46,12,12,18
의성군,25,3,25,107,0,27,2,2,0
함양군,13,3,8,48,0,69,3,5,0
김천시,48,20,1,30,0,0,0,0,1
장수군,0,14,0,30,0,69,4,1,0
광진구,160,83,8,24,0,0,36,4,28
구례군,0,2,2,35,0,47,0,0,2
완주군,13,13,25,40,0,29,10,17,3
은평구,91,62,17,14,0,0,14,6,6
구로구,121,73,4,3,0,0,17,4,10
파주시,171,97,54,65,0,3,23,20,43
하동군,10,7,15,63,0,23,5,4,5
산청군,4,5,6,68,0,40,7,1,2
신안군,2,12,14,26,107,17,0,8,7
나주시,26,21,36,85,0,2,6,7,1
관악구,84,88,7,49,0,0,17,13,27
고흥군,4,42,12,55,64,15,5,11,0
강북구,65,35,4,11,0,0,12,3,2
칠곡군,37,17,6,23,0,72,7,5,2
인제군,10,14,14,6,0,44,3,5,1
철원군,18,9,0,9,0,11,0,0,0
진도군,10,13,4,13,27,10,7,14,0
서대문구,66,56,27,23,0,0,36,13,23
춘천시,134,85,61,30,0,45,28,23,23
광주시,203,52,21,25,0,2,11,9,22
논산시,34,16,8,90,0,9,6,5,2
화천군,9,3,10,9,0,2,3,0,0
남원시,30,11,5,79,0,46,10,14,3
성주군,15,5,4,56,0,3,7,2,1
음성군,22,16,18,24,0,32,4,2,0
거제시,64,123,11,62,66,46,8,3,30
진안군,4,5,19,27,0,55,3,6,0
예천군,14,7,3,74,0,27,5,4,1
합천군,10,6,19,88,0,31,5,4,0
사천시,30,85,11,22,14,6,7,2,4
