,지역,기간,교통,관광쇼핑,외식,목욕,유흥,패션쇼핑,골프,종교활동,종합쇼핑,미용,레저스포츠,체험,미술공예참여,공연관람,악기연주,숙박,인터넷게임,애완동물돌보기,자전거,스포츠용품구매,사진촬영,교육훈련,여행사,독서,헬스,운동경기관람,음악감상,스키
33,42830,202305,959,4307,203637,1966,1986,2498,5518,6662,44679,1927,5644,1101,385,55,0,23434,1633,876,33,2980,419,408,453,55,1388,0,0,0
68,43111,202305,11,300,1492342,8091,14930,56467,8532,366,741942,98516,12040,5123,1358,19399,66,5368,118648,12972,1003,25880,9194,8721,22,18398,6269,0,221,0
103,43112,202305,132,299,1143157,2004,18021,5303,15236,544,625081,87887,17119,311,934,6843,11,651,77612,8266,912,43679,16701,12266,0,2935,10023,0,176,0
138,43130,202305,66,165,860927,8288,16057,37636,30789,121,581875,36292,9582,8985,220,7067,121,16733,20678,7063,320,18351,5872,2765,0,2100,12839,0,0,0
173,43150,202305,22,838,352706,2800,4879,12620,9656,606,349704,20048,14033,3548,628,8474,0,17565,20288,6516,88,13489,3529,4644,22,1839,2601,0,231,0
208,43710,202305,0,0,49970,0,155,99,0,0,3228,88,0,0,77,0,0,11,0,0,0,789,0,0,0,0,0,0,0,0
243,43720,202305,0,55,68812,720,563,665,4582,985,31731,1280,2296,342,132,476,0,1202,232,77,0,623,11,233,0,22,485,0,55,0
278,43740,202305,0,11,75396,342,742,722,7592,330,20792,1531,374,66,44,22,0,749,2457,554,77,963,254,100,0,22,165,0,0,0
313,43745,202305,99,22,155575,1256,1161,3682,511,22,90764,8661,4437,9153,0,55,0,838,7079,1437,77,1524,735,420,0,298,4771,0,0,0
348,43750,202305,33,0,256784,88,4463,3446,20145,0,194803,11316,8663,77,0,934,0,3373,7985,1711,44,3182,1088,825,0,664,2343,0,11,0
383,43770,202305,11,0,552520,3519,5467,6142,20184,55,207052,9747,10754,166,22,2089,0,4007,9884,3176,11,3099,1154,1380,0,332,2029,0,0,0
418,44131,202305,44,872,920937,6499,11089,40528,17382,353,609648,42617,8077,5019,1979,13651,209,15523,45695,11073,143,11981,37819,10825,33,3170,6855,0,0,0
453,44133,202305,44,11,1257373,13052,30527,6192,13283,44,925705,50332,27999,1391,1628,20656,77,11723,47792,12598,853,61740,10897,21494,11,4024,14841,0,33,0
488,44150,202305,33,1270,705051,1898,1315,5799,6865,6230,198574,7198,5860,1460,199,2403,22,5247,4974,2212,11,1841,2004,397,22,573,264,0,0,0
523,44180,202305,55,2124,238595,2652,4618,3336,832,110,119732,9377,4471,1312,11,862,11,21102,4679,2285,88,7986,2531,366,0,1400,830,0,0,0
558,44200,202305,1248,0,1271976,6343,18908,50736,15274,0,651206,72652,7296,8924,408,11275,11,22008,56945,8174,2106,30724,10539,3840,0,987,22180,0,553,0
593,44230,202305,11,11,272693,1586,3579,5313,7217,719,142342,10055,3341,288,110,3917,0,2164,7719,1431,99,2288,1583,1192,11,786,1509,0,0,0
628,44250,202305,0,0,117291,942,717,532,16376,0,70106,5549,644,22,11,88,11,872,4296,1177,11,1263,441,1314,0,22,893,0,0,0
663,44270,202305,963,121,439137,4045,4355,3417,8974,99,271809,26751,8155,11048,121,3723,0,6553,19290,2841,55,18773,3314,2802,11,3343,6325,0,0,0
698,44710,202305,55,44,187207,419,1399,1399,2344,33,86975,1934,529,121,11,33,0,982,2768,355,33,828,99,433,0,210,819,0,0,0
733,44760,202305,0,1063,103426,1063,475,818,5525,462,94853,2101,597,487,286,110,0,7377,707,620,44,1010,541,188,22,99,763,0,0,0
768,44770,202305,11,0,130157,110,687,499,400,11,32978,2273,1947,8522,0,2086,0,1910,1189,88,11,771,132,231,0,22,408,0,0,0
803,44800,202305,176,0,217679,1970,2969,6989,1497,110,174329,9574,2614,1609,44,2557,0,2317,3974,2527,88,8348,1553,802,0,488,1631,0,0,0
838,44810,202305,1276,1255,252626,2938,1579,1356,520,2575,54250,5191,1332,9769,187,264,11,20346,2223,1231,66,4376,155,2041,0,410,1609,0,77,0
873,44825,202305,22,187,164403,829,1351,2627,17144,44,83564,3790,4708,2909,121,298,0,18181,2907,1989,0,6154,165,523,0,66,642,0,0,0
908,45111,202305,0,5161,1394309,10280,18360,44006,9504,266,530234,65591,18424,9999,1837,17998,144,10605,18357,17033,587,19219,25664,13056,88,6779,3271,0,132,0
943,45113,202305,77,44,737461,10412,6322,20837,6124,99,327840,41259,21310,1196,264,6910,200,4362,26219,6649,687,30954,6326,13956,0,2439,8702,0,89,0
978,45130,202305,154,341,740467,5299,8908,22840,17723,132,515625,23049,17673,815,574,7336,77,8864,37921,5541,299,11032,4177,3137,0,3383,5410,0,529,0
1013,45140,202305,66,397,602610,5324,9358,19107,14368,66,436589,18356,6942,2984,187,5695,121,3322,19738,6608,321,11944,8193,2678,11,3628,3313,0,77,0
1048,45180,202305,11,77,143303,2452,2176,5395,6062,253,64733,10494,2085,696,0,364,11,1369,3656,1335,99,4288,430,612,0,531,1634,0,0,0
1083,45190,202305,11,793,202489,1768,1121,2091,6108,22,50914,3206,1290,2171,330,839,22,4443,1631,832,22,3809,717,289,573,299,997,0,0,0
1118,45210,202305,44,410,93118,918,1197,3321,6151,1869,88850,4395,1533,99,110,264,0,761,3699,868,44,12681,597,769,0,210,520,0,0,0
1153,45710,202305,44,88,337429,2812,2810,1735,2127,286,120397,4655,1508,2480,949,397,0,2832,5122,1503,11,1000,121,1224,0,609,2774,0,0,0
1188,45740,202305,0,0,11348,132,77,11,1705,0,38162,489,232,44,11,44,0,221,286,0,0,33,22,66,0,0,22,0,0,0
1223,45770,202305,0,0,48030,863,187,198,1655,0,17376,854,55,2813,0,507,0,441,220,110,11,165,11,122,0,0,11,0,0,0
1258,45790,202305,0,574,76410,221,953,918,5641,418,69976,1332,788,10399,121,1271,0,1931,440,165,11,1101,176,277,0,143,33,0,0,0
1293,46110,202305,827,77,765384,2763,11581,12791,3107,165,449668,34034,7942,265,342,15176,77,8355,32258,7792,421,19876,5052,1938,33,4449,4595,0,11,0
1328,46130,202305,1439,5676,1377706,8031,14540,13015,10217,4175,399725,53467,9086,25866,522,9942,155,35114,19157,5723,188,12677,9948,4467,385,3055,3689,0,377,0
1363,46150,202305,275,374,676617,6360,4545,21824,14405,463,458803,40149,9338,1353,841,17923,22,7366,58958,4592,799,7915,7882,15196,33,4756,8904,0,44,0
1398,46170,202305,132,11,395405,2997,1508,2690,11103,88,181552,10366,3003,2110,143,2434,11,2553,7311,3178,66,6625,1176,3455,0,854,1867,0,2128,0
1433,46710,202305,0,838,192560,2163,298,2305,5361,22,54159,1142,1393,6944,1424,707,0,770,1051,342,22,410,1159,342,0,342,554,0,0,0
1468,46720,202305,0,2016,130292,66,143,199,3966,320,22421,456,599,3965,143,55,0,1023,788,44,0,99,33,33,22,209,231,0,0,0
1503,46730,202305,782,154,60954,342,377,288,0,3251,28126,842,264,209,33,1037,0,2699,22,253,0,209,11,66,0,22,332,0,0,0
1538,46770,202305,0,22,59791,121,1400,763,121,66,30454,954,496,353,22,165,0,2600,708,300,0,2235,143,77,0,0,352,0,0,0
1573,46780,202305,0,165,60290,1987,266,542,2660,55,24747,542,532,1298,88,3466,0,1890,89,132,0,242,22,165,0,165,165,0,0,0
1608,46800,202305,0,0,36597,264,444,519,3514,0,29604,979,854,199,651,210,0,1368,753,88,22,610,77,55,11,121,866,0,0,0
1643,46820,202305,11,687,67495,633,776,1122,2888,1016,36850,2269,776,352,110,309,0,2123,1654,288,0,3662,231,422,915,399,154,0,11,0
1678,46830,202305,0,33,109408,954,719,332,8613,77,52538,2770,1821,444,132,454,0,1842,1112,408,254,1099,11,221,0,99,650,0,0,0
1713,46870,202305,0,242,50983,275,898,720,3099,0,22871,2437,521,22,11,374,0,1261,818,220,22,2178,99,55,0,932,529,0,0,0
1748,46880,202305,11,0,117178,343,309,255,4035,1061,32711,652,708,731,232,0,0,1369,1030,110,0,397,121,387,0,0,352,0,0,0
1783,46890,202305,4716,0,43766,286,850,866,377,11,19031,1945,440,738,210,66,0,2486,1888,55,11,895,55,122,55,210,176,0,0,0
1818,46900,202305,121,0,39570,407,554,110,132,0,14942,488,66,463,0,11,0,12617,352,0,0,939,55,22,0,122,11,0,0,0
1853,46910,202305,231,396,28087,0,155,938,0,0,21150,22,55,828,22,506,0,4974,0,0,0,220,121,0,0,0,0,0,44,0
1888,47111,202305,629,1148,722394,12967,11618,4926,7437,254,488679,27857,6695,276,608,6546,22,7782,22111,5790,477,9650,3640,8446,88,3075,5416,0,11,0
1923,47113,202305,66,66,437110,8991,16280,24774,13648,688,393456,17638,10823,1881,399,6504,22,6382,23628,5197,489,13226,10913,9117,22,14375,8008,0,22,0
1958,47130,202305,1385,9261,978854,8854,9154,35081,43807,14936,236583,36099,11046,32750,5951,8763,33,41260,16179,3603,1047,19516,16156,5126,0,4701,6394,11,22,0
