기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
서울특별시 강남구,4681899.0,258510.0,27999477.0,29437557.0,28349901.0,2173397.0,98580294.0,0.0,7660.0,191488692.0
서울특별시 강동구,86946.0,262613.0,5863096.0,9500638.0,2338230.0,877446.0,25413995.0,0.0,17301.0,44360264.0
서울특별시 강북구,419085.0,57251.0,2505485.0,6420236.0,3277662.0,3538251.0,11829140.0,154548.0,564.0,28202221.0
서울특별시 강서구,25319180.0,836708.0,5323442.0,16538216.0,4454421.0,299757.0,15966889.0,0.0,12375.0,68751676.0
서울특별시 관악구,20944.0,116978.0,4175451.0,16565924.0,4156550.0,698803.0,24840712.0,502648.0,3576.0,51082096.0
서울특별시 광진구,3321744.0,356093.0,16988076.0,9025195.0,11145648.0,578576.0,17957341.0,23859.0,250518.0,59647049.0
서울특별시 구로구,10567.0,32230.0,6617155.0,25993097.0,6166465.0,123636.0,12711235.0,1180880.0,1057.0,52835793.0
서울특별시 금천구,0.0,10296.0,2098084.0,15233085.0,2391662.0,416871.0,6242769.0,1056.0,6864.0,26400951.0
서울특별시 노원구,481727.0,2617319.0,4513052.0,28106131.0,960941.0,381661.0,13174592.0,42742.0,6537.0,50284702.0
서울특별시 도봉구,58644.0,107078.0,2411479.0,11375135.0,1254043.0,297148.0,10595482.0,81159.0,524.0,26180431.0
서울특별시 동대문구,461397.0,301736.0,2205633.0,21513487.0,2541152.0,342461.0,18657178.0,102738.0,152719.0,46278501.0
서울특별시 동작구,36277.0,5804.0,8185103.0,8425983.0,4098356.0,997381.0,26618756.0,484.0,967.0,48369595.0
서울특별시 마포구,221603.0,186025.0,23979932.0,15400423.0,11368866.0,577389.0,49881105.0,16264.0,20331.0,101652955.0
서울특별시 서대문구,26777.0,52145.0,11338674.0,15748432.0,8680699.0,2529022.0,32019017.0,64124.0,7751.0,70465936.0
서울특별시 서초구,5633684.0,188472.0,21203136.0,41037799.0,13746188.0,3541368.0,49677480.0,1535093.0,12292.0,136574146.0
서울특별시 성동구,5726.0,2603.0,12970931.0,16772100.0,1062995.0,47371.0,21131316.0,48413.0,15096.0,52056551.0
서울특별시 성북구,72324.0,1391139.0,2574022.0,14153635.0,1524023.0,3453668.0,20396553.0,0.0,3485.0,43568414.0
서울특별시 송파구,228246.0,370243.0,21440424.0,38759794.0,9067793.0,287149.0,34230630.0,784662.0,14726.0,105182615.0
서울특별시 양천구,0.0,1556871.0,4141324.0,16502967.0,129137.0,192844.0,11908804.0,689.0,3788.0,34436423.0
서울특별시 영등포구,884895.0,476039.0,14366587.0,43326264.0,10577471.0,20155.0,26276199.0,46068.0,960.0,95975597.0
서울특별시 용산구,8701952.0,138642.0,24033921.0,11960048.0,12174859.0,228503.0,27327106.0,1014999.0,1712.0,85581742.0
서울특별시 은평구,744216.0,22503.0,2324941.0,13842024.0,1364831.0,2592689.0,11605463.0,111535.0,4240.0,32612439.0
서울특별시 종로구,6824439.0,115352.0,29610632.0,12501180.0,14166217.0,17129261.0,35964340.0,193419.0,11652.0,116517658.0
서울특별시 중구,537321.0,99995.0,11092186.0,46680669.0,35536679.0,995128.0,25526364.0,0.0,6024.0,120475569.0
서울특별시 중랑구,231103.0,53594.0,2622374.0,18052713.0,899011.0,174102.0,8941474.0,0.0,4957.0,30979018.0
경기도 가평군,1766811.0,3742919.0,1760579.0,66216.0,8394431.0,121527.0,8022840.0,2083612.0,8050.0,25967244.0
경기도 고양시 덕양구,2889715.0,3363898.0,4254493.0,15030864.0,1058189.0,1480321.0,28780461.0,53195.0,287713.0,57199421.0
경기도 고양시 일산동구,785563.0,454598.0,6263715.0,13316276.0,1792134.0,345188.0,31696040.0,547.0,50876.0,54704936.0
경기도 고양시 일산서구,648156.0,221708.0,12042354.0,12104945.0,1304607.0,2639.0,11279197.0,32804.0,69001.0,37705411.0
경기도 과천시,38100.0,2168280.0,8426102.0,477065.0,120801.0,925058.0,5808384.0,82881.0,10292.0,18056965.0
경기도 광명시,11715035.0,971354.0,1123330.0,9988462.0,1127990.0,49464.0,9750820.0,1110785.0,6093.0,35843333.0
경기도 광주시,397960.0,5386757.0,2949781.0,2209391.0,2925382.0,1291476.0,23630638.0,3216069.0,60157.0,42067609.0
경기도 구리시,212372.0,467619.0,2535238.0,15768402.0,1791135.0,813424.0,18379373.0,0.0,102580.0,40070142.0
경기도 군포시,199030.0,935670.0,1654923.0,8399296.0,663891.0,208181.0,10782394.0,30198.0,3432.0,22877014.0
경기도 김포시,210372.0,1010790.0,3668505.0,12348974.0,2152092.0,315330.0,24031694.0,1771049.0,125037.0,45633843.0
경기도 남양주시,3777184.0,2688887.0,4567078.0,10527358.0,2139538.0,2038769.0,38298440.0,826950.0,146927.0,65011781.0
경기도 동두천시,158803.0,329130.0,665718.0,911041.0,839774.0,18050.0,5147790.0,402600.0,1017.0,8474008.0
경기도 부천시,2027107.0,225999.0,8855916.0,23963436.0,2298807.0,373744.0,24699656.0,115817.0,43197.0,62603679.0
경기도 성남시 분당구,890592.0,1582852.0,5009957.0,19818701.0,2601105.0,246964.0,45806952.0,18237.0,13678.0,75989038.0
경기도 성남시 수정구,141248.0,997026.0,4351673.0,4364645.0,3371943.0,451130.0,22244447.0,61256.0,49725.0,36032733.0
경기도 성남시 중원구,0.0,34301.0,2039619.0,8804759.0,2976633.0,88947.0,9574525.0,52516.0,84925.0,23655988.0
경기도 수원시 권선구,2427807.0,677450.0,2683929.0,14431571.0,1561498.0,96462.0,14960817.0,17001.0,102006.0,36958541.0
경기도 수원시 영통구,7438.0,306924.0,5719987.0,18187832.0,915317.0,16858.0,24243997.0,176022.0,9917.0,49583795.0
경기도 수원시 장안구,12015.0,63869.0,6594278.0,6661308.0,723739.0,667459.0,15506480.0,597899.0,791086.0,31618132.0
경기도 수원시 팔달구,6915052.0,115475.0,6815272.0,9890497.0,6314693.0,4160466.0,21829836.0,11211.0,3363.0,56055866.0
경기도 시흥시,173299.0,2557704.0,8376280.0,10938733.0,1883025.0,194665.0,22538851.0,744949.0,71694.0,47479199.0
경기도 안산시 단원구,843918.0,1504808.0,6074680.0,12143499.0,5347522.0,65368.0,18666736.0,377780.0,57253.0,45081112.0
경기도 안산시 상록구,1361880.0,2671437.0,3202670.0,3349873.0,1608470.0,218301.0,12323257.0,158469.0,139943.0,25034550.0
