시도명,시군구명,코드,소비액,인구,나눔
서울 ,종로구 ,11110,471861793,140397,3360.91
서울 ,중구 ,11140,1563239458,121441,12872.42
서울 ,용산구 ,11170,379294352,217288,1745.58
서울 ,성동구 ,11200,583839393,279374,2089.81
서울 ,광진구 ,11215,86920699,336169,258.56
서울 ,동대문구 ,11230,43719807,338115,129.3
서울 ,중랑구 ,11260,946375296,384272,2462.77
서울 ,성북구 ,11290,291320159,429142,678.84
서울 ,강북구 ,11305,94366163,291384,323.85
서울 ,도봉구 ,11320,2174316185,308986,7036.94
서울 ,노원구 ,11350,407667066,500104,815.16
서울 ,은평구 ,11380,123141663,463298,265.79
서울 ,서대문구 ,11410,109367835,308122,354.95
서울 ,마포구 ,11440,5782376097,365111,15837.31
서울 ,양천구 ,11470,37599130,438353,85.77
서울 ,강서구 ,11500,2458950565,566839,4338.01
서울 ,구로구 ,11530,106484963,394833,269.7
서울 ,금천구 ,11545,383609553,229235,1673.43
서울 ,영등포구 ,11560,890374581,376139,2367.14
서울 ,동작구 ,11590,610648081,380622,1604.34
서울 ,관악구 ,11620,154140121,487192,316.38
서울 ,서초구 ,11650,4399708870,404484,10877.34
서울 ,강남구 ,11680,18162998591,537139,33814.34
서울 ,송파구 ,11710,4750176289,657101,7228.99
서울 ,강동구 ,11740,1111596844,458953,2422.03
부산 ,중구 ,26110,973339197,39311,24759.97
부산 ,서구 ,26140,16664945,104449,159.55
부산 ,동구 ,26170,117203684,86809,1350.13
부산 ,영도구 ,26200,60526815,107006,565.64
부산 ,부산진구 ,26230,977561611,357475,2734.63
부산 ,동래구 ,26260,57040503,272590,209.25
부산 ,남구 ,26290,26679372,255786,104.3
부산 ,북구 ,26320,1040362521,276684,3760.11
부산 ,해운대구 ,26350,975831267,383355,2545.5
부산 ,사하구 ,26380,15967564,300922,53.06
부산 ,금정구 ,26410,17076541,218711,78.08
부산 ,강서구 ,26440,138500577,143052,968.18
부산 ,연제구 ,26470,988866362,202919,4873.21
부산 ,수영구 ,26500,634157756,175511,3613.21
부산 ,사상구 ,26530,546548198,203029,2691.97
