지역,피벗 필드명,피벗 필드값
고령군,스포츠,0.1992610837438423
해남군,스포츠,0.276784031871652
사하구,스포츠,0.9986836792376644
보성군,스포츠,0.1471636149580196
곡성군,스포츠,0.2579115165839583
밀양시,스포츠,0.4734986136908127
금정구,스포츠,1.143583945732052
예산군,스포츠,0.32634645466754
금산군,스포츠,0.3210366144227082
양천구,스포츠,1.9848352941253715
장성군,스포츠,0.1896820910387897
의정부시,스포츠,1.909132891269692
완도군,스포츠,0.333180087932762
오산시,스포츠,1.1420765027322404
영광군,스포츠,0.3617191621480841
강진군,스포츠,0.2661848232792269
군포시,스포츠,1.4063446626380367
동대문구,스포츠,1.6090904886834791
양평군,스포츠,0.5406878174434111
함안군,스포츠,0.3922874741888281
아산시,스포츠,1.0852757568416131
청양군,스포츠,0.2886819719330928
봉화군,스포츠,0.1412649853610183
정읍시,스포츠,0.6372101031200132
진주시,스포츠,1.315938304643676
울진군,스포츠,0.362518215542523
괴산군,스포츠,0.2112234206439792
익산시,스포츠,1.0703500076026926
청송군,스포츠,0.0719972933586474
동래구,스포츠,1.4753444995971354
광산구,스포츠,1.682101646552979
무주군,스포츠,1.1379579531077553
영천시,스포츠,0.4239384654326098
영덕군,스포츠,0.2401806398082127
통영시,스포츠,1.5585371962928949
의성군,스포츠,0.2752140488726663
함양군,스포츠,0.1768864400768825
김천시,스포츠,1.0148138577081482
장수군,스포츠,0.1842178382884134
광진구,스포츠,1.939255101216777
구례군,스포츠,0.0227272727272727
완주군,스포츠,0.2974820318178147
은평구,스포츠,1.5047161430994105
구로구,스포츠,1.82024415192872
파주시,스포츠,1.9245154251638477
하동군,스포츠,0.2053713669033058
산청군,스포츠,0.1037670490528186
신안군,스포츠,0.1370358855955648
나주시,스포츠,0.4873387369547077
관악구,스포츠,1.4872472305693574
고흥군,스포츠,0.4594375146240607
강북구,스포츠,1.258100670763192
칠곡군,스포츠,0.5837598501859058
인제군,스포츠,0.3622575346480168
철원군,스포츠,0.7013894019655178
진도군,스포츠,0.3440642509123491
서대문구,스포츠,1.1202051199224743
춘천시,스포츠,1.6241399452253042
광주시,스포츠,2.012354478498456
논산시,스포츠,0.5381080640283247
화천군,스포츠,0.3831327895771084
남원시,스포츠,0.4040342861710866
성주군,스포츠,0.3053388316795745
음성군,스포츠,0.5069110147819751
거제시,스포츠,1.429257625384902
진안군,스포츠,0.1117281282213281
예천군,스포츠,0.2518434771685195
합천군,스포츠,0.1692785164435641
사천시,스포츠,1.2366942798219327
고령군,역사,0.9820218579234972
해남군,역사,0.703288110043339
사하구,역사,0.0861202185792349
보성군,역사,0.518944221053717
곡성군,역사,0.8621634726391134
밀양시,역사,1.4001092896174865
금정구,역사,0.3235636221701795
예산군,역사,1.040708358631856
금산군,역사,0.6220454881110619
양천구,역사,0.0818339330934293
장성군,역사,0.8693442622950819
의정부시,역사,0.1125925925925926
완도군,역사,0.2614745492878964
오산시,역사,0.1837346900320332
영광군,역사,0.7201459072728297
강진군,역사,1.0234426229508196
군포시,역사,0.078247878153703
동대문구,역사,0.501321283452431
양평군,역사,0.7207251253946124
함안군,역사,1.0303957769642953
아산시,역사,0.7899034844936484
청양군,역사,0.6063515233176135
봉화군,역사,1.0353776920604307
정읍시,역사,0.9673301059889244
진주시,역사,2.5054915327598333
울진군,역사,0.2796396396396396
괴산군,역사,0.8553200375900596
익산시,역사,1.7306845369960122
청송군,역사,0.4603685845923069
동래구,역사,0.3941646771712027
광산구,역사,0.2153857553023988
무주군,역사,0.39
영천시,역사,0.781013360798787
영덕군,역사,0.6024266251267215
통영시,역사,0.4182569232194128
의성군,역사,1.4576022086802278
함양군,역사,0.6669864671581032
김천시,역사,0.4263934426229508
장수군,역사,0.3542372881355932
광진구,역사,0.304442001625006
구례군,역사,0.5699080973671138
완주군,역사,0.9765027322404372
은평구,역사,0.4729742388758782
구로구,역사,0.1057461842849067
파주시,역사,1.351912568306011
하동군,역사,1.0468107302533531
산청군,역사,0.8814182998479806
신안군,역사,0.5234287493983408
나주시,역사,1.5311059634117368
관악구,역사,0.4745786597641644
고흥군,역사,0.7021700294241278
강북구,역사,0.2158768007948335
칠곡군,역사,0.3466249555404662
인제군,역사,0.4556937637316207
철원군,역사,0.2214893617021276
진도군,역사,0.2823764915802387
서대문구,역사,0.724207650273224
춘천시,역사,1.312121212121212
광주시,역사,0.5609289617486338
논산시,역사,1.0076181292189006
화천군,역사,0.721712204007286
남원시,역사,0.7695429706905117
성주군,역사,0.8974017274810506
음성군,역사,0.7310141706029454
거제시,역사,0.5637499834610143
진안군,역사,0.788030031684805
예천군,역사,0.8662173649058895
합천군,역사,1.26125046096081
사천시,역사,0.4359816441747426
고령군,자연힐링,0.2269230769230769
해남군,자연힐링,0.4705930129747291
사하구,자연힐링,0.4527131782945736
보성군,자연힐링,1.10112847515217
곡성군,자연힐링,0.0204947634525099
밀양시,자연힐링,0.03562421185372
금정구,자연힐링,0.0
예산군,자연힐링,0.5159069325735992
금산군,자연힐링,0.7768537768537769
양천구,자연힐링,0.0
장성군,자연힐링,0.4674232870954182
의정부시,자연힐링,0.0101139601139601
완도군,자연힐링,0.9552202329807165
오산시,자연힐링,0.0150309460654288
영광군,자연힐링,0.2992088228242627
강진군,자연힐링,0.5451770451770451
군포시,자연힐링,0.0135024549918166
동대문구,자연힐링,0.0
양평군,자연힐링,1.457478005865103
함안군,자연힐링,0.0
아산시,자연힐링,0.2147852147852147
청양군,자연힐링,0.3217421847558833
봉화군,자연힐링,0.3440799396681749
정읍시,자연힐링,0.0262433316124591
진주시,자연힐링,0.0322416857070322
울진군,자연힐링,1.141637254427952
괴산군,자연힐링,0.8051200391964723
익산시,자연힐링,0.0
청송군,자연힐링,1.1651583710407238
동래구,자연힐링,0.0
광산구,자연힐링,0.0
무주군,자연힐링,0.474989491382934
영천시,자연힐링,0.6638139347563431
영덕군,자연힐링,0.956685608053597
통영시,자연힐링,1.737244676227727
의성군,자연힐링,0.3144381796214257
함양군,자연힐링,0.90539494062984
김천시,자연힐링,0.0
장수군,자연힐링,1.0270534550195567
광진구,자연힐링,0.0
구례군,자연힐링,0.8353729603729603
완주군,자연힐링,0.3792307692307692
은평구,자연힐링,0.0
구로구,자연힐링,0.0
파주시,자연힐링,0.0255332902391725
하동군,자연힐링,0.3216783216783216
산청군,자연힐링,0.5571621361095045
신안군,자연힐링,1.2491358242111343
나주시,자연힐링,0.0236900780379041
관악구,자연힐링,0.0
고흥군,자연힐링,0.7736359570661897
강북구,자연힐링,0.0
칠곡군,자연힐링,0.8875739644970415
인제군,자연힐링,0.7356595294739625
철원군,자연힐링,0.3045553737043098
진도군,자연힐링,0.5672349798595646
서대문구,자연힐링,0.0
춘천시,자연힐링,0.3933566433566433
광주시,자연힐링,0.0186176142697881
논산시,자연힐링,0.1106334841628959
화천군,자연힐링,0.0683760683760683
남원시,자연힐링,0.5271950271950272
성주군,자연힐링,0.0514888337468982
음성군,자연힐링,0.4763146458061712
거제시,자연힐링,0.8730349797358075
진안군,자연힐링,0.8147489765136824
예천군,자연힐링,0.3730769230769231
합천군,자연힐링,0.3889019977977033
사천시,자연힐링,0.2140750551003666
고령군,문화예술,0.3379227053140096
해남군,문화예술,0.5152840246543395
사하구,문화예술,0.7395169082125603
보성군,문화예술,0.6182435511803847
곡성군,문화예술,0.5075865822957066
밀양시,문화예술,0.2308545180961431
금정구,문화예술,1.17123878536922
예산군,문화예술,0.3840579710144927
금산군,문화예술,0.3076772424598512
양천구,문화예술,0.6987745964416165
장성군,문화예술,0.1393244634513344
의정부시,문화예술,0.7080515297906602
완도군,문화예술,0.2096599338126212
오산시,문화예술,0.7079793436615026
영광군,문화예술,0.1680487076049604
강진군,문화예술,0.1899585921325051
군포시,문화예술,0.5509816013978825
동대문구,문화예술,0.5285209959123003
양평군,문화예술,1.405262300423591
함안군,문화예술,0.0374865156418554
아산시,문화예술,0.7042317585795846
청양군,문화예술,0.4618655284230031
봉화군,문화예술,0.2930164819551009
정읍시,문화예술,0.407693804104659
진주시,문화예술,1.5480102358061891
울진군,문화예술,0.3614505810157984
괴산군,문화예술,0.1181420966798978
익산시,문화예술,0.7953388170779475
청송군,문화예술,0.4373401534526854
동래구,문화예술,0.5849162797242156
광산구,문화예술,0.9398386964709736
무주군,문화예술,0.1800704838837411
영천시,문화예술,0.4243366972709107
영덕군,문화예술,0.1938159879336349
통영시,문화예술,0.8957504298698109
의성군,문화예술,0.1634544856716493
함양군,문화예술,0.3544159128489446
김천시,문화예술,0.0
장수군,문화예술,0.1969622533366085
광진구,문화예술,1.2905311192800102
구례군,문화예술,0.0
완주군,문화예술,1.1969082125603865
은평구,문화예술,0.7449965493443754
구로구,문화예술,0.7366525070797935
파주시,문화예술,1.598790240733975
하동군,문화예술,0.3809837505489679
산청군,문화예술,0.2980730812538593
신안군,문화예술,0.3892768641585942
나주시,문화예술,0.5416666666666667
관악구,문화예술,1.1427027714213067
고흥군,문화예술,0.6940728353771832
강북구,문화예술,0.5774044795783926
칠곡군,문화예술,0.4828416659520338
인제군,문화예술,0.3831988644852831
철원군,문화예술,0.0
진도군,문화예술,1.0174258109040717
서대문구,문화예술,1.7660370634354954
춘천시,문화예술,1.8966588966588969
광주시,문화예술,0.7548309178743962
논산시,문화예술,0.4487638533674339
화천군,문화예술,0.1666666666666666
남원시,문화예술,1.007685551163812
성주군,문화예술,0.378175159731962
음성군,문화예술,0.2489150904773601
거제시,문화예술,0.3792913873975038
진안군,문화예술,0.4198331506515649
예천군,문화예술,0.3794685990338164
합천군,문화예술,0.3680166562935301
사천시,문화예술,0.3311247230896522
고령군,맛집,0.0
해남군,맛집,0.0
사하구,맛집,0.2693023255813953
보성군,맛집,0.088635366388767
곡성군,맛집,0.0
밀양시,맛집,0.2584826534502478
금정구,맛집,0.7009966777408638
예산군,맛집,0.0
금산군,맛집,0.2701131363922061
양천구,맛집,0.5737379466817925
장성군,맛집,0.0
의정부시,맛집,1.2940568475452197
완도군,맛집,0.0
오산시,맛집,0.3825180433039294
영광군,맛집,0.1006952769120115
강진군,맛집,0.0
군포시,맛집,0.4552201880257298
동대문구,맛집,0.9084675014907572
양평군,맛집,1.4141717247493693
함안군,맛집,0.0
아산시,맛집,0.5792811839323467
청양군,맛집,0.0
봉화군,맛집,0.0
정읍시,맛집,0.0
진주시,맛집,0.3735896845498503
울진군,맛집,0.257950974230044
괴산군,맛집,0.0
익산시,맛집,0.0799025769956002
청송군,맛집,0.17875056999544
동래구,맛집,1.096297132535561
광산구,맛집,0.6598344501379582
무주군,맛집,0.0861608844834159
영천시,맛집,0.0
영덕군,맛집,1.0834473324213407
통영시,맛집,1.3473393772171858
의성군,맛집,0.0
함양군,맛집,0.0
김천시,맛집,0.0997674418604651
장수군,맛집,0.0
광진구,맛집,2.198386331276697
구례군,맛집,0.2077167019027484
완주군,맛집,0.2693023255813953
은평구,맛집,0.5043189368770764
구로구,맛집,0.8269847634322374
파주시,맛집,3.2710084033613445
하동군,맛집,0.4624735729386892
산청군,맛집,0.1846476656758174
신안군,맛집,0.5971803831786963
나주시,맛집,0.086071789686552
관악구,맛집,2.1679314565483474
고흥군,맛집,0.0
강북구,맛집,0.1849894291754756
칠곡군,맛집,0.1750378423008118
인제군,맛집,0.1006952769120115
철원군,맛집,0.0
진도군,맛집,0.0
서대문구,맛집,1.8874380480365995
춘천시,맛집,1.7654903236298582
광주시,맛집,1.7261880687563198
논산시,맛집,0.174829001367989
화천군,맛집,0.0
남원시,맛집,0.2547568710359408
성주군,맛집,0.1020255063765941
음성군,맛집,0.0
거제시,맛집,2.310940931358748
진안군,맛집,0.0
예천군,맛집,0.0919896640826873
합천군,맛집,0.0
사천시,맛집,0.3453681099832969
