기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
강릉시,기타관광,7464285,15.1,280026,3.8
강릉시,레저스포츠,7464285,15.1,133673,1.8
강릉시,문화관광,7464285,15.1,570125,7.6
강릉시,쇼핑,7464285,15.1,852399,11.4
강릉시,숙박,7464285,15.1,1428245,19.1
강릉시,역사관광,7464285,15.1,196059,2.6
강릉시,음식,7464285,15.1,2946422,39.5
강릉시,자연관광,7464285,15.1,1019005,13.7
강릉시,체험관광,7464285,15.1,38331,0.5
고성군,기타관광,2580641,5.2,72712,2.8
고성군,레저스포츠,2580641,5.2,138349,5.4
고성군,문화관광,2580641,5.2,187846,7.3
고성군,쇼핑,2580641,5.2,18897,0.7
고성군,숙박,2580641,5.2,907563,35.2
고성군,역사관광,2580641,5.2,104815,4.1
고성군,음식,2580641,5.2,669978,26.0
고성군,자연관광,2580641,5.2,471118,18.3
고성군,체험관광,2580641,5.2,9363,0.4
동해시,기타관광,1070282,2.2,78089,7.3
동해시,레저스포츠,1070282,2.2,17217,1.6
동해시,문화관광,1070282,2.2,96311,9.0
동해시,쇼핑,1070282,2.2,95551,8.9
동해시,숙박,1070282,2.2,233501,21.8
동해시,역사관광,1070282,2.2,10957,1.0
동해시,음식,1070282,2.2,257444,24.1
동해시,자연관광,1070282,2.2,281174,26.3
동해시,체험관광,1070282,2.2,38,0.0
삼척시,기타관광,2498243,5.1,167629,6.7
삼척시,레저스포츠,2498243,5.1,45270,1.8
삼척시,문화관광,2498243,5.1,115866,4.6
삼척시,쇼핑,2498243,5.1,83587,3.3
삼척시,숙박,2498243,5.1,988728,39.6
삼척시,역사관광,2498243,5.1,18464,0.7
삼척시,음식,2498243,5.1,596846,23.9
삼척시,자연관광,2498243,5.1,478713,19.2
삼척시,체험관광,2498243,5.1,3140,0.1
속초시,기타관광,7579591,15.4,427529,5.6
속초시,레저스포츠,7579591,15.4,75894,1.0
속초시,문화관광,7579591,15.4,313332,4.1
속초시,쇼핑,7579591,15.4,1136053,15.0
속초시,숙박,7579591,15.4,1839109,24.3
속초시,역사관광,7579591,15.4,34811,0.5
속초시,음식,7579591,15.4,2880120,38.0
속초시,자연관광,7579591,15.4,813745,10.7
속초시,체험관광,7579591,15.4,58998,0.8
