기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
가평군,기타관광,4059295,2.3,276200,6.8
가평군,레저스포츠,4059295,2.3,585093,14.4
가평군,문화관광,4059295,2.3,275239,6.8
가평군,쇼핑,4059295,2.3,10364,0.3
가평군,숙박,4059295,2.3,1312235,32.3
가평군,역사관광,4059295,2.3,19013,0.5
가평군,음식,4059295,2.3,1254165,30.9
가평군,자연관광,4059295,2.3,325717,8.0
가평군,체험관광,4059295,2.3,1269,0.0
고양시 덕양구,기타관광,5719807,3.2,288937,5.1
고양시 덕양구,레저스포츠,5719807,3.2,336409,5.9
고양시 덕양구,문화관광,5719807,3.2,425457,7.4
고양시 덕양구,쇼핑,5719807,3.2,1503075,26.3
고양시 덕양구,숙박,5719807,3.2,105836,1.9
고양시 덕양구,역사관광,5719807,3.2,148032,2.6
고양시 덕양구,음식,5719807,3.2,2877968,50.3
고양시 덕양구,자연관광,5719807,3.2,5317,0.1
고양시 덕양구,체험관광,5719807,3.2,28776,0.5
고양시 일산동구,기타관광,5430050,3.0,77975,1.4
고양시 일산동구,레저스포츠,5430050,3.0,45108,0.8
고양시 일산동구,문화관광,5430050,3.0,621758,11.5
고양시 일산동구,쇼핑,5430050,3.0,1321807,24.3
고양시 일산동구,숙박,5430050,3.0,177863,3.3
고양시 일산동구,역사관광,5430050,3.0,34287,0.6
고양시 일산동구,음식,5430050,3.0,3146167,57.9
고양시 일산동구,자연관광,5430050,3.0,61,0.0
고양시 일산동구,체험관광,5430050,3.0,5024,0.1
고양시 일산서구,기타관광,3470325,1.9,59639,1.7
고양시 일산서구,레저스포츠,3470325,1.9,20394,0.6
고양시 일산서구,문화관광,3470325,1.9,1108359,31.9
고양시 일산서구,쇼핑,3470325,1.9,1114107,32.1
고양시 일산서구,숙박,3470325,1.9,120089,3.5
고양시 일산서구,역사관광,3470325,1.9,233,0.0
고양시 일산서구,음식,3470325,1.9,1038121,29.9
고양시 일산서구,자연관광,3470325,1.9,3027,0.1
고양시 일산서구,체험관광,3470325,1.9,6356,0.2
과천시,기타관광,2606963,1.4,5509,0.2
과천시,레저스포츠,2606963,1.4,313052,12.0
과천시,문화관광,2606963,1.4,1216521,46.7
과천시,쇼핑,2606963,1.4,68866,2.6
과천시,숙박,2606963,1.4,17445,0.7
과천시,역사관광,2606963,1.4,133550,5.1
과천시,음식,2606963,1.4,838578,32.2
과천시,자연관광,2606963,1.4,11964,0.5
과천시,체험관광,2606963,1.4,1478,0.1
광명시,기타관광,3730063,2.1,1219128,32.7
광명시,레저스포츠,3730063,2.1,101098,2.7
광명시,문화관광,3730063,2.1,116912,3.1
광명시,쇼핑,3730063,2.1,1039468,27.9
광명시,숙박,3730063,2.1,117375,3.1
광명시,역사관광,3730063,2.1,5146,0.1
광명시,음식,3730063,2.1,1014712,27.2
광명시,자연관광,3730063,2.1,115578,3.1
