기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
거제시,기타관광,2767007,9.4,217729,7.9
거제시,레저스포츠,2767007,9.4,69624,2.5
거제시,문화관광,2767007,9.4,343600,12.4
거제시,쇼핑,2767007,9.4,136244,4.9
거제시,숙박,2767007,9.4,664348,24.0
거제시,역사관광,2767007,9.4,162112,5.9
거제시,음식,2767007,9.4,782568,28.3
거제시,자연관광,2767007,9.4,369726,13.4
거제시,체험관광,2767007,9.4,21056,0.8
거창군,기타관광,363323,1.2,95592,26.3
거창군,레저스포츠,363323,1.2,30453,8.4
거창군,문화관광,363323,1.2,42979,11.8
거창군,쇼핑,363323,1.2,10860,3.0
거창군,숙박,363323,1.2,37368,10.3
거창군,역사관광,363323,1.2,7911,2.2
거창군,음식,363323,1.2,85064,23.4
거창군,자연관광,363323,1.2,29910,8.2
거창군,체험관광,363323,1.2,23186,6.4
고성군,기타관광,458000,1.6,41991,9.2
고성군,레저스포츠,458000,1.6,40021,8.7
고성군,문화관광,458000,1.6,103047,22.5
고성군,쇼핑,458000,1.6,17717,3.9
고성군,숙박,458000,1.6,75216,16.4
고성군,역사관광,458000,1.6,25194,5.5
고성군,음식,458000,1.6,112306,24.5
고성군,자연관광,458000,1.6,39492,8.6
고성군,체험관광,458000,1.6,3016,0.7
김해시,기타관광,3550452,12.1,101726,2.9
김해시,레저스포츠,3550452,12.1,167297,4.7
김해시,문화관광,3550452,12.1,342614,9.6
김해시,쇼핑,3550452,12.1,1021096,28.8
김해시,숙박,3550452,12.1,212211,6.0
김해시,역사관광,3550452,12.1,76590,2.2
김해시,음식,3550452,12.1,1591376,44.8
김해시,자연관광,3550452,12.1,24500,0.7
김해시,체험관광,3550452,12.1,13042,0.4
남해군,기타관광,1132826,3.9,227153,20.1
남해군,레저스포츠,1132826,3.9,32695,2.9
남해군,문화관광,1132826,3.9,65074,5.7
남해군,쇼핑,1132826,3.9,19037,1.7
남해군,숙박,1132826,3.9,254508,22.5
남해군,역사관광,1132826,3.9,103154,9.1
남해군,음식,1132826,3.9,268031,23.7
남해군,자연관광,1132826,3.9,154067,13.6
남해군,체험관광,1132826,3.9,9107,0.8
밀양시,기타관광,1060284,3.6,160228,15.1
밀양시,레저스포츠,1060284,3.6,86961,8.2
밀양시,문화관광,1060284,3.6,85934,8.1
밀양시,쇼핑,1060284,3.6,28684,2.7
밀양시,숙박,1060284,3.6,167646,15.8
밀양시,역사관광,1060284,3.6,142729,13.5
밀양시,음식,1060284,3.6,298902,28.2
밀양시,자연관광,1060284,3.6,79944,7.5
밀양시,체험관광,1060284,3.6,9256,0.9
사천시,기타관광,1063578,3.6,198835,18.7
사천시,레저스포츠,1063578,3.6,63406,6.0
사천시,문화관광,1063578,3.6,90562,8.5
사천시,쇼핑,1063578,3.6,113712,10.7
사천시,숙박,1063578,3.6,120036,11.3
사천시,역사관광,1063578,3.6,38262,3.6
사천시,음식,1063578,3.6,343738,32.3
사천시,자연관광,1063578,3.6,93351,8.8
사천시,체험관광,1063578,3.6,1676,0.2
산청군,기타관광,399645,1.4,60816,15.2
산청군,레저스포츠,399645,1.4,4264,1.1
산청군,문화관광,399645,1.4,29797,7.5
산청군,쇼핑,399645,1.4,3963,1.0
산청군,숙박,399645,1.4,88962,22.3
산청군,역사관광,399645,1.4,91355,22.9
산청군,음식,399645,1.4,97868,24.5
산청군,자연관광,399645,1.4,20540,5.1
산청군,체험관광,399645,1.4,2080,0.5
양산시,기타관광,2905744,9.9,77300,2.7
양산시,레저스포츠,2905744,9.9,282460,9.7
양산시,문화관광,2905744,9.9,237988,8.2
양산시,쇼핑,2905744,9.9,463107,15.9
양산시,숙박,2905744,9.9,251956,8.7
양산시,역사관광,2905744,9.9,282828,9.7
양산시,음식,2905744,9.9,1234245,42.5
양산시,자연관광,2905744,9.9,70859,2.4
양산시,체험관광,2905744,9.9,5001,0.2
의령군,기타관광,183989,0.6,15658,8.5
