기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
경산시,기타관광,1506051,5.9,94914,6.3
경산시,레저스포츠,1506051,5.9,129573,8.6
경산시,문화관광,1506051,5.9,111991,7.4
경산시,쇼핑,1506051,5.9,182410,12.1
경산시,숙박,1506051,5.9,113187,7.5
경산시,역사관광,1506051,5.9,64853,4.3
경산시,음식,1506051,5.9,774359,51.4
경산시,자연관광,1506051,5.9,31537,2.1
경산시,체험관광,1506051,5.9,3227,0.2
경주시,기타관광,6724966,26.5,425844,6.3
경주시,레저스포츠,6724966,26.5,290360,4.3
경주시,문화관광,6724966,26.5,806617,12.0
경주시,쇼핑,6724966,26.5,172613,2.6
경주시,숙박,6724966,26.5,1342564,20.0
경주시,역사관광,6724966,26.5,1125050,16.7
경주시,음식,6724966,26.5,2373916,35.3
경주시,자연관광,6724966,26.5,180853,2.7
경주시,체험관광,6724966,26.5,7149,0.1
고령군,기타관광,191135,0.8,18087,9.5
고령군,레저스포츠,191135,0.8,61231,32.0
고령군,문화관광,191135,0.8,32615,17.1
고령군,쇼핑,191135,0.8,11736,6.1
고령군,숙박,191135,0.8,15689,8.2
고령군,역사관광,191135,0.8,3584,1.9
고령군,음식,191135,0.8,40888,21.4
고령군,자연관광,191135,0.8,3940,2.1
고령군,체험관광,191135,0.8,3365,1.8
구미시,기타관광,1913995,7.5,198847,10.4
구미시,레저스포츠,1913995,7.5,91271,4.8
구미시,문화관광,1913995,7.5,171845,9.0
구미시,쇼핑,1913995,7.5,256476,13.4
구미시,숙박,1913995,7.5,187019,9.8
구미시,역사관광,1913995,7.5,50535,2.6
구미시,음식,1913995,7.5,939762,49.1
구미시,자연관광,1913995,7.5,15456,0.8
구미시,체험관광,1913995,7.5,2784,0.1
군위군,기타관광,393608,1.6,23015,5.8
군위군,레저스포츠,393608,1.6,108625,27.6
군위군,문화관광,393608,1.6,67481,17.1
군위군,쇼핑,393608,1.6,9296,2.4
군위군,숙박,393608,1.6,25552,6.5
군위군,역사관광,393608,1.6,26577,6.8
군위군,음식,393608,1.6,119196,30.3
군위군,자연관광,393608,1.6,13418,3.4
군위군,체험관광,393608,1.6,448,0.1
김천시,기타관광,834999,3.3,233666,28.0
김천시,레저스포츠,834999,3.3,46004,5.5
김천시,문화관광,834999,3.3,40456,4.8
김천시,쇼핑,834999,3.3,69464,8.3
김천시,숙박,834999,3.3,87158,10.4
김천시,역사관광,834999,3.3,82582,9.9
김천시,음식,834999,3.3,250346,30.0
김천시,자연관광,834999,3.3,22360,2.7
김천시,체험관광,834999,3.3,2963,0.4
문경시,기타관광,846817,3.3,108235,12.8
문경시,레저스포츠,846817,3.3,33466,4.0
문경시,문화관광,846817,3.3,73898,8.7
문경시,쇼핑,846817,3.3,27608,3.3
문경시,숙박,846817,3.3,159811,18.9
문경시,역사관광,846817,3.3,114679,13.5
문경시,음식,846817,3.3,221245,26.1
문경시,자연관광,846817,3.3,77057,9.1
문경시,체험관광,846817,3.3,30818,3.6
봉화군,기타관광,176778,0.7,49594,28.1
봉화군,레저스포츠,176778,0.7,1228,0.7
봉화군,문화관광,176778,0.7,13964,7.9
봉화군,쇼핑,176778,0.7,2716,1.5
봉화군,숙박,176778,0.7,23620,13.4
봉화군,역사관광,176778,0.7,20939,11.8
봉화군,음식,176778,0.7,36466,20.6
봉화군,자연관광,176778,0.7,28102,15.9
봉화군,체험관광,176778,0.7,149,0.1
상주시,기타관광,508624,2.0,55858,11.0
상주시,레저스포츠,508624,2.0,49919,9.8
상주시,문화관광,508624,2.0,70625,13.9
상주시,쇼핑,508624,2.0,30896,6.1
상주시,숙박,508624,2.0,74886,14.7
상주시,역사관광,508624,2.0,16175,3.2
상주시,음식,508624,2.0,173842,34.2
상주시,자연관광,508624,2.0,34179,6.7
상주시,체험관광,508624,2.0,2244,0.4
성주군,기타관광,203044,0.8,14745,7.3
성주군,레저스포츠,203044,0.8,10006,4.9
성주군,문화관광,203044,0.8,17809,8.8
성주군,쇼핑,203044,0.8,6237,3.1
성주군,숙박,203044,0.8,56394,27.8
성주군,역사관광,203044,0.8,11731,5.8
성주군,음식,203044,0.8,59108,29.1
성주군,자연관광,203044,0.8,24310,12.0
성주군,체험관광,203044,0.8,2704,1.3
안동시,기타관광,1222198,4.8,153499,12.6
안동시,레저스포츠,1222198,4.8,49376,4.0
안동시,문화관광,1222198,4.8,101209,8.3
안동시,쇼핑,1222198,4.8,168272,13.8
안동시,숙박,1222198,4.8,143859,11.8
안동시,역사관광,1222198,4.8,206201,16.9
안동시,음식,1222198,4.8,376818,30.8
안동시,자연관광,1222198,4.8,12020,1.0
안동시,체험관광,1222198,4.8,10944,0.9
영덕군,기타관광,831103,3.3,38050,4.6
영덕군,레저스포츠,831103,3.3,48615,5.8
영덕군,문화관광,831103,3.3,107930,13.0
영덕군,쇼핑,831103,3.3,44857,5.4
영덕군,숙박,831103,3.3,126254,15.2
영덕군,역사관광,831103,3.3,7505,0.9
영덕군,음식,831103,3.3,144461,17.4
영덕군,자연관광,831103,3.3,311676,37.5
영덕군,체험관광,831103,3.3,1755,0.2
영양군,기타관광,34552,0.1,3444,10.0
영양군,레저스포츠,34552,0.1,956,2.8
영양군,문화관광,34552,0.1,3317,9.6
영양군,쇼핑,34552,0.1,1089,3.2
영양군,숙박,34552,0.1,5083,14.7
영양군,역사관광,34552,0.1,5329,15.4
영양군,음식,34552,0.1,5022,14.5
영양군,자연관광,34552,0.1,10192,29.5
영양군,체험관광,34552,0.1,120,0.3
영주시,기타관광,591064,2.3,88442,15.0
영주시,레저스포츠,591064,2.3,5372,0.9
영주시,문화관광,591064,2.3,47178,8.0
영주시,쇼핑,591064,2.3,43149,7.3
영주시,숙박,591064,2.3,82886,14.0
영주시,역사관광,591064,2.3,112959,19.1
영주시,음식,591064,2.3,191848,32.5
영주시,자연관광,591064,2.3,14754,2.5
영주시,체험관광,591064,2.3,4476,0.8
영천시,기타관광,782863,3.1,91890,11.7
영천시,레저스포츠,782863,3.1,122951,15.7
영천시,문화관광,782863,3.1,66735,8.5
영천시,쇼핑,782863,3.1,61496,7.9
영천시,숙박,782863,3.1,78293,10.0
영천시,역사관광,782863,3.1,85583,10.9
영천시,음식,782863,3.1,246812,31.5
영천시,자연관광,782863,3.1,25840,3.3
영천시,체험관광,782863,3.1,3263,0.4
예천군,기타관광,311779,1.2,46005,14.8
예천군,레저스포츠,311779,1.2,31797,10.2
예천군,문화관광,311779,1.2,38158,12.2
예천군,쇼핑,311779,1.2,7199,2.3
예천군,숙박,311779,1.2,20111,6.5
예천군,역사관광,311779,1.2,36275,11.6
예천군,음식,311779,1.2,109061,35.0
예천군,자연관광,311779,1.2,6854,2.2
예천군,체험관광,311779,1.2,16319,5.2
울릉군,기타관광,154398,0.6,26809,17.4
울릉군,레저스포츠,154398,0.6,1846,1.2
울릉군,문화관광,154398,0.6,35178,22.8
울릉군,쇼핑,154398,0.6,608,0.4
울릉군,숙박,154398,0.6,20562,13.3
울릉군,역사관광,154398,0.6,854,0.6
울릉군,음식,154398,0.6,27563,17.9
울릉군,자연관광,154398,0.6,40978,26.5
울진군,기타관광,1050534,4.1,99825,9.5
울진군,레저스포츠,1050534,4.1,75963,7.2
울진군,문화관광,1050534,4.1,92049,8.8
울진군,쇼핑,1050534,4.1,17547,1.7
울진군,숙박,1050534,4.1,173616,16.5
울진군,역사관광,1050534,4.1,30694,2.9
울진군,음식,1050534,4.1,150067,14.3
울진군,자연관광,1050534,4.1,302162,28.8
울진군,체험관광,1050534,4.1,108611,10.3
의성군,기타관광,186896,0.7,14958,8.0
의성군,레저스포츠,186896,0.7,50807,27.2
의성군,문화관광,186896,0.7,18965,10.1
의성군,쇼핑,186896,0.7,8784,4.7
의성군,숙박,186896,0.7,12696,6.8
의성군,역사관광,186896,0.7,20068,10.7
의성군,음식,186896,0.7,40599,21.7
의성군,자연관광,186896,0.7,16128,8.6
의성군,체험관광,186896,0.7,3891,2.1
청도군,기타관광,769135,3.0,61723,8.0
청도군,레저스포츠,769135,3.0,81365,10.6
청도군,문화관광,769135,3.0,72103,9.4
청도군,쇼핑,769135,3.0,9011,1.2
청도군,숙박,769135,3.0,118928,15.5
