기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
광산구,기타관광,2437804,30.9,229132,9.4
광산구,레저스포츠,2437804,30.9,51587,2.1
광산구,문화관광,2437804,30.9,239437,9.8
광산구,쇼핑,2437804,30.9,396351,16.3
광산구,숙박,2437804,30.9,230119,9.4
광산구,역사관광,2437804,30.9,6390,0.3
광산구,음식,2437804,30.9,1282585,52.6
광산구,자연관광,2437804,30.9,725,0.0
광산구,체험관광,2437804,30.9,1478,0.1
남구,기타관광,589647,7.5,18748,3.2
남구,레저스포츠,589647,7.5,17891,3.0
남구,문화관광,589647,7.5,38850,6.6
남구,쇼핑,589647,7.5,78668,13.3
남구,숙박,589647,7.5,32400,5.5
남구,역사관광,589647,7.5,9399,1.6
남구,음식,589647,7.5,392573,66.6
남구,자연관광,589647,7.5,895,0.2
남구,체험관광,589647,7.5,223,0.0
동구,기타관광,856690,10.8,6160,0.7
동구,레저스포츠,856690,10.8,13165,1.5
동구,문화관광,856690,10.8,143145,16.7
동구,쇼핑,856690,10.8,229460,26.8
동구,숙박,856690,10.8,75502,8.8
동구,역사관광,856690,10.8,23051,2.7
동구,음식,856690,10.8,366012,42.7
동구,자연관광,856690,10.8,38,0.0
동구,체험관광,856690,10.8,157,0.0
북구,기타관광,1428716,18.1,44128,3.1
북구,레저스포츠,1428716,18.1,10307,0.7
북구,문화관광,1428716,18.1,286631,20.1
북구,쇼핑,1428716,18.1,203392,14.2
북구,숙박,1428716,18.1,99105,6.9
북구,역사관광,1428716,18.1,14417,1.0
북구,음식,1428716,18.1,770150,53.9
북구,자연관광,1428716,18.1,398,0.0
북구,체험관광,1428716,18.1,188,0.0
서구,기타관광,2585641,32.7,246282,9.5
서구,레저스포츠,2585641,32.7,13229,0.5
서구,문화관광,2585641,32.7,274097,10.6
서구,쇼핑,2585641,32.7,627393,24.3
서구,숙박,2585641,32.7,225238,8.7
서구,역사관광,2585641,32.7,14513,0.6
서구,음식,2585641,32.7,1173999,45.4
서구,자연관광,2585641,32.7,10808,0.4
서구,체험관광,2585641,32.7,82,0.0
