기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
남구,기타관광,695469,4.7,13417,1.9
남구,레저스포츠,695469,4.7,507,0.1
남구,문화관광,695469,4.7,61475,8.8
남구,쇼핑,695469,4.7,100806,14.5
남구,숙박,695469,4.7,38609,5.6
남구,역사관광,695469,4.7,9694,1.4
남구,음식,695469,4.7,470806,67.7
남구,체험관광,695469,4.7,155,0.0
달서구,기타관광,2299385,15.4,13,0.0
달서구,레저스포츠,2299385,15.4,24175,1.1
달서구,문화관광,2299385,15.4,376979,16.4
달서구,쇼핑,2299385,15.4,550533,23.9
달서구,숙박,2299385,15.4,154089,6.7
달서구,역사관광,2299385,15.4,7239,0.3
달서구,음식,2299385,15.4,1085849,47.2
달서구,자연관광,2299385,15.4,81079,3.5
달서구,체험관광,2299385,15.4,19429,0.8
달성군,기타관광,1367656,9.2,28420,2.1
달성군,레저스포츠,1367656,9.2,35107,2.6
달성군,문화관광,1367656,9.2,318837,23.3
달성군,쇼핑,1367656,9.2,30285,2.2
달성군,숙박,1367656,9.2,58894,4.3
달성군,역사관광,1367656,9.2,58516,4.3
달성군,음식,1367656,9.2,795410,58.2
달성군,자연관광,1367656,9.2,38652,2.8
달성군,체험관광,1367656,9.2,3535,0.3
동구,기타관광,3582482,24.1,730951,20.4
동구,레저스포츠,3582482,24.1,39906,1.1
동구,문화관광,3582482,24.1,274918,7.7
동구,쇼핑,3582482,24.1,1164753,32.5
동구,숙박,3582482,24.1,253046,7.1
동구,역사관광,3582482,24.1,95799,2.7
동구,음식,3582482,24.1,1004158,28.0
동구,자연관광,3582482,24.1,5790,0.2
동구,체험관광,3582482,24.1,13161,0.4
북구,기타관광,2080324,14.0,32055,1.5
북구,레저스포츠,2080324,14.0,28135,1.4
북구,문화관광,2080324,14.0,374402,18.0
북구,쇼핑,2080324,14.0,747874,35.9
북구,숙박,2080324,14.0,146911,7.1
북구,역사관광,2080324,14.0,3167,0.2
북구,음식,2080324,14.0,736066,35.4
북구,자연관광,2080324,14.0,10104,0.5
북구,체험관광,2080324,14.0,1610,0.1
서구,기타관광,574752,3.9,109252,19.0
서구,레저스포츠,574752,3.9,1823,0.3
서구,문화관광,574752,3.9,18744,3.3
서구,쇼핑,574752,3.9,210904,36.7
서구,숙박,574752,3.9,41623,7.2
서구,역사관광,574752,3.9,239,0.0
서구,음식,574752,3.9,192150,33.4
서구,체험관광,574752,3.9,17,0.0
수성구,기타관광,2786165,18.7,1910,0.1
수성구,레저스포츠,2786165,18.7,45588,1.6
수성구,문화관광,2786165,18.7,283967,10.2
수성구,쇼핑,2786165,18.7,216068,7.8
수성구,숙박,2786165,18.7,337225,12.1
수성구,역사관광,2786165,18.7,12407,0.4
수성구,음식,2786165,18.7,1760074,63.2
수성구,자연관광,2786165,18.7,128106,4.6
수성구,체험관광,2786165,18.7,820,0.0
중구,기타관광,1507662,10.1,5047,0.3
중구,레저스포츠,1507662,10.1,2600,0.2
중구,문화관광,1507662,10.1,253001,16.8
중구,쇼핑,1507662,10.1,595262,39.5
중구,숙박,1507662,10.1,101272,6.7
중구,역사관광,1507662,10.1,8735,0.6
중구,음식,1507662,10.1,541043,35.9
중구,체험관광,1507662,10.1,702,0.0
