기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
대덕구,기타관광,724429,6.5,83561,11.5
대덕구,레저스포츠,724429,6.5,18538,2.6
대덕구,문화관광,724429,6.5,44259,6.1
대덕구,쇼핑,724429,6.5,129903,17.9
대덕구,숙박,724429,6.5,78691,10.9
대덕구,역사관광,724429,6.5,3325,0.5
대덕구,음식,724429,6.5,352950,48.7
대덕구,자연관광,724429,6.5,13020,1.8
대덕구,체험관광,724429,6.5,182,0.0
동구,기타관광,1686247,15.0,770985,45.7
동구,레저스포츠,1686247,15.0,3962,0.2
동구,문화관광,1686247,15.0,100952,6.0
동구,쇼핑,1686247,15.0,174564,10.4
동구,숙박,1686247,15.0,88423,5.2
동구,역사관광,1686247,15.0,3557,0.2
동구,음식,1686247,15.0,509304,30.2
동구,자연관광,1686247,15.0,34439,2.0
동구,체험관광,1686247,15.0,61,0.0
서구,기타관광,2761492,24.6,21517,0.8
서구,레저스포츠,2761492,24.6,12369,0.4
서구,문화관광,2761492,24.6,220432,8.0
서구,쇼핑,2761492,24.6,822862,29.8
서구,숙박,2761492,24.6,165543,6.0
서구,역사관광,2761492,24.6,14627,0.5
서구,음식,2761492,24.6,1363987,49.4
서구,자연관광,2761492,24.6,139689,5.1
서구,체험관광,2761492,24.6,466,0.0
유성구,기타관광,4490473,40.0,81000,1.8
유성구,레저스포츠,4490473,40.0,89003,2.0
유성구,문화관광,4490473,40.0,441864,9.8
유성구,쇼핑,4490473,40.0,1233369,27.5
유성구,숙박,4490473,40.0,495536,11.0
유성구,역사관광,4490473,40.0,22337,0.5
유성구,음식,4490473,40.0,2123135,47.3
유성구,자연관광,4490473,40.0,2834,0.1
유성구,체험관광,4490473,40.0,1395,0.0
중구,기타관광,1564933,13.9,106197,6.8
중구,레저스포츠,1564933,13.9,4152,0.3
중구,문화관광,1564933,13.9,331296,21.2
중구,쇼핑,1564933,13.9,283818,18.1
중구,숙박,1564933,13.9,75436,4.8
중구,역사관광,1564933,13.9,8048,0.5
중구,음식,1564933,13.9,749798,47.9
중구,자연관광,1564933,13.9,6067,0.4
중구,체험관광,1564933,13.9,121,0.0
