No,지역,숙박방문자 비율,평균 체류시간,관광소비,검색건수,외부방문자 수
1,강원도 강릉시,19.8,323,"222,215,624","7,339,749","357,777"
2,강원도 고성군,21.3,400,"57,336,237","2,567,544","131,061"
3,강원도 동해시,13.7,276,"46,000,471","974,050","120,130"
4,강원도 삼척시,15.2,317,"59,275,442","2,354,450","117,585"
5,강원도 속초시,19.1,278,"185,760,664","7,415,932","250,636"
6,강원도 양구군,13,391,"5,326,250","151,560","28,593"
7,강원도 양양군,17.6,317,"65,554,997","3,449,429","168,328"
8,강원도 영월군,16.9,392,"15,776,113","880,606","69,541"
9,강원도 원주시,13.3,297,"161,173,545","3,305,397","316,184"
10,강원도 인제군,10.7,287,"17,270,454","920,828","92,834"
11,강원도 정선군,21.6,434,"37,966,887","1,534,366","90,056"
12,강원도 철원군,11.5,322,"21,622,489","834,109","71,492"
13,강원도 춘천시,13.3,271,"194,414,108","5,694,775","324,258"
14,강원도 태백시,12.8,296,"22,526,479","340,155","53,092"
15,강원도 평창군,18.4,392,"88,742,389","2,353,191","170,410"
16,강원도 홍천군,17.7,399,"111,900,028","5,790,105","174,721"
17,강원도 화천군,11.5,372,"7,119,639","169,983","42,533"
18,강원도 횡성군,10.3,260,"45,729,253","966,190","129,053"
19,경기도 가평군,16.9,328,"116,792,118","3,909,237","290,383"
20,경기도 고양시 덕양구,4.6,163,"330,944,114","4,463,204","639,642"
21,경기도 고양시 일산동구,3.9,146,"274,434,867","4,705,822","611,747"
22,경기도 고양시 일산서구,4.7,156,"197,886,029","3,092,384","421,647"
23,경기도 과천시,2.6,142,"45,910,042","2,416,010","201,925"
24,경기도 광명시,4.3,148,"160,522,260","2,815,182","400,824"
25,경기도 광주시,6.7,216,"179,621,960","3,996,658","470,428"
26,경기도 구리시,3.9,129,"106,540,633","1,710,253","448,091"
27,경기도 군포시,6.3,186,"102,441,662","1,069,920","255,826"
28,경기도 김포시,6.5,200,"341,134,163","4,767,727","510,308"
29,경기도 남양주시,6.6,201,"341,336,141","7,126,319","727,005"
30,경기도 동두천시,8,222,"31,530,586","880,308","94,762"
31,경기도 부천시,6.7,201,"275,965,916","3,921,908","700,076"
32,경기도 성남시 분당구,4.2,178,"661,644,817","7,440,837","849,760"
33,경기도 성남시 수정구,5.2,177,"149,838,665","2,101,938","402,942"
34,경기도 성남시 중원구,6.5,187,"84,566,500","635,059","264,537"
35,경기도 수원시 권선구,6.5,200,"210,383,716","3,386,106","413,295"
36,경기도 수원시 영통구,5.1,171,"345,531,749","3,100,831","554,479"
37,경기도 수원시 장안구,4.9,160,"93,992,835","1,526,878","353,575"
38,경기도 수원시 팔달구,5.1,151,"411,736,745","3,513,853","626,854"
39,경기도 시흥시,6.7,199,"304,662,048","4,726,214","530,944"
40,경기도 안산시 단원구,7.9,214,"290,385,173","5,297,156","504,127"
41,경기도 안산시 상록구,7.8,207,"115,524,501","1,465,798","279,953"
42,경기도 안성시,5.5,190,"188,282,943","2,887,379","371,687"
43,경기도 안양시 동안구,5.5,181,"336,771,104","2,230,888","402,206"
44,경기도 안양시 만안구,5.5,162,"96,083,757","862,792","296,901"
45,경기도 양주시,6.2,210,"117,198,073","2,511,409","331,478"
46,경기도 양평군,8.8,220,"86,695,841","2,779,490","330,251"
47,경기도 여주시,6.5,213,"308,935,257","4,384,635","261,528"
48,경기도 연천군,10.2,284,"21,744,884","852,355","90,182"
49,경기도 오산시,6.9,197,"134,595,364","3,296,650","286,578"
50,경기도 용인시 기흥구,5.1,187,"306,168,767","4,920,142","577,072"
51,경기도 용인시 수지구,6.4,198,"234,569,328","2,637,450","345,555"
52,경기도 용인시 처인구,6.8,234,"253,607,407","7,821,952","486,749"
53,경기도 의왕시,3.6,146,"152,548,091","1,993,516","286,109"
54,경기도 의정부시,7.5,212,"200,958,874","2,893,263","415,781"
55,경기도 이천시,6.2,199,"239,874,022","3,222,409","400,476"
56,경기도 파주시,6.4,214,"346,073,462","6,930,938","542,878"
57,경기도 평택시,10.2,277,"255,519,383","6,833,119","473,057"
58,경기도 포천시,9.5,259,"168,443,468","3,892,124","302,402"
59,경기도 하남시,4.2,145,"379,244,571","6,471,485","566,657"
60,경기도 화성시,7.3,226,"404,777,913","8,703,596","978,150"
61,경상남도 거제시,19.3,352,"99,855,483","2,719,044","232,390"
62,경상남도 거창군,11.1,277,"17,658,858","338,084","72,277"
63,경상남도 고성군,8.7,240,"25,996,735","454,940","92,801"
64,경상남도 김해시,7.3,213,"216,059,854","2,852,928","431,000"
65,경상남도 남해군,19.6,354,"34,875,748","1,176,441","88,061"
66,경상남도 밀양시,10.4,262,"42,567,666","973,390","150,803"
67,경상남도 사천시,9.2,207,"64,733,673","971,388","159,733"
68,경상남도 산청군,13.7,304,"13,859,674","369,750","69,680"
69,경상남도 양산시,7.5,208,"162,517,112","2,647,274","331,059"
70,경상남도 의령군,8.7,269,"7,475,194","168,523","42,252"
71,경상남도 진주시,11.6,275,"111,458,084","1,887,827","224,188"
72,경상남도 창녕군,9.3,248,"31,641,116","416,906","94,822"
73,경상남도 창원시 마산합포구,6.1,164,"121,056,178","1,072,085","255,944"
74,경상남도 창원시 마산회원구,6.1,185,"71,541,693","435,375","205,029"
75,경상남도 창원시 성산구,5.9,178,"178,056,339","3,421,084","319,351"
76,경상남도 창원시 의창구,5.1,162,"108,294,715","1,040,551","331,397"
77,경상남도 창원시 진해구,7.6,202,"80,282,154","1,055,663","179,801"
78,경상남도 통영시,17.8,310,"76,276,909","2,674,161","161,047"
79,경상남도 하동군,11.2,255,"17,085,678","666,397","79,488"
80,경상남도 함안군,5.6,207,"27,432,490","355,025","108,583"
81,경상남도 함양군,13.7,328,"11,439,018","229,195","54,603"
82,경상남도 합천군,11.2,285,"16,520,186","475,716","71,167"
83,경상북도 경산시,8,246,"120,441,307","1,258,297","305,404"
84,경상북도 경주시,15.7,291,"255,034,950","6,248,763","451,393"
85,경상북도 고령군,5.6,223,"15,819,393","178,025","61,197"
86,경상북도 구미시,10.8,292,"130,694,905","1,576,070","252,749"
87,경상북도 군위군,5.7,190,"23,669,885","342,674","71,444"
88,경상북도 김천시,10.8,290,"47,131,667","633,075","125,701"
89,경상북도 문경시,12.1,278,"33,460,722","759,319","108,136"
90,경상북도 봉화군,11.5,320,"5,485,173","160,661","44,937"
91,경상북도 상주시,10.8,270,"31,500,193","424,105","129,445"
92,경상북도 성주군,9.1,263,"11,602,550","189,568","72,405"
93,경상북도 안동시,12.4,291,"68,461,056","1,061,051","170,827"
94,경상북도 영덕군,14.2,280,"31,243,714","791,746","100,687"
95,경상북도 영양군,15.2,422,"1,632,815","31,358","17,148"
96,경상북도 영주시,14.8,336,"30,888,821","507,833","88,292"
97,경상북도 영천시,9,256,"39,014,634","683,921","124,629"
98,경상북도 예천군,11.4,317,"14,838,771","281,129","68,256"
99,경상북도 울릉군,27.5,684,"10,630,561","146,723","19,377"
100,경상북도 울진군,18,377,"24,791,391","957,719","79,928"
101,경상북도 의성군,9.5,274,"18,078,322","167,010","71,287"
102,경상북도 청도군,10.2,262,"36,815,145","692,286","104,081"
103,경상북도 청송군,12.7,312,"12,120,343","288,075","51,098"
104,경상북도 칠곡군,5.5,195,"65,010,889","672,370","204,823"
105,경상북도 포항시 남구,9.5,246,"103,438,107","1,706,272","292,605"
106,경상북도 포항시 북구,10.9,250,"145,464,822","2,868,065","300,245"
107,광주광역시 광산구,8.2,226,"197,430,750","2,009,753","428,833"
108,광주광역시 남구,7.9,233,"65,064,724","513,110","200,980"
109,광주광역시 동구,4.6,158,"144,712,952","751,338","333,611"
110,광주광역시 북구,8,213,"135,725,329","1,206,533","456,275"
111,광주광역시 서구,6.8,179,"401,522,813","2,151,506","476,703"
112,대구광역시 남구,5.5,174,"59,889,072","576,148","265,756"
113,대구광역시 달서구,7.6,224,"231,659,596","1,981,316","522,276"
114,대구광역시 달성군,6.4,215,"81,289,586","1,286,244","291,330"
115,대구광역시 동구,5.9,176,"579,243,128","2,807,937","562,207"
116,대구광역시 북구,7.2,212,"169,138,858","1,768,023","466,323"
117,대구광역시 서구,6.1,182,"86,300,844","457,236","194,545"
118,대구광역시 수성구,6.7,200,"205,416,967","2,444,338","473,395"
119,대구광역시 중구,3,121,"344,747,786","1,267,322","600,865"
120,대전광역시 대덕구,7.1,199,"44,756,003","608,578","241,840"
121,대전광역시 동구,6.6,185,"676,606,330","1,113,597","330,356"
122,대전광역시 서구,7.7,217,"269,764,980","2,418,514","558,996"
123,대전광역시 유성구,7.3,215,"391,887,166","3,582,570","547,570"
124,대전광역시 중구,6.3,186,"108,546,975","1,338,126","387,876"
125,부산광역시 강서구,3.8,144,"180,859,690","2,239,673","373,067"
126,부산광역시 금정구,5.7,184,"116,058,905","919,709","283,524"
127,부산광역시 기장군,5.1,156,"370,923,360","3,921,092","410,619"
128,부산광역시 남구,7.3,191,"96,229,414","955,425","284,417"
129,부산광역시 동구,4.5,114,"94,883,699","637,891","301,096"
130,부산광역시 동래구,6.4,180,"172,124,360","1,074,850","337,552"
131,부산광역시 부산진구,6.3,163,"400,177,396","1,881,170","690,165"
132,부산광역시 북구,7.2,184,"196,859,964","581,942","230,405"
133,부산광역시 사상구,6.1,176,"112,087,463","947,586","268,247"
134,부산광역시 사하구,8.2,220,"80,440,952","716,397","227,950"
135,부산광역시 서구,6.4,168,"46,517,420","473,915","202,384"
136,부산광역시 수영구,7.8,160,"160,724,028","1,636,070","370,056"
137,부산광역시 연제구,6.2,183,"146,718,272","590,566","272,261"
138,부산광역시 영도구,5.7,148,"36,067,437","630,357","186,755"
139,부산광역시 중구,4,106,"173,680,036","889,908","377,939"
140,부산광역시 해운대구,10.3,205,"638,052,089","5,216,112","666,359"
141,서울특별시 강동구,6.9,201,"211,502,371","1,448,484","496,066"
142,서울특별시 강북구,7.4,204,"145,060,086","991,295","315,376"
143,서울특별시 강서구,5.8,169,"792,573,385","5,799,356","768,827"
144,서울특별시 관악구,8.1,219,"242,574,891","970,966","571,234"
145,서울특별시 광진구,5.3,157,"276,439,016","2,247,423","667,013"
146,서울특별시 구로구,5.1,173,"259,041,704","1,353,915","590,845"
147,서울특별시 금천구,6.1,207,"282,335,427","941,858","295,233"
148,서울특별시 노원구,5.3,171,"250,291,257","2,161,143","562,317"
149,서울특별시 도봉구,6,182,"105,502,418","760,746","292,767"
150,서울특별시 동대문구,6,185,"196,284,817","1,139,760","517,517"
151,서울특별시 동작구,5.6,183,"180,753,666","653,965","540,901"
152,서울특별시 마포구,4.6,155,"586,232,161","3,517,449","1,136,751"
153,서울특별시 서대문구,5.2,188,"221,646,282","1,101,537","787,997"
154,서울특별시 서초구,2.7,131,"1,183,756,450","6,109,348","1,527,263"
155,서울특별시 성동구,4.8,165,"332,054,114","1,829,046","582,131"
156,서울특별시 성북구,6.7,203,"167,998,971","1,238,658","487,211"
157,서울특별시 송파구,5.2,176,"842,583,224","6,828,304","1,176,222"
158,서울특별시 양천구,6,179,"188,255,465","1,707,979","385,091"
159,서울특별시 영등포구,4.4,175,"801,019,977","4,944,398","1,073,263"
160,서울특별시 용산구,3.5,124,"518,187,814","3,907,285","957,032"
161,서울특별시 은평구,7.8,222,"165,142,688","1,403,706","364,694"
162,서울특별시 종로구,2.9,126,"574,633,779","3,414,540","1,302,978"
163,서울특별시 중구,3.3,116,"1,478,337,663","5,292,866","1,347,238"
164,서울특별시 중랑구,7,200,"128,178,295","1,183,494","346,428"
165,세종특별자치시 세종특별자치시,9.5,279,"100,041,240","3,079,734","306,000"
166,울산광역시 남구,7.1,185,"234,385,481","2,061,776","426,423"
167,울산광역시 동구,9.3,230,"47,195,958","616,374","130,573"
168,울산광역시 북구,6.6,202,"94,701,065","1,032,567","229,997"
169,울산광역시 울주군,6.6,208,"113,727,898","1,928,330","331,078"
170,울산광역시 중구,5.7,160,"61,603,165","650,867","248,177"
171,인천광역시 강화군,13.9,276,"62,719,325","3,225,496","168,418"
172,인천광역시 계양구,6.3,184,"100,219,131","1,344,015","273,883"
173,인천광역시 남동구,6.7,199,"237,087,717","2,888,017","520,540"
174,인천광역시 동구,3.6,125,"51,136,020","414,785","99,999"
175,인천광역시 미추홀구,7.1,188,"239,075,564","1,889,185","433,480"
176,인천광역시 부평구,7,191,"190,471,441","1,478,101","476,057"
177,인천광역시 서구,7.5,221,"185,379,139","3,046,778","509,336"
178,인천광역시 연수구,6.4,204,"306,250,912","5,287,512","443,610"
179,인천광역시 옹진군,18.3,383,"15,486,794","760,825","64,151"
180,인천광역시 중구,8.5,194,"359,433,720","7,681,557","543,791"
181,전라남도 강진군,10.7,270,"14,550,838","330,349","56,446"
182,전라남도 고흥군,16.5,370,"13,691,514","452,961","68,392"
183,전라남도 곡성군,8.9,249,"17,819,653","254,981","55,657"
184,전라남도 광양시,10.2,288,"61,409,042","674,140","136,239"
185,전라남도 구례군,12.2,262,"10,428,729","639,793","58,163"
186,전라남도 나주시,8.4,242,"55,046,981","776,625","163,244"
187,전라남도 담양군,6.1,181,"52,173,385","1,290,475","154,737"
188,전라남도 목포시,12.9,261,"123,208,523","1,614,922","254,175"
189,전라남도 무안군,8.3,251,"75,229,567","522,013","149,590"
190,전라남도 보성군,10.4,266,"17,510,190","334,874","70,453"
191,전라남도 순천시,10.4,251,"120,048,205","1,735,811","251,969"
