기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
강서구,기타관광,2769059,10.3,967415,34.9
강서구,레저스포츠,2769059,10.3,107342,3.9
강서구,문화관광,2769059,10.3,272708,9.8
강서구,쇼핑,2769059,10.3,209273,7.6
강서구,숙박,2769059,10.3,138496,5.0
강서구,역사관광,2769059,10.3,4967,0.2
강서구,음식,2769059,10.3,986394,35.6
강서구,자연관광,2769059,10.3,80738,2.9
강서구,체험관광,2769059,10.3,1726,0.1
금정구,기타관광,1091995,4.1,136687,12.5
금정구,레저스포츠,1091995,4.1,70587,6.5
금정구,문화관광,1091995,4.1,86308,7.9
금정구,쇼핑,1091995,4.1,150925,13.8
금정구,숙박,1091995,4.1,25742,2.4
금정구,역사관광,1091995,4.1,107377,9.8
금정구,음식,1091995,4.1,506685,46.4
금정구,자연관광,1091995,4.1,1161,0.1
금정구,체험관광,1091995,4.1,6523,0.6
기장군,기타관광,4617588,17.2,73628,1.6
기장군,레저스포츠,4617588,17.2,238660,5.2
기장군,문화관광,4617588,17.2,516316,11.2
기장군,쇼핑,4617588,17.2,908177,19.7
기장군,숙박,4617588,17.2,367661,8.0
기장군,역사관광,4617588,17.2,305180,6.6
기장군,음식,4617588,17.2,1947519,42.2
기장군,자연관광,4617588,17.2,241991,5.2
기장군,체험관광,4617588,17.2,18456,0.4
남구,기타관광,1097057,4.1,12371,1.1
남구,레저스포츠,1097057,4.1,11076,1.0
남구,문화관광,1097057,4.1,263253,24.0
남구,쇼핑,1097057,4.1,217310,19.8
남구,숙박,1097057,4.1,72453,6.6
남구,역사관광,1097057,4.1,10842,1.0
남구,음식,1097057,4.1,415047,37.8
남구,자연관광,1097057,4.1,94705,8.6
동구,기타관광,846833,3.2,198292,23.4
동구,레저스포츠,846833,3.2,1522,0.2
동구,문화관광,846833,3.2,31195,3.7
동구,쇼핑,846833,3.2,189645,22.4
동구,숙박,846833,3.2,148125,17.5
동구,역사관광,846833,3.2,5488,0.6
동구,음식,846833,3.2,222908,26.3
동구,자연관광,846833,3.2,49658,5.9
동래구,기타관광,1210694,4.5,9217,0.8
동래구,레저스포츠,1210694,4.5,6915,0.6
동래구,문화관광,1210694,4.5,146668,12.1
동래구,쇼핑,1210694,4.5,317314,26.2
동래구,숙박,1210694,4.5,109028,9.0
동래구,역사관광,1210694,4.5,21371,1.8
동래구,음식,1210694,4.5,526512,43.5
동래구,자연관광,1210694,4.5,36,0.0
동래구,체험관광,1210694,4.5,73633,6.1
부산진구,기타관광,2091691,7.8,41601,2.0
부산진구,레저스포츠,2091691,7.8,9153,0.4
부산진구,문화관광,2091691,7.8,260839,12.5
부산진구,쇼핑,2091691,7.8,880381,42.1
부산진구,숙박,2091691,7.8,248803,11.9
부산진구,역사관광,2091691,7.8,46261,2.2
부산진구,음식,2091691,7.8,603637,28.9
부산진구,자연관광,2091691,7.8,116,0.0
부산진구,체험관광,2091691,7.8,900,0.0
북구,기타관광,713788,2.7,83363,11.7
북구,레저스포츠,713788,2.7,22297,3.1
북구,문화관광,713788,2.7,61972,8.7
북구,쇼핑,713788,2.7,164967,23.1
북구,숙박,713788,2.7,57915,8.1
북구,역사관광,713788,2.7,4401,0.6
북구,음식,713788,2.7,301696,42.3
북구,자연관광,713788,2.7,17139,2.4
북구,체험관광,713788,2.7,38,0.0
사상구,기타관광,1119917,4.2,162835,14.5
사상구,레저스포츠,1119917,4.2,10742,1.0
사상구,문화관광,1119917,4.2,103026,9.2
사상구,쇼핑,1119917,4.2,334587,29.9
사상구,숙박,1119917,4.2,96038,8.6
사상구,역사관광,1119917,4.2,6909,0.6
사상구,음식,1119917,4.2,404757,36.1
사상구,자연관광,1119917,4.2,159,0.0
사상구,체험관광,1119917,4.2,864,0.1
