기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
강남구,기타관광,11244375,15.6,274883,2.4
강남구,레저스포츠,11244375,15.6,15208,0.1
강남구,문화관광,11244375,15.6,1644204,14.6
강남구,쇼핑,11244375,15.6,1728553,15.4
강남구,숙박,11244375,15.6,1664707,14.8
강남구,역사관광,11244375,15.6,127637,1.1
강남구,음식,11244375,15.6,5788719,51.5
강남구,체험관광,11244375,15.6,464,0.0
강동구,기타관광,1448484,2.0,2841,0.2
강동구,레저스포츠,1448484,2.0,8574,0.6
강동구,문화관광,1448484,2.0,191445,13.2
강동구,쇼핑,1448484,2.0,310222,21.4
강동구,숙박,1448484,2.0,76353,5.3
강동구,역사관광,1448484,2.0,28654,2.0
강동구,음식,1448484,2.0,829836,57.3
강동구,체험관광,1448484,2.0,559,0.0
강북구,기타관광,991295,1.4,14735,1.5
강북구,레저스포츠,991295,1.4,2015,0.2
강북구,문화관광,991295,1.4,88065,8.9
강북구,쇼핑,991295,1.4,225664,22.8
강북구,숙박,991295,1.4,115210,11.6
강북구,역사관광,991295,1.4,124365,12.5
강북구,음식,991295,1.4,415784,41.9
강북구,자연관광,991295,1.4,5433,0.5
강북구,체험관광,991295,1.4,24,0.0
강서구,기타관광,5799356,8.0,2135729,36.8
강서구,레저스포츠,5799356,8.0,70607,1.2
강서구,문화관광,5799356,8.0,449069,7.7
강서구,쇼핑,5799356,8.0,1395012,24.1
강서구,숙박,5799356,8.0,375767,6.5
강서구,역사관광,5799356,8.0,25300,0.4
강서구,음식,5799356,8.0,1346821,23.2
강서구,체험관광,5799356,8.0,1051,0.0
관악구,기타관광,970966,1.3,401,0.0
관악구,레저스포츠,970966,1.3,2225,0.2
관악구,문화관광,970966,1.3,79369,8.2
관악구,쇼핑,970966,1.3,314881,32.4
관악구,숙박,970966,1.3,79008,8.1
관악구,역사관광,970966,1.3,13287,1.4
관악구,음식,970966,1.3,472172,48.6
관악구,자연관광,970966,1.3,9552,1.0
관악구,체험관광,970966,1.3,71,0.0
광진구,기타관광,2247423,3.1,125170,5.6
광진구,레저스포츠,2247423,3.1,13408,0.6
광진구,문화관광,2247423,3.1,640084,28.5
