기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
남구,기타관광,2351079,32.6,140002,6.0
남구,레저스포츠,2351079,32.6,16805,0.7
남구,문화관광,2351079,32.6,333036,14.2
남구,쇼핑,2351079,32.6,635050,27.0
남구,숙박,2351079,32.6,256491,10.9
남구,역사관광,2351079,32.6,15895,0.7
남구,음식,2351079,32.6,927328,39.4
남구,자연관광,2351079,32.6,26330,1.1
남구,체험관광,2351079,32.6,142,0.0
동구,기타관광,657069,9.1,40277,6.1
동구,레저스포츠,657069,9.1,472,0.1
동구,문화관광,657069,9.1,122359,18.6
동구,쇼핑,657069,9.1,63100,9.6
동구,숙박,657069,9.1,76333,11.6
동구,역사관광,657069,9.1,2819,0.4
동구,음식,657069,9.1,243493,37.1
동구,자연관광,657069,9.1,108120,16.5
동구,체험관광,657069,9.1,96,0.0
북구,기타관광,1191883,16.5,83880,7.0
북구,레저스포츠,1191883,16.5,29215,2.5
북구,문화관광,1191883,16.5,52062,4.4
북구,쇼핑,1191883,16.5,312130,26.2
북구,숙박,1191883,16.5,65713,5.5
북구,역사관광,1191883,16.5,9901,0.8
북구,음식,1191883,16.5,630289,52.9
북구,자연관광,1191883,16.5,7242,0.6
북구,체험관광,1191883,16.5,1451,0.1
울주군,기타관광,2290568,31.8,535480,23.4
울주군,레저스포츠,2290568,31.8,147131,6.4
울주군,문화관광,2290568,31.8,151611,6.6
울주군,쇼핑,2290568,31.8,93452,4.1
울주군,숙박,2290568,31.8,177471,7.7
울주군,역사관광,2290568,31.8,68106,3.0
울주군,음식,2290568,31.8,846300,36.9
울주군,자연관광,2290568,31.8,249446,10.9
울주군,체험관광,2290568,31.8,21571,0.9
중구,기타관광,723733,10.0,748,0.1
중구,레저스포츠,723733,10.0,3034,0.4
중구,문화관광,723733,10.0,196476,27.1
중구,쇼핑,723733,10.0,85570,11.8
중구,숙박,723733,10.0,56109,7.8
중구,역사관광,723733,10.0,22905,3.2
중구,음식,723733,10.0,358285,49.5
중구,자연관광,723733,10.0,129,0.0
중구,체험관광,723733,10.0,477,0.1
