기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
강화군,기타관광,3370884,10.2,206797,6.1
강화군,레저스포츠,3370884,10.2,176350,5.2
강화군,문화관광,3370884,10.2,165501,4.9
강화군,쇼핑,3370884,10.2,309763,9.2
강화군,숙박,3370884,10.2,496215,14.7
강화군,역사관광,3370884,10.2,333387,9.9
강화군,음식,3370884,10.2,1122927,33.3
강화군,자연관광,3370884,10.2,501054,14.9
강화군,체험관광,3370884,10.2,58890,1.7
계양구,기타관광,1477200,4.5,9974,0.7
계양구,레저스포츠,1477200,4.5,22659,1.5
계양구,문화관광,1477200,4.5,214914,14.5
계양구,쇼핑,1477200,4.5,360766,24.4
계양구,숙박,1477200,4.5,65332,4.4
계양구,역사관광,1477200,4.5,6267,0.4
계양구,음식,1477200,4.5,767170,51.9
계양구,자연관광,1477200,4.5,27336,1.9
계양구,체험관광,1477200,4.5,2782,0.2
남동구,기타관광,3095271,9.3,17,0.0
남동구,레저스포츠,3095271,9.3,48923,1.6
남동구,문화관광,3095271,9.3,402447,13.0
남동구,쇼핑,3095271,9.3,837967,27.1
남동구,숙박,3095271,9.3,216647,7.0
남동구,역사관광,3095271,9.3,15609,0.5
남동구,음식,3095271,9.3,1537970,49.7
남동구,자연관광,3095271,9.3,27066,0.9
남동구,체험관광,3095271,9.3,8625,0.3
동구,기타관광,426643,1.3,36,0.0
동구,레저스포츠,426643,1.3,5733,1.3
동구,문화관광,426643,1.3,33413,7.8
동구,쇼핑,426643,1.3,299767,70.3
동구,숙박,426643,1.3,7209,1.7
동구,역사관광,426643,1.3,284,0.1
동구,음식,426643,1.3,68440,16.0
동구,자연관광,426643,1.3,11744,2.8
동구,체험관광,426643,1.3,17,0.0
미추홀구,기타관광,2265255,6.8,232122,10.2
미추홀구,레저스포츠,2265255,6.8,6202,0.3
미추홀구,문화관광,2265255,6.8,279331,12.3
미추홀구,쇼핑,2265255,6.8,830842,36.7
미추홀구,숙박,2265255,6.8,105002,4.6
미추홀구,역사관광,2265255,6.8,40532,1.8
미추홀구,음식,2265255,6.8,770866,34.0
미추홀구,자연관광,2265255,6.8,218,0.0
미추홀구,체험관광,2265255,6.8,140,0.0
부평구,기타관광,1750379,5.3,461,0.0
부평구,레저스포츠,1750379,5.3,11216,0.6
부평구,문화관광,1750379,5.3,162731,9.3
부평구,쇼핑,1750379,5.3,644792,36.8
부평구,숙박,1750379,5.3,89885,5.1
부평구,역사관광,1750379,5.3,8656,0.5
부평구,음식,1750379,5.3,832376,47.6
부평구,자연관광,1750379,5.3,20,0.0
부평구,체험관광,1750379,5.3,242,0.0
서구,기타관광,3624561,10.9,29703,0.8
서구,레저스포츠,3624561,10.9,285854,7.9
서구,문화관광,3624561,10.9,468723,12.9
서구,쇼핑,3624561,10.9,718217,19.8
서구,숙박,3624561,10.9,128729,3.6
서구,역사관광,3624561,10.9,9657,0.3
서구,음식,3624561,10.9,1973815,54.5
서구,자연관광,3624561,10.9,8808,0.2
서구,체험관광,3624561,10.9,1055,0.0
연수구,기타관광,6408111,19.3,44766,0.7
연수구,레저스포츠,6408111,19.3,241358,3.8
연수구,문화관광,6408111,19.3,867602,13.5
연수구,쇼핑,6408111,19.3,2010501,31.4
연수구,숙박,6408111,19.3,622461,9.7
연수구,역사관광,6408111,19.3,24287,0.4
연수구,음식,6408111,19.3,2588971,40.4
연수구,자연관광,6408111,19.3,6263,0.1
연수구,체험관광,6408111,19.3,1902,0.0
옹진군,기타관광,749562,2.3,66459,8.9
옹진군,레저스포츠,749562,2.3,67512,9.0
옹진군,문화관광,749562,2.3,6344,0.8
옹진군,쇼핑,749562,2.3,5981,0.8
옹진군,숙박,749562,2.3,204208,27.2
옹진군,역사관광,749562,2.3,2227,0.3
옹진군,음식,749562,2.3,190250,25.4
옹진군,자연관광,749562,2.3,199426,26.6
옹진군,체험관광,749562,2.3,7155,1.0
중구,기타관광,9964663,30.1,4938135,49.6
중구,레저스포츠,9964663,30.1,356749,3.6
중구,문화관광,9964663,30.1,321067,3.2
중구,쇼핑,9964663,30.1,567362,5.7
중구,숙박,9964663,30.1,1029060,10.3
중구,역사관광,9964663,30.1,10502,0.1
중구,음식,9964663,30.1,2255486,22.6
중구,자연관광,9964663,30.1,452835,4.5
중구,체험관광,9964663,30.1,33467,0.3
