기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
강진군,기타관광,361747,1.9,48749,13.5
강진군,레저스포츠,361747,1.9,39655,11.0
강진군,문화관광,361747,1.9,42915,11.9
강진군,쇼핑,361747,1.9,8842,2.4
강진군,숙박,361747,1.9,32824,9.1
강진군,역사관광,361747,1.9,62797,17.4
강진군,음식,361747,1.9,72504,20.0
강진군,자연관광,361747,1.9,51060,14.1
강진군,체험관광,361747,1.9,2401,0.7
고흥군,기타관광,476146,2.6,76320,16.0
고흥군,레저스포츠,476146,2.6,8603,1.8
고흥군,문화관광,476146,2.6,62583,13.1
고흥군,쇼핑,476146,2.6,11007,2.3
고흥군,숙박,476146,2.6,62478,13.1
고흥군,역사관광,476146,2.6,6135,1.3
고흥군,음식,476146,2.6,69935,14.7
고흥군,자연관광,476146,2.6,176678,37.1
고흥군,체험관광,476146,2.6,2407,0.5
곡성군,기타관광,265397,1.4,75419,28.4
곡성군,레저스포츠,265397,1.4,24619,9.3
곡성군,문화관광,265397,1.4,44696,16.8
곡성군,쇼핑,265397,1.4,8084,3.0
곡성군,숙박,265397,1.4,26820,10.1
곡성군,역사관광,265397,1.4,11578,4.4
곡성군,음식,265397,1.4,68714,25.9
곡성군,자연관광,265397,1.4,5281,2.0
곡성군,체험관광,265397,1.4,186,0.1
광양시,기타관광,776557,4.2,45210,5.8
광양시,레저스포츠,776557,4.2,12635,1.6
광양시,문화관광,776557,4.2,57284,7.4
광양시,쇼핑,776557,4.2,174102,22.4
광양시,숙박,776557,4.2,115118,14.8
광양시,역사관광,776557,4.2,6878,0.9
광양시,음식,776557,4.2,313905,40.4
광양시,자연관광,776557,4.2,39291,5.1
광양시,체험관광,776557,4.2,12134,1.6
구례군,기타관광,682207,3.7,28268,4.1
구례군,레저스포츠,682207,3.7,4542,0.7
구례군,문화관광,682207,3.7,77971,11.4
구례군,쇼핑,682207,3.7,17049,2.5
구례군,숙박,682207,3.7,107783,15.8
구례군,역사관광,682207,3.7,223918,32.8
구례군,음식,682207,3.7,153347,22.5
구례군,자연관광,682207,3.7,45927,6.7
구례군,체험관광,682207,3.7,23402,3.4
나주시,기타관광,891623,4.8,90274,10.1
나주시,레저스포츠,891623,4.8,78358,8.8
나주시,문화관광,891623,4.8,86605,9.7
나주시,쇼핑,891623,4.8,34292,3.8
나주시,숙박,891623,4.8,96675,10.8
나주시,역사관광,891623,4.8,21040,2.4
나주시,음식,891623,4.8,469141,52.6
나주시,자연관광,891623,4.8,10555,1.2
나주시,체험관광,891623,4.8,4683,0.5
담양군,기타관광,1369214,7.3,86305,6.3
담양군,레저스포츠,1369214,7.3,39159,2.9
담양군,문화관광,1369214,7.3,120574,8.8
담양군,쇼핑,1369214,7.3,19256,1.4
담양군,숙박,1369214,7.3,106609,7.8
담양군,역사관광,1369214,7.3,75694,5.5
담양군,음식,1369214,7.3,725329,53.0
담양군,자연관광,1369214,7.3,180525,13.2
담양군,체험관광,1369214,7.3,15763,1.2
목포시,기타관광,1820014,9.8,465354,25.6
목포시,레저스포츠,1820014,9.8,7248,0.4
목포시,문화관광,1820014,9.8,229195,12.6
목포시,쇼핑,1820014,9.8,171993,9.5
목포시,숙박,1820014,9.8,229463,12.6
목포시,역사관광,1820014,9.8,2274,0.1
목포시,음식,1820014,9.8,644092,35.4
목포시,자연관광,1820014,9.8,69855,3.8
목포시,체험관광,1820014,9.8,540,0.0
무안군,기타관광,614023,3.3,65487,10.7
무안군,레저스포츠,614023,3.3,53288,8.7
무안군,문화관광,614023,3.3,47332,7.7
무안군,쇼핑,614023,3.3,80332,13.1
무안군,숙박,614023,3.3,62697,10.2
무안군,역사관광,614023,3.3,6177,1.0
무안군,음식,614023,3.3,239754,39.0
무안군,자연관광,614023,3.3,58616,9.5
무안군,체험관광,614023,3.3,340,0.1
보성군,기타관광,388854,2.1,105023,27.0
보성군,레저스포츠,388854,2.1,19234,4.9
보성군,문화관광,388854,2.1,31907,8.2
보성군,쇼핑,388854,2.1,12908,3.3
보성군,숙박,388854,2.1,44479,11.4
보성군,역사관광,388854,2.1,11485,3.0
보성군,음식,388854,2.1,83989,21.6
보성군,자연관광,388854,2.1,61451,15.8
보성군,체험관광,388854,2.1,18378,4.7
순천시,기타관광,2232906,12.0,550290,24.6
순천시,레저스포츠,2232906,12.0,69235,3.1
순천시,문화관광,2232906,12.0,109674,4.9
순천시,쇼핑,2232906,12.0,228253,10.2
순천시,숙박,2232906,12.0,186816,8.4
순천시,역사관광,2232906,12.0,150795,6.8
순천시,음식,2232906,12.0,890795,39.9
순천시,자연관광,2232906,12.0,42092,1.9
순천시,체험관광,2232906,12.0,4956,0.2
신안군,기타관광,330921,1.8,112201,33.9
신안군,레저스포츠,330921,1.8,1001,0.3
신안군,문화관광,330921,1.8,48862,14.8
신안군,쇼핑,330921,1.8,1907,0.6
신안군,숙박,330921,1.8,64580,19.5
신안군,역사관광,330921,1.8,2959,0.9
신안군,음식,330921,1.8,29084,8.8
신안군,자연관광,330921,1.8,70114,21.2
신안군,체험관광,330921,1.8,213,0.1
여수시,기타관광,4610766,24.7,466491,10.1
여수시,레저스포츠,4610766,24.7,146332,3.2
여수시,문화관광,4610766,24.7,589734,12.8
여수시,쇼핑,4610766,24.7,281920,6.1
여수시,숙박,4610766,24.7,1014955,22.0
여수시,역사관광,4610766,24.7,141633,3.1
여수시,음식,4610766,24.7,1679488,36.4
여수시,자연관광,4610766,24.7,284330,6.2
여수시,체험관광,4610766,24.7,5883,0.1
영광군,기타관광,474659,2.5,99899,21.0
영광군,레저스포츠,474659,2.5,23885,5.0
영광군,문화관광,474659,2.5,68125,14.4
영광군,쇼핑,474659,2.5,8563,1.8
영광군,숙박,474659,2.5,40107,8.4
영광군,역사관광,474659,2.5,50896,10.7
영광군,음식,474659,2.5,138298,29.1
영광군,자연관광,474659,2.5,44224,9.3
영광군,체험관광,474659,2.5,662,0.1
영암군,기타관광,384463,2.1,29591,7.7
영암군,레저스포츠,384463,2.1,74322,19.3
영암군,문화관광,384463,2.1,36604,9.5
영암군,쇼핑,384463,2.1,2123,0.6
영암군,숙박,384463,2.1,70207,18.3
영암군,역사관광,384463,2.1,44955,11.7
영암군,음식,384463,2.1,86705,22.6
영암군,자연관광,384463,2.1,38670,10.1
영암군,체험관광,384463,2.1,1286,0.3
완도군,기타관광,435264,2.3,202030,46.4
완도군,레저스포츠,435264,2.3,2513,0.6
완도군,문화관광,435264,2.3,26330,6.0
완도군,쇼핑,435264,2.3,10946,2.5
완도군,숙박,435264,2.3,43622,10.0
완도군,역사관광,435264,2.3,8457,1.9
완도군,음식,435264,2.3,44981,10.3
완도군,자연관광,435264,2.3,96291,22.1
완도군,체험관광,435264,2.3,94,0.0
장성군,기타관광,495374,2.7,49278,9.9
장성군,레저스포츠,495374,2.7,49935,10.1
장성군,문화관광,495374,2.7,67908,13.7
장성군,쇼핑,495374,2.7,4305,0.9
장성군,숙박,495374,2.7,46944,9.5
장성군,역사관광,495374,2.7,66275,13.4
장성군,음식,495374,2.7,169605,34.2
장성군,자연관광,495374,2.7,39242,7.9
장성군,체험관광,495374,2.7,1882,0.4
장흥군,기타관광,207619,1.1,13029,6.3
장흥군,레저스포츠,207619,1.1,23309,11.2
장흥군,문화관광,207619,1.1,38388,18.5
장흥군,쇼핑,207619,1.1,24027,11.6
장흥군,숙박,207619,1.1,22175,10.7
장흥군,역사관광,207619,1.1,7646,3.7
장흥군,음식,207619,1.1,44508,21.4
장흥군,자연관광,207619,1.1,34403,16.6
장흥군,체험관광,207619,1.1,134,0.1
진도군,기타관광,471880,2.5,38311,8.1
진도군,레저스포츠,471880,2.5,6998,1.5
