기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
고창군,기타관광,650086,4.0,25361,3.9
고창군,레저스포츠,650086,4.0,58563,9.0
고창군,문화관광,650086,4.0,69478,10.7
고창군,쇼핑,650086,4.0,5294,0.8
고창군,숙박,650086,4.0,63706,9.8
고창군,역사관광,650086,4.0,128757,19.8
고창군,음식,650086,4.0,154915,23.8
고창군,자연관광,650086,4.0,87605,13.5
고창군,체험관광,650086,4.0,56407,8.7
군산시,기타관광,3010555,18.7,276040,9.2
군산시,레저스포츠,3010555,18.7,71607,2.4
군산시,문화관광,3010555,18.7,199421,6.6
군산시,쇼핑,3010555,18.7,451565,15.0
군산시,숙박,3010555,18.7,372440,12.4
군산시,역사관광,3010555,18.7,39851,1.3
군산시,음식,3010555,18.7,1320533,43.9
군산시,자연관광,3010555,18.7,278325,9.2
군산시,체험관광,3010555,18.7,773,0.0
김제시,기타관광,556628,3.5,71977,12.9
김제시,레저스포츠,556628,3.5,37978,6.8
김제시,문화관광,556628,3.5,41708,7.5
김제시,쇼핑,556628,3.5,54308,9.8
김제시,숙박,556628,3.5,20362,3.7
김제시,역사관광,556628,3.5,57196,10.3
김제시,음식,556628,3.5,241210,43.3
김제시,자연관광,556628,3.5,29765,5.3
김제시,체험관광,556628,3.5,2124,0.4
남원시,기타관광,801497,5.0,150155,18.7
남원시,레저스포츠,801497,5.0,59027,7.4
남원시,문화관광,801497,5.0,55090,6.9
남원시,쇼핑,801497,5.0,42672,5.3
남원시,숙박,801497,5.0,175467,21.9
남원시,역사관광,801497,5.0,31114,3.9
남원시,음식,801497,5.0,247014,30.8
남원시,자연관광,801497,5.0,40146,5.0
남원시,체험관광,801497,5.0,812,0.1
무주군,기타관광,589031,3.7,57739,9.8
무주군,레저스포츠,589031,3.7,69018,11.7
무주군,문화관광,589031,3.7,57935,9.8
무주군,쇼핑,589031,3.7,7025,1.2
무주군,숙박,589031,3.7,216575,36.8
무주군,역사관광,589031,3.7,17653,3.0
무주군,음식,589031,3.7,124127,21.1
무주군,자연관광,589031,3.7,37730,6.4
무주군,체험관광,589031,3.7,1229,0.2
부안군,기타관광,1038146,6.5,147603,14.2
부안군,레저스포츠,1038146,6.5,24593,2.4
부안군,문화관광,1038146,6.5,55650,5.4
부안군,쇼핑,1038146,6.5,42409,4.1
부안군,숙박,1038146,6.5,246920,23.8
부안군,역사관광,1038146,6.5,57726,5.6
부안군,음식,1038146,6.5,208018,20.0
부안군,자연관광,1038146,6.5,253435,24.4
부안군,체험관광,1038146,6.5,1792,0.2
순창군,기타관광,256163,1.6,50136,19.6
순창군,레저스포츠,256163,1.6,11453,4.5
순창군,문화관광,256163,1.6,27229,10.6
순창군,쇼핑,256163,1.6,4156,1.6
순창군,숙박,256163,1.6,18626,7.3
순창군,역사관광,256163,1.6,32591,12.7
순창군,음식,256163,1.6,65691,25.6
순창군,자연관광,256163,1.6,40924,16.0
순창군,체험관광,256163,1.6,5357,2.1
완주군,기타관광,792142,4.9,58449,7.4
완주군,레저스포츠,792142,4.9,26286,3.3
완주군,문화관광,792142,4.9,75702,9.6
완주군,쇼핑,792142,4.9,16179,2.0
완주군,숙박,792142,4.9,150414,19.0
완주군,역사관광,792142,4.9,35148,4.4
완주군,음식,792142,4.9,382710,48.3
완주군,자연관광,792142,4.9,44726,5.6
완주군,체험관광,792142,4.9,2528,0.3
익산시,기타관광,1826392,11.4,641906,35.1
익산시,레저스포츠,1826392,11.4,68423,3.7
익산시,문화관광,1826392,11.4,182341,10.0
익산시,쇼핑,1826392,11.4,150127,8.2
익산시,숙박,1826392,11.4,114029,6.2
익산시,역사관광,1826392,11.4,48859,2.7
익산시,음식,1826392,11.4,604838,33.1
익산시,자연관광,1826392,11.4,5131,0.3
익산시,체험관광,1826392,11.4,10738,0.6
임실군,기타관광,285625,1.8,71387,25.0
임실군,레저스포츠,285625,1.8,24338,8.5
임실군,문화관광,285625,1.8,49847,17.5
임실군,쇼핑,285625,1.8,3858,1.4
임실군,숙박,285625,1.8,12961,4.5
임실군,역사관광,285625,1.8,4512,1.6
임실군,음식,285625,1.8,95365,33.4
임실군,자연관광,285625,1.8,23020,8.1
임실군,체험관광,285625,1.8,337,0.1
장수군,기타관광,81437,0.5,4917,6.0
장수군,레저스포츠,81437,0.5,20144,24.7
장수군,문화관광,81437,0.5,8250,10.1
장수군,쇼핑,81437,0.5,939,1.2
