기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
서귀포시,기타관광,7901064,42.4,705599,8.9
서귀포시,레저스포츠,7901064,42.4,310432,3.9
서귀포시,문화관광,7901064,42.4,871185,11.0
서귀포시,쇼핑,7901064,42.4,462984,5.9
서귀포시,숙박,7901064,42.4,1870690,23.7
서귀포시,역사관광,7901064,42.4,82878,1.0
서귀포시,음식,7901064,42.4,2649131,33.5
서귀포시,자연관광,7901064,42.4,847474,10.7
서귀포시,체험관광,7901064,42.4,100691,1.3
제주시,기타관광,10717335,57.6,1335631,12.5
제주시,레저스포츠,10717335,57.6,450472,4.2
제주시,문화관광,10717335,57.6,757983,7.1
제주시,쇼핑,10717335,57.6,571181,5.3
제주시,숙박,10717335,57.6,1670246,15.6
제주시,역사관광,10717335,57.6,66743,0.6
제주시,음식,10717335,57.6,4493153,41.9
제주시,자연관광,10717335,57.6,1339147,12.5
제주시,체험관광,10717335,57.6,32779,0.3
