기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
계룡시,기타관광,325096,1.2,25913,8.0
계룡시,레저스포츠,325096,1.2,70632,21.7
계룡시,문화관광,325096,1.2,34475,10.6
계룡시,쇼핑,325096,1.2,42235,13.0
계룡시,숙박,325096,1.2,25468,7.8
계룡시,역사관광,325096,1.2,4014,1.2
계룡시,음식,325096,1.2,118578,36.5
계룡시,자연관광,325096,1.2,3654,1.1
계룡시,체험관광,325096,1.2,127,0.0
공주시,기타관광,1776648,6.6,134842,7.6
공주시,레저스포츠,1776648,6.6,51038,2.9
공주시,문화관광,1776648,6.6,149684,8.4
공주시,쇼핑,1776648,6.6,41839,2.4
공주시,숙박,1776648,6.6,203086,11.4
공주시,역사관광,1776648,6.6,422056,23.8
공주시,음식,1776648,6.6,716932,40.4
공주시,자연관광,1776648,6.6,45892,2.6
공주시,체험관광,1776648,6.6,11279,0.6
금산군,기타관광,390727,1.5,58840,15.1
금산군,레저스포츠,390727,1.5,30754,7.9
금산군,문화관광,390727,1.5,22511,5.8
금산군,쇼핑,390727,1.5,36406,9.3
금산군,숙박,390727,1.5,51350,13.1
금산군,역사관광,390727,1.5,19059,4.9
금산군,음식,390727,1.5,134134,34.3
금산군,자연관광,390727,1.5,14763,3.8
금산군,체험관광,390727,1.5,22910,5.9
논산시,기타관광,936669,3.5,173452,18.5
논산시,레저스포츠,936669,3.5,54350,5.8
논산시,문화관광,936669,3.5,92505,9.9
논산시,쇼핑,936669,3.5,51700,5.5
논산시,숙박,936669,3.5,100484,10.7
논산시,역사관광,936669,3.5,52561,5.6
논산시,음식,936669,3.5,339907,36.3
논산시,자연관광,936669,3.5,62343,6.7
논산시,체험관광,936669,3.5,9367,1.0
당진시,기타관광,1951552,7.3,165142,8.5
당진시,레저스포츠,1951552,7.3,91908,4.7
당진시,문화관광,1951552,7.3,409668,21.0
당진시,쇼핑,1951552,7.3,93608,4.8
당진시,숙박,1951552,7.3,132643,6.8
당진시,역사관광,1951552,7.3,38965,2.0
당진시,음식,1951552,7.3,705801,36.2
당진시,자연관광,1951552,7.3,312583,16.0
당진시,체험관광,1951552,7.3,1234,0.1
보령시,기타관광,1909208,7.1,130760,6.8
보령시,레저스포츠,1909208,7.1,90951,4.8
보령시,문화관광,1909208,7.1,168435,8.8
보령시,쇼핑,1909208,7.1,151425,7.9
보령시,숙박,1909208,7.1,446431,23.4
보령시,역사관광,1909208,7.1,12666,0.7
보령시,음식,1909208,7.1,529091,27.7
