기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
괴산군,기타관광,487773,2.9,78866,16.2
괴산군,레저스포츠,487773,2.9,9098,1.9
괴산군,문화관광,487773,2.9,30316,6.2
괴산군,쇼핑,487773,2.9,15613,3.2
괴산군,숙박,487773,2.9,130900,26.8
괴산군,역사관광,487773,2.9,15716,3.2
괴산군,음식,487773,2.9,97302,19.9
괴산군,자연관광,487773,2.9,105097,21.5
괴산군,체험관광,487773,2.9,4865,1.0
단양군,기타관광,1350236,8.0,219209,16.2
단양군,레저스포츠,1350236,8.0,66621,4.9
단양군,문화관광,1350236,8.0,211294,15.6
단양군,쇼핑,1350236,8.0,132947,9.8
단양군,숙박,1350236,8.0,270704,20.0
단양군,역사관광,1350236,8.0,62526,4.6
단양군,음식,1350236,8.0,289290,21.4
단양군,자연관광,1350236,8.0,96342,7.1
단양군,체험관광,1350236,8.0,1303,0.1
보은군,기타관광,437730,2.6,27100,6.2
보은군,레저스포츠,437730,2.6,64294,14.7
보은군,문화관광,437730,2.6,51033,11.7
보은군,쇼핑,437730,2.6,4503,1.0
보은군,숙박,437730,2.6,59897,13.7
보은군,역사관광,437730,2.6,80166,18.3
보은군,음식,437730,2.6,83439,19.1
보은군,자연관광,437730,2.6,67144,15.3
보은군,체험관광,437730,2.6,154,0.0
영동군,기타관광,236894,1.4,46780,19.7
영동군,레저스포츠,236894,1.4,28098,11.9
영동군,문화관광,236894,1.4,19042,8.0
영동군,쇼핑,236894,1.4,4824,2.0
영동군,숙박,236894,1.4,25076,10.6
영동군,역사관광,236894,1.4,18164,7.7
영동군,음식,236894,1.4,54920,23.2
영동군,자연관광,236894,1.4,39503,16.7
영동군,체험관광,236894,1.4,487,0.2
옥천군,기타관광,379024,2.2,54498,14.4
옥천군,레저스포츠,379024,2.2,11765,3.1
옥천군,문화관광,379024,2.2,63621,16.8
옥천군,쇼핑,379024,2.2,5740,1.5
옥천군,숙박,379024,2.2,32251,8.5
옥천군,역사관광,379024,2.2,22747,6.0
옥천군,음식,379024,2.2,155648,41.1
옥천군,자연관광,379024,2.2,29369,7.7
옥천군,체험관광,379024,2.2,3385,0.9
음성군,기타관광,914422,5.4,75164,8.2
음성군,레저스포츠,914422,5.4,310200,33.9
음성군,문화관광,914422,5.4,52119,5.7
음성군,쇼핑,914422,5.4,30851,3.4
음성군,숙박,914422,5.4,71949,7.9
음성군,역사관광,914422,5.4,17943,2.0
음성군,음식,914422,5.4,326027,35.7
음성군,자연관광,914422,5.4,29229,3.2
음성군,체험관광,914422,5.4,940,0.1
제천시,기타관광,2033567,12.0,313436,15.4
제천시,레저스포츠,2033567,12.0,127693,6.3
제천시,문화관광,2033567,12.0,72772,3.6
제천시,쇼핑,2033567,12.0,177619,8.7
제천시,숙박,2033567,12.0,475186,23.4
제천시,역사관광,2033567,12.0,58709,2.9
제천시,음식,2033567,12.0,658950,32.4
제천시,자연관광,2033567,12.0,137763,6.8
제천시,체험관광,2033567,12.0,11439,0.6
증평군,기타관광,317130,1.9,33386,10.5
증평군,레저스포츠,317130,1.9,45562,14.4
증평군,문화관광,317130,1.9,20239,6.4
증평군,쇼핑,317130,1.9,7047,2.2
증평군,숙박,317130,1.9,29934,9.4
증평군,역사관광,317130,1.9,2061,0.6
증평군,음식,317130,1.9,148984,47.0
증평군,자연관광,317130,1.9,25308,8.0
증평군,체험관광,317130,1.9,4609,1.5
진천군,기타관광,902805,5.3,58885,6.5
진천군,레저스포츠,902805,5.3,244480,27.1
진천군,문화관광,902805,5.3,41154,4.6
진천군,쇼핑,902805,5.3,20468,2.3
진천군,숙박,902805,5.3,97719,10.8
진천군,역사관광,902805,5.3,78762,8.7
진천군,음식,902805,5.3,319113,35.3
진천군,자연관광,902805,5.3,40926,4.5
진천군,체험관광,902805,5.3,1298,0.1
청주시 상당구,기타관광,1640509,9.7,112423,6.9
청주시 상당구,레저스포츠,1640509,9.7,60796,3.7
청주시 상당구,문화관광,1640509,9.7,278369,17.0
청주시 상당구,쇼핑,1640509,9.7,158799,9.7
청주시 상당구,숙박,1640509,9.7,140312,8.6
청주시 상당구,역사관광,1640509,9.7,62195,3.8
청주시 상당구,음식,1640509,9.7,788367,48.1
청주시 상당구,자연관광,1640509,9.7,33644,2.1
청주시 상당구,체험관광,1640509,9.7,5604,0.3
청주시 서원구,기타관광,1016847,6.0,8675,0.9
청주시 서원구,레저스포츠,1016847,6.0,49780,4.9
청주시 서원구,문화관광,1016847,6.0,56440,5.6
청주시 서원구,쇼핑,1016847,6.0,130205,12.8
청주시 서원구,숙박,1016847,6.0,16390,1.6
청주시 서원구,역사관광,1016847,6.0,10310,1.0
청주시 서원구,음식,1016847,6.0,728178,71.6
청주시 서원구,자연관광,1016847,6.0,77,0.0
청주시 서원구,체험관광,1016847,6.0,16792,1.7
청주시 청원구,기타관광,1880600,11.1,396226,21.1
청주시 청원구,레저스포츠,1880600,11.1,107048,5.7
청주시 청원구,문화관광,1880600,11.1,191458,10.2
청주시 청원구,쇼핑,1880600,11.1,95264,5.1
청주시 청원구,숙박,1880600,11.1,173336,9.2
청주시 청원구,역사관광,1880600,11.1,25787,1.4
청주시 청원구,음식,1880600,11.1,872782,46.4
청주시 청원구,자연관광,1880600,11.1,15334,0.8
청주시 청원구,체험관광,1880600,11.1,3365,0.2
청주시 흥덕구,기타관광,2723010,16.1,766758,28.2
청주시 흥덕구,레저스포츠,2723010,16.1,99390,3.7
청주시 흥덕구,문화관광,2723010,16.1,115127,4.2
청주시 흥덕구,쇼핑,2723010,16.1,512708,18.8
청주시 흥덕구,숙박,2723010,16.1,212421,7.8
청주시 흥덕구,역사관광,2723010,16.1,3080,0.1
청주시 흥덕구,음식,2723010,16.1,1010317,37.1
청주시 흥덕구,자연관광,2723010,16.1,1982,0.1
청주시 흥덕구,체험관광,2723010,16.1,1227,0.0
충주시,기타관광,2569633,15.2,190579,7.4
충주시,레저스포츠,2569633,15.2,660127,25.7
충주시,문화관광,2569633,15.2,184147,7.2
충주시,쇼핑,2569633,15.2,161052,6.3
충주시,숙박,2569633,15.2,325000,12.6
충주시,역사관광,2569633,15.2,27933,1.1
충주시,음식,2569633,15.2,832481,32.4
충주시,자연관광,2569633,15.2,122467,4.8
충주시,체험관광,2569633,15.2,65847,2.6
