기준연월,업종대분류명,소비액(천원)
202201,숙박업,2.0738225E7
202201,운송업,55247.0
202201,쇼핑업,1.5446243E7
202201,여가서비스업,7852979.0
202201,식음료업,5.3111673E7
202201,여행업,230240.0
202202,숙박업,1.7166154E7
202202,운송업,47279.0
202202,쇼핑업,1.1926163E7
202202,여가서비스업,8922462.0
202202,식음료업,4.4641925E7
202202,여행업,208316.0
202203,숙박업,8224277.0
202203,운송업,31991.0
202203,쇼핑업,1.2280738E7
202203,여가서비스업,1.3360008E7
202203,식음료업,3.6738906E7
202203,여행업,170724.0
202204,숙박업,1.1706274E7
202204,운송업,63098.0
202204,쇼핑업,1.4903256E7
202204,여가서비스업,2.1753838E7
202204,식음료업,5.3520764E7
202204,여행업,323360.0
202205,숙박업,1.6380731E7
202205,운송업,99817.0
202205,쇼핑업,1.6343244E7
202205,여가서비스업,2.803487E7
202205,식음료업,6.7066923E7
202205,여행업,441684.0
202206,숙박업,1.790609E7
202206,운송업,119819.0
202206,쇼핑업,1.4263592E7
202206,여가서비스업,2.5644864E7
202206,식음료업,6.781879E7
202206,여행업,480794.0
202207,숙박업,2.6500613E7
202207,운송업,125164.0
202207,쇼핑업,1.5095201E7
202207,여가서비스업,2.6068146E7
202207,식음료업,7.9010455E7
202207,여행업,651555.0
202208,숙박업,3.171065E7
202208,운송업,145410.0
202208,쇼핑업,1.4633427E7
202208,여가서비스업,2.6142189E7
202208,식음료업,9.3872245E7
202208,여행업,570788.0
202209,숙박업,1.488407E7
202209,운송업,104873.0
202209,쇼핑업,1.4250527E7
202209,여가서비스업,2.2802229E7
202209,식음료업,6.0099357E7
202209,여행업,309479.0
202210,숙박업,1.7484209E7
202210,운송업,226530.0
202210,쇼핑업,1.6330259E7
202210,여가서비스업,2.6400564E7
202210,식음료업,7.4409903E7
202210,여행업,499592.0
202211,숙박업,1.1551923E7
202211,운송업,105075.0
202211,쇼핑업,1.3466513E7
202211,여가서비스업,1.9112034E7
202211,식음료업,5.34678E7
202211,여행업,303020.0
202212,숙박업,1.8043272E7
202212,운송업,62317.0
202212,쇼핑업,1.5285642E7
202212,여가서비스업,8619267.0
202212,식음료업,5.5121332E7
202212,여행업,220075.0
202301,숙박업,2.2261879E7
202301,운송업,36007.0
202301,쇼핑업,1.4084526E7
202301,여가서비스업,7539877.0
202301,식음료업,5.6361548E7
202301,여행업,253190.0
202302,숙박업,1.8558775E7
202302,운송업,46843.0
202302,쇼핑업,1.2413975E7
202302,여가서비스업,9703806.0
202302,식음료업,5.6336359E7
202302,여행업,290580.0
202303,숙박업,9554949.0
202303,운송업,59100.0
202303,쇼핑업,1.3595242E7
202303,여가서비스업,1.5807408E7
202303,식음료업,5.0554545E7
202303,여행업,200069.0
202304,숙박업,1.1662427E7
202304,운송업,105487.0
202304,쇼핑업,1.3757898E7
202304,여가서비스업,2.0297641E7
202304,식음료업,5.8426095E7
202304,여행업,174354.0
202305,숙박업,1.4634523E7
202305,운송업,109760.0
202305,쇼핑업,1.4914005E7
202305,여가서비스업,2.3690855E7
202305,식음료업,6.4644925E7
202305,여행업,159231.0
202306,숙박업,1.5141982E7
202306,운송업,134002.0
202306,쇼핑업,1.2895525E7
202306,여가서비스업,2.3317464E7
202306,식음료업,6.3627577E7
202306,여행업,202005.0
202201,전체,9.7434607E7
202202,전체,8.2912299E7
202203,전체,7.0806644E7
202204,전체,1.02270591E8
202205,전체,1.28367268E8
202206,전체,1.26233949E8
202207,전체,1.47451134E8
202208,전체,1.67074708E8
202209,전체,1.12450537E8
202210,전체,1.35351059E8
202211,전체,9.8006366E7
202212,전체,9.7351906E7
202301,전체,1.00537027E8
202302,전체,9.7350338E7
202303,전체,8.9771312E7
202304,전체,1.04423901E8
202305,전체,1.18153299E8
202306,전체,1.15318554E8
