기준연월,목적지 유형,목적지 검색량
202201,숙박,782365
202201,음식,825511
202201,기타관광,83270
202201,쇼핑,241912
202201,문화관광,294575
202201,역사관광,82293
202201,자연관광,294454
202201,체험관광,13244
202201,레저스포츠,212131
202202,숙박,777212
202202,음식,903429
202202,기타관광,88402
202202,쇼핑,235090
202202,문화관광,277859
202202,역사관광,80997
202202,자연관광,268492
202202,체험관광,11783
202202,레저스포츠,231011
202203,숙박,418616
202203,음식,656526
202203,기타관광,59363
202203,쇼핑,167553
202203,자연관광,182018
202203,문화관광,162260
202203,역사관광,53235
202203,체험관광,7867
202203,레저스포츠,209507
202204,숙박,777239
202204,음식,1047107
202204,기타관광,131410
202204,쇼핑,235143
202204,문화관광,286897
202204,역사관광,97974
202204,자연관광,317456
202204,체험관광,13861
202204,레저스포츠,314474
202205,숙박,1016726
202205,음식,1353898
202205,기타관광,135961
202205,쇼핑,285114
202205,문화관광,456511
202205,역사관광,130163
202205,자연관광,415437
202205,체험관광,19133
202205,레저스포츠,379052
202206,숙박,1163148
202206,음식,1431000
202206,기타관광,140926
202206,쇼핑,293547
202206,문화관광,439860
202206,역사관광,120347
202206,자연관광,443899
202206,체험관광,18613
202206,레저스포츠,372403
202207,숙박,1547787
202207,음식,1739781
202207,기타관광,132417
202207,쇼핑,348731
202207,문화관광,406699
202207,역사관광,123132
202207,자연관광,637703
202207,체험관광,21088
202207,레저스포츠,406785
202208,숙박,1787583
202208,음식,2135687
202208,기타관광,164651
202208,쇼핑,432205
202208,문화관광,499141
202208,역사관광,156505
202208,자연관광,832416
202208,체험관광,27978
202208,레저스포츠,414068
202209,숙박,963486
202209,음식,1184210
202209,기타관광,140421
202209,쇼핑,260270
202209,자연관광,390771
202209,문화관광,348739
202209,역사관광,112304
202209,체험관광,17172
202209,레저스포츠,348983
202210,숙박,1227900
202210,음식,1548836
202210,기타관광,440215
202210,쇼핑,330151
202210,자연관광,570057
202210,문화관광,536425
202210,역사관광,215813
202210,체험관광,27015
202210,레저스포츠,390210
202211,숙박,773744
202211,음식,1036880
202211,기타관광,266750
202211,쇼핑,237026
202211,문화관광,294243
202211,역사관광,111519
202211,자연관광,295298
202211,체험관광,15619
202211,레저스포츠,287955
202212,숙박,967484
202212,음식,1090237
202212,기타관광,222788
202212,쇼핑,264291
202212,문화관광,317545
202212,역사관광,67567
202212,자연관광,248731
202212,체험관광,16940
202212,레저스포츠,203117
202301,숙박,911298
202301,음식,1030881
202301,기타관광,240050
202301,쇼핑,248742
202301,자연관광,256515
202301,문화관광,411668
202301,역사관광,77054
202301,체험관광,17554
202301,레저스포츠,214205
202302,기타관광,232504
202302,쇼핑,260368
202302,숙박,928226
202302,음식,1133075
202302,문화관광,331229
202302,역사관광,85260
202302,자연관광,266385
202302,체험관광,18051
202302,레저스포츠,245702
202303,기타관광,217502
202303,쇼핑,220225
202303,숙박,572387
202303,음식,954146
202303,문화관광,237357
202303,역사관광,81777
202303,자연관광,254656
202303,체험관광,14014
202303,레저스포츠,258099
202304,기타관광,273553
202304,쇼핑,253193
202304,숙박,803017
202304,음식,1154492
202304,문화관광,340862
202304,역사관광,110598
202304,자연관광,309706
202304,체험관광,19934
202304,레저스포츠,341992
202305,기타관광,278598
202305,쇼핑,268186
202305,숙박,903678
202305,음식,1225856
202305,문화관광,387091
202305,역사관광,125409
202305,자연관광,342233
202305,체험관광,21838
202305,레저스포츠,376711
202306,기타관광,296790
202306,쇼핑,257832
202306,숙박,1062113
202306,음식,1378932
202306,문화관광,458841
202306,역사관광,123972
202306,자연관광,436412
202306,체험관광,25203
202306,레저스포츠,410292
