기준연월,업종대분류명,소비액(천원)
202201,숙박업,1.2556811E7
202201,운송업,9215923.0
202201,쇼핑업,2.91214551E8
202201,여가서비스업,3.493667E7
202201,식음료업,3.02538737E8
202201,여행업,85189.0
202202,숙박업,1.1553639E7
202202,운송업,8868632.0
202202,쇼핑업,2.38557399E8
202202,여가서비스업,4.0785763E7
202202,식음료업,2.5792975E8
202202,여행업,94617.0
202203,숙박업,1.3162543E7
202203,운송업,9536386.0
202203,쇼핑업,2.82617949E8
202203,여가서비스업,7.1467724E7
202203,식음료업,3.16636493E8
202203,여행업,124679.0
202204,숙박업,1.3927903E7
202204,운송업,1.0425991E7
202204,쇼핑업,3.1759978E8
202204,여가서비스업,9.3360497E7
202204,식음료업,3.86939078E8
202204,여행업,150519.0
202205,숙박업,1.5183857E7
202205,운송업,1.1277484E7
202205,쇼핑업,3.29239673E8
202205,여가서비스업,1.08385317E8
202205,식음료업,4.41500115E8
202205,여행업,145493.0
202206,숙박업,1.4808196E7
202206,운송업,1.1307695E7
202206,쇼핑업,2.99500092E8
202206,여가서비스업,1.0113598E8
202206,식음료업,4.09431054E8
202206,여행업,142999.0
202207,숙박업,1.6494241E7
202207,운송업,1.1606857E7
202207,쇼핑업,2.97250081E8
202207,여가서비스업,9.7832385E7
202207,식음료업,4.31590069E8
202207,여행업,179328.0
202208,숙박업,1.6469271E7
202208,운송업,1.1729081E7
202208,쇼핑업,2.79003941E8
202208,여가서비스업,8.7700694E7
202208,식음료업,4.14622331E8
202208,여행업,189928.0
202209,숙박업,1.4410231E7
202209,운송업,1.1498462E7
202209,쇼핑업,3.01692772E8
202209,여가서비스업,9.3368699E7
202209,식음료업,3.87714162E8
202209,여행업,134431.0
202210,숙박업,1.668476E7
202210,운송업,1.2152233E7
202210,쇼핑업,3.53934573E8
202210,여가서비스업,1.00654015E8
202210,식음료업,4.33683621E8
202210,여행업,158537.0
202211,숙박업,1.44571E7
202211,운송업,1.1913887E7
202211,쇼핑업,2.98364567E8
202211,여가서비스업,8.0577322E7
202211,식음료업,3.79470181E8
202211,여행업,165657.0
202212,숙박업,1.4605425E7
202212,운송업,1.1550049E7
202212,쇼핑업,3.05482097E8
202212,여가서비스업,3.884265E7
202212,식음료업,3.92730972E8
202212,여행업,159964.0
202301,숙박업,1.2760491E7
202301,운송업,1.1573767E7
202301,쇼핑업,2.62600386E8
202301,여가서비스업,3.4115609E7
202301,식음료업,3.65854266E8
202301,여행업,197410.0
202302,숙박업,1.2465958E7
202302,운송업,1.1294296E7
202302,쇼핑업,2.47643295E8
202302,여가서비스업,4.8408456E7
202302,식음료업,3.65607442E8
202302,여행업,161136.0
202303,숙박업,1.3135048E7
202303,운송업,1.1798741E7
202303,쇼핑업,2.91776328E8
202303,여가서비스업,8.1761392E7
202303,식음료업,4.10049855E8
202303,여행업,215735.0
202304,숙박업,1.4406715E7
202304,운송업,1.1807335E7
202304,쇼핑업,3.09270384E8
202304,여가서비스업,9.089192E7
202304,식음료업,4.26573394E8
202304,여행업,190924.0
202305,숙박업,1.5189521E7
202305,운송업,1.1587482E7
202305,쇼핑업,3.32261488E8
202305,여가서비스업,9.8052622E7
202305,식음료업,4.50003554E8
202305,여행업,242329.0
202306,숙박업,1.4217867E7
202306,운송업,1.1196064E7
202306,쇼핑업,2.75240986E8
202306,여가서비스업,9.7065714E7
202306,식음료업,4.18748356E8
202306,여행업,157177.0
202201,전체,6.50547882E8
202202,전체,5.577898E8
202203,전체,6.93545774E8
202204,전체,8.22403768E8
202205,전체,9.05731939E8
202206,전체,8.36326015E8
202207,전체,8.5495296E8
202208,전체,8.09715247E8
202209,전체,8.08818757E8
202210,전체,9.17267738E8
202211,전체,7.84948713E8
202212,전체,7.63371157E8
202301,전체,6.87101928E8
202302,전체,6.85580585E8
202303,전체,8.08737099E8
202304,전체,8.53140673E8
202305,전체,9.07336997E8
202306,전체,8.16626164E8
