기준연월,동반유형명,언급건수
202305,기타가족,16987866
202306,기타가족,16268574
202304,기타가족,14305704
202303,기타가족,13818210
202207,기타가족,13531014
202208,기타가족,13213494
202210,기타가족,13091064
202209,기타가족,12576480
202206,기타가족,12574674
202301,기타가족,12352368
202211,기타가족,12321666
202212,기타가족,12247116
202302,기타가족,12066852
202205,기타가족,12051270
202306,친구,9815904
202305,친구,9490866
202304,친구,8502690
202303,친구,8008980
202204,기타가족,7708890
202305,회사동료,7566174
202306,회사동료,7535682
202305,부모님,7481838
202203,기타가족,7308126
202201,기타가족,7246176
202207,친구,7209678
202306,부모님,7166250
202304,회사동료,7157136
202210,친구,7020930
202302,친구,6825756
202212,친구,6772500
202208,친구,6710298
202211,친구,6647214
202301,친구,6549144
202206,친구,6490680
202202,기타가족,6392232
202209,친구,6373038
202303,부모님,6278328
202303,회사동료,6188070
202305,자녀,6186600
202207,부모님,6111462
202304,부모님,6060180
202306,자녀,6002262
202210,부모님,5971602
202205,친구,5946696
202208,부모님,5788020
202301,부모님,5684406
202205,부모님,5623002
202206,부모님,5581590
202302,부모님,5531358
202209,부모님,5514096
202207,자녀,5488182
202303,자녀,5482680
202304,자녀,5456514
202211,부모님,5402628
202205,자녀,5381754
202212,부모님,5376630
202210,자녀,5271840
202211,자녀,5210562
202302,회사동료,5174358
202210,회사동료,5125176
202211,회사동료,5069946
202206,자녀,5069400
202209,회사동료,5019378
202212,회사동료,4937982
202207,회사동료,4883256
202212,자녀,4880022
202208,자녀,4830840
202302,자녀,4818534
202301,회사동료,4806144
202208,회사동료,4766412
202209,자녀,4584636
202206,회사동료,4508784
202205,회사동료,4505130
202301,자녀,4474764
202204,친구,4277364
202206,배우자,4263798
202203,친구,4019442
202201,친구,3982272
202207,배우자,3616452
202202,친구,3553242
202204,부모님,3503598
202306,배우자,3456348
202204,자녀,3395028
202305,배우자,3385914
202203,부모님,3361470
202306,싱글,3310230
202201,부모님,3254076
202203,자녀,3245592
202303,배우자,3216024
202305,싱글,3164532
202304,배우자,3090444
202205,배우자,2989182
202305,연인,2979984
202306,연인,2967468
202207,싱글,2963688
202202,부모님,2911776
202303,싱글,2871582
202210,배우자,2839956
202304,싱글,2830632
202201,자녀,2820006
202203,회사동료,2770110
202208,배우자,2760114
202302,배우자,2750118
202210,싱글,2732730
202201,회사동료,2731218
202204,회사동료,2727480
202206,싱글,2701986
202202,자녀,2687454
202208,싱글,2655072
202301,배우자,2648100
202212,싱글,2638860
202211,배우자,2633358
202209,배우자,2610132
202211,싱글,2603958
202301,싱글,2590350
202212,배우자,2574264
202302,싱글,2566662
202304,연인,2549820
202303,연인,2537262
202202,회사동료,2487072
202205,싱글,2482662
202209,싱글,2441460
202212,연인,2212896
202204,배우자,2209158
202302,연인,2185050
202301,연인,2083410
202210,연인,2082864
202208,연인,2041242
202209,연인,2016672
202207,연인,2008272
202211,연인,2000040
202203,배우자,1930782
202206,연인,1814106
202305,학생,1750224
202306,학생,1741320
202205,연인,1718934
202304,학생,1681218
202303,학생,1661520
202203,싱글,1638798
202302,학생,1620612
202204,싱글,1615698
202201,싱글,1604106
202212,학생,1550514
202201,배우자,1540434
202207,학생,1519602
202211,학생,1511706
202301,학생,1510488
202204,연인,1479492
202210,학생,1474410
202202,배우자,1450008
202208,학생,1449000
202202,싱글,1418970
202203,연인,1362144
202209,학생,1308762
202201,연인,1277808
202205,학생,1260882
202206,학생,1207542
202202,연인,1126272
202203,학생,897456
202204,학생,797748
202201,학생,745206
202202,학생,708582
