기준연월,목적지 유형,목적지 검색량
202201,숙박,549992
202201,음식,3350040
202201,쇼핑,2108572
202201,기타관광,107262
202201,문화관광,715064
202201,역사관광,153347
202201,자연관광,165098
202201,체험관광,40823
202201,레저스포츠,432642
202202,숙박,581444
202202,음식,3626431
202202,쇼핑,2016590
202202,문화관광,712329
202202,역사관광,157275
202202,자연관광,167130
202202,체험관광,36628
202202,레저스포츠,519637
202202,기타관광,111236
202203,숙박,571590
202203,음식,4332448
202203,쇼핑,2186180
202203,기타관광,114670
202203,문화관광,888637
202203,역사관광,162408
202203,자연관광,191426
202203,체험관광,35509
202203,레저스포츠,879754
202204,숙박,767016
202204,음식,5468036
202204,쇼핑,2356954
202204,기타관광,177903
202204,문화관광,1428771
202204,역사관광,254334
202204,자연관광,345512
202204,체험관광,48531
202204,레저스포츠,1190645
202205,숙박,890393
202205,음식,6520167
202205,쇼핑,2532362
202205,기타관광,166952
202205,문화관광,1718835
202205,역사관광,299755
202205,자연관광,367108
202205,체험관광,59996
202205,레저스포츠,1285784
202206,숙박,949384
202206,음식,6731585
202206,쇼핑,2460631
202206,기타관광,139125
202206,문화관광,1659680
202206,역사관광,213148
202206,자연관광,312645
202206,체험관광,59170
202206,레저스포츠,1193041
202207,숙박,1051061
202207,음식,7476065
202207,쇼핑,2682141
202207,기타관광,123222
202207,문화관광,1565261
202207,역사관광,202433
202207,자연관광,331169
202207,체험관광,53576
202207,레저스포츠,1190505
202208,숙박,1069124
202208,음식,7304541
202208,쇼핑,2686923
202208,기타관광,144991
202208,문화관광,1630268
202208,역사관광,224804
202208,자연관광,353428
202208,체험관광,59426
202208,레저스포츠,1100158
202209,숙박,905969
202209,음식,6353925
202209,쇼핑,2795075
202209,기타관광,251625
202209,문화관광,1581636
202209,역사관광,286002
202209,자연관광,338356
202209,체험관광,66779
202209,레저스포츠,1160892
202210,숙박,1078115
202210,음식,7238754
202210,쇼핑,4183584
202210,기타관광,941459
202210,문화관광,1972455
202210,역사관광,337714
202210,자연관광,469349
202210,체험관광,100238
202210,레저스포츠,1292926
202211,숙박,865695
202211,음식,6301287
202211,쇼핑,3727661
202211,기타관광,807315
202211,문화관광,1362263
202211,역사관광,232924
202211,자연관광,289049
202211,체험관광,57393
202211,레저스포츠,1055415
202212,숙박,865158
202212,음식,6622644
202212,쇼핑,4158856
202212,기타관광,724407
202212,문화관광,1192384
202212,역사관광,138059
202212,자연관광,140773
202212,체험관광,67161
202212,레저스포츠,473602
202301,숙박,707904
202301,음식,5903378
202301,쇼핑,3807311
202301,기타관광,701310
202301,문화관광,1120297
202301,역사관광,171923
202301,자연관광,150014
202301,체험관광,73399
202301,레저스포츠,375304
202302,쇼핑,3408198
202302,숙박,727270
202302,음식,6039314
202302,기타관광,680442
202302,문화관광,1220764
202302,역사관광,167811
202302,자연관광,157545
202302,체험관광,73042
202302,레저스포츠,603850
202303,쇼핑,3722712
202303,숙박,727008
202303,음식,6823540
202303,기타관광,764422
202303,문화관광,1495719
202303,역사관광,214685
202303,자연관광,218318
202303,체험관광,60105
202303,레저스포츠,1051979
202304,쇼핑,3752135
202304,숙박,892372
202304,음식,7183290
202304,기타관광,832253
202304,문화관광,1796315
202304,역사관광,262940
202304,자연관광,314180
202304,체험관광,88192
202304,레저스포츠,1304302
202305,쇼핑,3800423
202305,숙박,886927
202305,음식,7344124
202305,기타관광,796220
202305,문화관광,1815750
202305,역사관광,293167
202305,자연관광,247011
202305,체험관광,79707
202305,레저스포츠,1326728
202306,쇼핑,3092705
202306,숙박,958024
202306,음식,7313962
202306,기타관광,780156
202306,문화관광,1844325
202306,역사관광,244147
202306,자연관광,299386
202306,체험관광,75323
202306,레저스포츠,1335814
