기준연월,동반유형명,언급건수
202305,기타가족,2112396
202306,기타가족,2012912
202208,기타가족,1858648
202303,기타가족,1717540
202210,기타가족,1685266
202304,기타가족,1685244
202209,기타가족,1675256
202205,기타가족,1643708
202207,기타가족,1576982
202206,기타가족,1544334
202301,기타가족,1533070
202211,기타가족,1532124
202212,기타가족,1490500
202302,기타가족,1483944
202201,기타가족,1106732
202204,기타가족,1047090
202306,친구,1038884
202305,친구,992332
202305,부모님,960168
202203,기타가족,949894
202306,부모님,916960
202202,기타가족,904772
202208,부모님,890428
202210,자녀,884598
202303,친구,867394
202206,부모님,865436
202304,친구,857868
202205,부모님,853886
202208,친구,822712
202305,자녀,821326
202209,부모님,806476
202208,자녀,794090
202304,부모님,780560
202303,부모님,780318
202210,친구,776644
202305,회사동료,773806
202306,회사동료,770902
202210,부모님,770506
202306,자녀,763884
202303,자녀,748242
202205,자녀,740146
202207,친구,737968
202211,친구,731522
202301,부모님,721578
202302,친구,717574
202212,친구,716254
202207,부모님,709896
202301,친구,709852
202209,친구,707872
202211,부모님,707190
202212,자녀,703098
202302,부모님,694364
202206,친구,687456
202211,자녀,684772
202304,자녀,681978
202207,자녀,681868
202302,자녀,673684
202209,자녀,672452
202304,회사동료,668514
202303,회사동료,667458
202212,부모님,663322
202205,친구,658394
202206,자녀,655006
202207,회사동료,605286
202301,자녀,602844
202212,회사동료,580976
202208,회사동료,563376
202201,친구,562628
202302,회사동료,561924
202209,회사동료,538054
202210,회사동료,526988
202301,회사동료,526196
202206,회사동료,524172
202205,회사동료,513854
202204,부모님,506902
202204,자녀,506132
202211,회사동료,505890
202204,친구,500566
202203,자녀,463430
202201,자녀,457688
202203,친구,450274
202205,배우자,440044
202203,부모님,439934
202201,부모님,433818
202202,친구,431970
202305,배우자,428824
202202,부모님,417890
202306,배우자,408298
202202,자녀,397540
202208,배우자,396330
202206,배우자,394482
202303,배우자,382734
202306,싱글,376684
202304,배우자,375144
202210,배우자,371844
202305,싱글,363198
202201,회사동료,349514
202210,싱글,347094
202208,싱글,345378
202207,싱글,341330
202303,싱글,339438
202302,배우자,329956
202306,연인,328460
202211,배우자,327162
202305,연인,327140
202212,배우자,324808
202207,배우자,323950
202203,회사동료,322256
202209,배우자,321486
202205,싱글,318604
202301,배우자,317328
202304,싱글,314446
202204,회사동료,312400
202209,싱글,311278
202211,싱글,306966
202206,싱글,302302
202303,연인,287386
202301,싱글,286154
202212,싱글,283712
202302,싱글,283030
202210,연인,274274
202304,연인,272360
202202,회사동료,266156
202204,배우자,253660
202206,연인,249172
202208,연인,242990
202207,연인,240438
202204,싱글,239096
202209,연인,226226
202203,배우자,225940
202211,연인,220880
202302,연인,212278
202205,연인,211882
202201,배우자,210364
202212,연인,210100
202203,싱글,201366
202208,학생,200266
202301,연인,197890
202201,싱글,194458
202202,싱글,178266
202202,배우자,177980
202305,학생,177892
202306,학생,175120
202303,학생,174526
202207,학생,169994
202204,연인,169972
202203,연인,169136
202212,학생,167178
202211,학생,155694
202201,연인,150502
202302,학생,150128
202210,학생,148654
202304,학생,147686
202301,학생,145750
202205,학생,142472
202206,학생,140734
202202,연인,139876
202209,학생,138644
202203,학생,110836
202204,학생,100892
202201,학생,100584
202202,학생,97592
