기준연월,업종대분류명,소비액(천원)
202201,숙박업,4691527.0
202201,운송업,56781.0
202201,쇼핑업,2.0070759E7
202201,여가서비스업,1.0361577E7
202201,식음료업,4.9895311E7
202201,여행업,11782.0
202202,숙박업,4172770.0
202202,운송업,66752.0
202202,쇼핑업,1.5085859E7
202202,여가서비스업,1.1302899E7
202202,식음료업,4.1301037E7
202203,숙박업,4068688.0
202203,운송업,49515.0
202203,쇼핑업,1.8302197E7
202203,여가서비스업,1.6214258E7
202203,식음료업,4.6357883E7
202203,여행업,12177.0
202204,숙박업,5609520.0
202204,운송업,142559.0
202204,쇼핑업,2.1179214E7
202204,여가서비스업,2.0425957E7
202204,식음료업,6.2357521E7
202204,여행업,26424.0
202205,숙박업,6384831.0
202205,운송업,252470.0
202205,쇼핑업,2.261474E7
202205,여가서비스업,2.3259838E7
202205,식음료업,7.1042944E7
202205,여행업,30659.0
202206,숙박업,6323438.0
202206,여행업,30845.0
202206,운송업,190144.0
202206,쇼핑업,1.9610272E7
202206,여가서비스업,2.2995786E7
202206,식음료업,6.5939561E7
202207,숙박업,7677014.0
202207,여행업,26139.0
202207,운송업,180180.0
202207,쇼핑업,1.968182E7
202207,여가서비스업,2.115494E7
202207,식음료업,7.0052824E7
202208,숙박업,8987682.0
202208,운송업,241094.0
202208,쇼핑업,1.823486E7
202208,여가서비스업,2.0518542E7
202208,식음료업,7.6354319E7
202208,여행업,51279.0
202209,숙박업,5678792.0
202209,운송업,154415.0
202209,쇼핑업,1.9289617E7
202209,여가서비스업,1.9929307E7
202209,식음료업,6.1349153E7
202209,여행업,22162.0
202210,숙박업,7439851.0
202210,운송업,205637.0
202210,쇼핑업,2.2958046E7
202210,여가서비스업,2.3589651E7
202210,식음료업,7.6356494E7
202210,여행업,42700.0
202211,숙박업,6206846.0
202211,운송업,120128.0
202211,쇼핑업,2.0282798E7
202211,여가서비스업,1.9292886E7
202211,식음료업,6.2891312E7
202211,여행업,20002.0
202212,숙박업,5635402.0
202212,운송업,50196.0
202212,쇼핑업,2.0775925E7
202212,여가서비스업,1.0939521E7
202212,식음료업,6.0393466E7
202212,여행업,29924.0
202301,숙박업,5289319.0
202301,운송업,71331.0
202301,쇼핑업,1.8357921E7
202301,여가서비스업,8775417.0
202301,식음료업,6.0056143E7
202301,여행업,16756.0
202302,숙박업,5339141.0
202302,운송업,85215.0
202302,쇼핑업,1.5318085E7
202302,여가서비스업,1.2006543E7
202302,식음료업,5.8701087E7
202303,숙박업,5349509.0
202303,여행업,57603.0
202303,운송업,111545.0
202303,쇼핑업,2.0203697E7
202303,여가서비스업,1.8215974E7
202303,식음료업,6.5242675E7
202304,숙박업,6064047.0
202304,여행업,36909.0
202304,운송업,204025.0
202304,쇼핑업,2.0707797E7
202304,여가서비스업,2.0656395E7
202304,식음료업,7.0644244E7
202305,숙박업,6240217.0
202305,운송업,212495.0
202305,쇼핑업,2.0821715E7
202305,여가서비스업,2.137778E7
202305,식음료업,7.2264991E7
202305,여행업,43815.0
202306,숙박업,5682020.0
202306,여행업,47742.0
202306,운송업,188769.0
202306,쇼핑업,1.79759E7
202306,여가서비스업,2.1423652E7
202306,식음료업,6.6045204E7
202202,여행업,16722.0
202302,여행업,6875.0
202201,전체,8.5087736E7
202202,전체,7.1946039E7
202203,전체,8.5004716E7
202204,전체,1.09741196E8
202205,전체,1.23585481E8
202206,전체,1.15090047E8
202207,전체,1.18772917E8
202208,전체,1.24387775E8
202209,전체,1.06423447E8
202210,전체,1.30592378E8
202211,전체,1.08813972E8
202212,전체,9.7824433E7
202301,전체,9.2566886E7
202302,전체,9.1456947E7
202303,전체,1.09181002E8
202304,전체,1.18313417E8
202305,전체,1.20961012E8
202306,전체,1.11363287E8
