기준연월,목적지 유형,목적지 검색량
202201,숙박,53020
202201,음식,232611
202201,쇼핑,221506
202201,기타관광,15152
202201,문화관광,82055
202201,역사관광,10064
202201,레저스포츠,8049
202201,체험관광,1383
202201,자연관광,14034
202202,숙박,59525
202202,음식,247636
202202,쇼핑,194609
202202,기타관광,14444
202202,문화관광,77647
202202,역사관광,11011
202202,레저스포츠,8349
202202,체험관광,1671
202202,자연관광,14086
202203,숙박,62890
202203,음식,297377
202203,쇼핑,208338
202203,기타관광,15101
202203,문화관광,99227
202203,역사관광,13167
202203,레저스포츠,9162
202203,체험관광,1965
202203,자연관광,19200
202204,숙박,84715
202204,음식,396729
202204,쇼핑,241138
202204,기타관광,24168
202204,문화관광,163979
202204,역사관광,19520
202204,레저스포츠,12617
202204,체험관광,2567
202204,자연관광,38085
202205,숙박,90652
202205,음식,491026
202205,쇼핑,265747
202205,기타관광,20629
202205,문화관광,179829
202205,역사관광,19473
202205,체험관광,2833
202205,레저스포츠,14238
202205,자연관광,25144
202206,숙박,94393
202206,음식,531099
202206,쇼핑,249415
202206,기타관광,18064
202206,문화관광,161448
202206,역사관광,13488
202206,체험관광,3565
202206,레저스포츠,13665
202206,자연관광,19517
202207,숙박,92737
202207,음식,579269
202207,쇼핑,270248
202207,기타관광,17688
202207,문화관광,167053
202207,역사관광,14832
202207,체험관광,4150
202207,레저스포츠,13575
202207,자연관광,18981
202208,숙박,96876
202208,음식,569211
202208,쇼핑,275627
202208,기타관광,18843
202208,문화관광,170659
202208,역사관광,14365
202208,체험관광,1788
202208,레저스포츠,13841
202208,자연관광,20369
202209,숙박,89061
202209,음식,498637
202209,쇼핑,279055
202209,기타관광,29950
202209,문화관광,168343
202209,역사관광,15127
202209,체험관광,2324
202209,레저스포츠,13710
202209,자연관광,22839
202210,숙박,110941
202210,음식,558944
202210,쇼핑,335165
202210,기타관광,107679
202210,문화관광,196978
202210,역사관광,22629
202210,체험관광,2801
202210,레저스포츠,17304
202210,자연관광,29226
202211,숙박,102440
202211,음식,512440
202211,쇼핑,307183
202211,기타관광,98708
202211,문화관광,148608
202211,역사관광,21130
202211,체험관광,2471
202211,레저스포츠,14730
202211,자연관광,26521
202212,숙박,103194
202212,음식,577767
202212,쇼핑,343098
202212,기타관광,89870
202212,문화관광,148000
202212,역사관광,9926
202212,체험관광,2944
202212,레저스포츠,11748
202212,자연관광,16411
202301,숙박,75895
202301,음식,522159
202301,쇼핑,321464
202301,기타관광,92028
202301,문화관광,125215
202301,역사관광,13351
202301,체험관광,3370
202301,레저스포츠,11617
202301,자연관광,15751
202302,쇼핑,285805
202302,숙박,84435
202302,음식,511295
202302,기타관광,84819
202302,문화관광,124872
202302,역사관광,12002
202302,레저스포츠,12766
202302,체험관광,2551
202302,자연관광,16200
202303,쇼핑,307880
202303,숙박,86002
202303,음식,549213
202303,기타관광,95571
202303,문화관광,170319
202303,역사관광,18505
202303,레저스포츠,13254
202303,체험관광,2734
202303,자연관광,25791
202304,쇼핑,313419
202304,숙박,100417
202304,음식,564164
202304,기타관광,97962
202304,문화관광,186653
202304,역사관광,19156
202304,레저스포츠,17208
202304,체험관광,5124
202304,자연관광,29490
202305,쇼핑,314811
202305,숙박,93332
202305,음식,569118
202305,기타관광,95397
202305,문화관광,176420
202305,역사관광,19705
202305,레저스포츠,19094
202305,체험관광,4717
202305,자연관광,20803
202306,쇼핑,262730
202306,숙박,96339
202306,음식,573339
202306,기타관광,92550
202306,문화관광,179203
202306,역사관광,15068
202306,레저스포츠,18994
202306,체험관광,4455
202306,자연관광,21349
