기준연월,업종대분류명,소비액(천원)
202201,숙박업,1431828.0
202201,운송업,3.9320018E7
202201,쇼핑업,3.8385709E7
202201,여가서비스업,1294210.0
202201,식음료업,2.4888734E7
202202,숙박업,1314279.0
202202,운송업,3.0843901E7
202202,쇼핑업,3.160979E7
202202,여가서비스업,1303334.0
202202,식음료업,2.0557796E7
202203,숙박업,1490849.0
202203,운송업,3.2509784E7
202203,쇼핑업,3.6431815E7
202203,여가서비스업,1728342.0
202203,식음료업,2.5650584E7
202203,여행업,4836.0
202204,숙박업,1669844.0
202204,운송업,4.2930967E7
202204,쇼핑업,3.8641223E7
202204,여가서비스업,1943962.0
202204,식음료업,3.11444E7
202204,여행업,5991.0
202205,숙박업,1822172.0
202205,운송업,5.3852488E7
202205,쇼핑업,3.8917285E7
202205,여가서비스업,2581023.0
202205,식음료업,3.5359544E7
202205,여행업,2127.0
202206,숙박업,1784616.0
202206,운송업,4.9408965E7
202206,쇼핑업,4.6883832E7
202206,여가서비스업,2612032.0
202206,식음료업,3.3111761E7
202206,여행업,1832.0
202207,숙박업,1958850.0
202207,운송업,5.3964889E7
202207,쇼핑업,3.8961455E7
202207,여가서비스업,2593269.0
202207,식음료업,3.5487322E7
202207,여행업,9361.0
202208,숙박업,2041954.0
202208,운송업,5.9478449E7
202208,쇼핑업,3.919656E7
202208,여가서비스업,2538894.0
202208,식음료업,3.5280461E7
202209,숙박업,1685737.0
202209,운송업,5.2678086E7
202209,쇼핑업,4.1813213E7
202209,여가서비스업,2498951.0
202209,식음료업,3.4860862E7
202210,숙박업,2166399.0
202210,운송업,5.5794743E7
202210,쇼핑업,3.9080292E7
202210,여가서비스업,2468004.0
202210,식음료업,3.9116853E7
202210,여행업,29719.0
202211,숙박업,1896402.0
202211,운송업,5.6870892E7
202211,쇼핑업,3.4911626E7
202211,여가서비스업,2069640.0
202211,식음료업,3.5812279E7
202211,여행업,3593.0
202212,숙박업,2045403.0
202212,운송업,6.6295018E7
202212,쇼핑업,3.5794439E7
202212,여가서비스업,1828982.0
202212,식음료업,3.8870881E7
202212,여행업,8451.0
202301,숙박업,1627986.0
202301,운송업,6.2058886E7
202301,쇼핑업,3.3266724E7
202301,여가서비스업,1856852.0
202301,식음료업,3.8137755E7
202302,숙박업,1752922.0
202302,운송업,5.2331032E7
202302,쇼핑업,3.1697695E7
202302,여가서비스업,1905661.0
202302,식음료업,3.8920592E7
202303,숙박업,1725480.0
202303,운송업,5.5770269E7
202303,쇼핑업,3.5393348E7
202303,여가서비스업,2436161.0
202303,식음료업,4.2841067E7
202303,여행업,3634.0
202304,숙박업,1960858.0
202304,운송업,6.0521E7
202304,쇼핑업,3.679933E7
202304,여가서비스업,2430740.0
202304,식음료업,4.3314462E7
202304,여행업,9558.0
202305,숙박업,1696239.0
202305,운송업,6.3188483E7
202305,쇼핑업,3.6825976E7
202305,여가서비스업,2608136.0
202305,식음료업,4.4596057E7
202305,여행업,6965.0
202306,숙박업,1596725.0
202306,운송업,5.3092933E7
202306,쇼핑업,3.6366558E7
202306,여가서비스업,2649883.0
202306,식음료업,4.1508854E7
202306,여행업,15426.0
202201,여행업,1000.0
202202,여행업,30.0
202208,여행업,2228.0
202209,여행업,6394.0
202301,여행업,9234.0
202302,여행업,5925.0
202201,전체,1.05321499E8
202202,전체,8.562913E7
202203,전체,9.7816211E7
202204,전체,1.16336387E8
202205,전체,1.32534639E8
202206,전체,1.33803039E8
202207,전체,1.32975147E8
202208,전체,1.38538545E8
202209,전체,1.33543242E8
202210,전체,1.3865601E8
202211,전체,1.31564432E8
202212,전체,1.44843174E8
202301,전체,1.36957436E8
202302,전체,1.26613827E8
202303,전체,1.38169959E8
202304,전체,1.45035948E8
202305,전체,1.48921856E8
202306,전체,1.35230378E8
