기준연월,동반유형명,언급건수
202305,기타가족,218270
202306,기타가족,208145
202303,기타가족,198150
202304,기타가족,197735
202301,기타가족,181820
202208,기타가족,180290
202210,기타가족,180070
202207,기타가족,175670
202209,기타가족,175205
202211,기타가족,173170
202206,기타가족,172715
202302,기타가족,171735
202212,기타가족,171075
202205,기타가족,155200
202306,친구,138805
202305,친구,132355
202303,친구,124225
202304,친구,123460
202302,친구,109945
202210,친구,107910
202301,친구,107740
202212,친구,107180
202204,기타가족,105855
202208,친구,105845
202207,친구,104015
202203,기타가족,103730
202211,친구,103425
202201,기타가족,102715
202306,회사동료,101700
202305,부모님,101040
202202,기타가족,100530
202209,친구,99185
202206,친구,98430
202304,회사동료,88440
202305,회사동료,88400
202205,친구,86245
202306,부모님,85625
202303,회사동료,83850
202206,부모님,82720
202303,부모님,78995
202304,부모님,78935
202303,자녀,78905
202209,회사동료,78070
202208,부모님,76930
202301,부모님,76905
202305,자녀,75885
202210,부모님,75655
202209,부모님,75230
202207,부모님,75195
202205,부모님,74310
202302,부모님,73975
202212,부모님,70815
202211,부모님,70510
202306,자녀,69460
202302,회사동료,68490
202207,회사동료,67870
202304,자녀,66965
202212,회사동료,66645
202301,회사동료,65920
202204,친구,65900
202211,자녀,65435
202212,자녀,65355
202208,회사동료,64355
202206,회사동료,64115
202211,회사동료,63790
202203,친구,63505
202210,자녀,62575
202201,친구,62450
202209,자녀,62165
202210,회사동료,61345
202207,자녀,60560
202208,자녀,59745
202302,자녀,58930
202301,자녀,58570
202202,친구,57430
202205,자녀,56180
202205,회사동료,55435
202206,자녀,54910
202306,싱글,47010
202306,연인,46145
202303,싱글,45810
202305,싱글,45795
202203,부모님,45405
202207,싱글,45125
202306,배우자,43520
202201,부모님,43200
202208,싱글,42970
202204,부모님,42935
202210,싱글,42850
202211,싱글,42525
202305,배우자,42285
202303,배우자,42105
202304,싱글,42015
202201,회사동료,41385
202302,싱글,40750
202202,부모님,40745
202212,싱글,40710
202206,싱글,40590
202203,회사동료,40080
202305,연인,39895
202301,싱글,39555
202304,배우자,38830
202201,자녀,38680
202203,자녀,38380
202209,싱글,37660
202303,연인,37450
202304,연인,36865
202212,배우자,36215
202204,회사동료,35655
202205,싱글,35655
202202,회사동료,35515
202204,자녀,35430
202302,배우자,35420
202301,배우자,35350
202210,배우자,35050
202211,배우자,35030
202208,배우자,34860
202202,자녀,33620
202209,배우자,33605
202301,연인,33180
202212,연인,32730
202207,배우자,32690
202302,연인,32340
202301,학생,31790
202211,연인,31600
202210,연인,31390
202206,배우자,30455
202205,배우자,30335
202208,연인,30310
202209,연인,29180
202304,학생,28660
202207,연인,28640
202206,연인,27505
202205,연인,27120
202305,학생,25505
202306,학생,25290
202204,싱글,24130
202201,싱글,23975
202203,배우자,22830
202207,학생,22725
202203,싱글,22635
202204,연인,22610
202303,학생,22550
202204,배우자,22275
202202,싱글,21150
202203,연인,21095
202302,학생,20385
202208,학생,20250
202210,학생,20210
202212,학생,19865
202211,학생,19620
202201,배우자,18920
202201,연인,18790
202202,배우자,18240
202202,연인,18240
202209,학생,17630
202206,학생,17265
202205,학생,15885
202203,학생,12245
202201,학생,12080
202204,학생,10550
202202,학생,10040
