기준연월,목적지 유형,목적지 검색량
202201,숙박,44775
202201,음식,198828
202201,쇼핑,128128
202201,기타관광,3557
202201,문화관광,44904
202201,역사관광,2611
202201,자연관광,10110
202201,레저스포츠,3868
202201,체험관광,44
202202,숙박,47315
202202,음식,207491
202202,쇼핑,114686
202202,기타관광,3588
202202,문화관광,44995
202202,역사관광,2717
202202,자연관광,9663
202202,레저스포츠,3906
202202,체험관광,53
202203,숙박,51074
202203,음식,238079
202203,쇼핑,125383
202203,기타관광,4121
202203,문화관광,48670
202203,역사관광,2445
202203,자연관광,9686
202203,레저스포츠,4903
202203,체험관광,43
202204,숙박,62957
202204,음식,313306
202204,쇼핑,139134
202204,기타관광,9887
202204,문화관광,83428
202204,역사관광,3632
202204,자연관광,19368
202204,레저스포츠,7131
202204,체험관광,164
202205,숙박,71764
202205,음식,381216
202205,쇼핑,166353
202205,기타관광,5806
202205,문화관광,101410
202205,역사관광,5701
202205,자연관광,23150
202205,레저스포츠,9174
202205,체험관광,119
202206,숙박,81520
202206,음식,413986
202206,쇼핑,202921
202206,기타관광,6104
202206,문화관광,99205
202206,역사관광,3926
202206,자연관광,15841
202206,레저스포츠,11016
202206,체험관광,172
202207,숙박,82113
202207,음식,433952
202207,쇼핑,215309
202207,기타관광,5524
202207,문화관광,99035
202207,역사관광,4327
202207,자연관광,12244
202207,레저스포츠,10231
202207,체험관광,132
202208,숙박,77430
202208,음식,421912
202208,쇼핑,214548
202208,기타관광,5629
202208,문화관광,100832
202208,역사관광,4233
202208,자연관광,13441
202208,레저스포츠,9191
202208,체험관광,165
202209,숙박,72522
202209,음식,377683
202209,기타관광,20051
202209,쇼핑,214250
202209,문화관광,93606
202209,역사관광,4587
202209,자연관광,16389
202209,레저스포츠,10179
202209,체험관광,127
202210,숙박,88935
202210,음식,431535
202210,기타관광,129066
202210,쇼핑,239631
202210,문화관광,118784
202210,역사관광,4964
202210,자연관광,25948
202210,레저스포츠,12602
202210,체험관광,232
202211,숙박,81969
202211,음식,396477
202211,기타관광,115014
202211,쇼핑,216537
202211,문화관광,80388
202211,역사관광,4033
202211,자연관광,27284
202211,레저스포츠,9875
202211,체험관광,195
202212,숙박,76864
202212,음식,441211
202212,기타관광,110870
202212,쇼핑,237115
202212,문화관광,80097
202212,역사관광,3075
202212,자연관광,8135
202212,레저스포츠,6350
202212,체험관광,143
202301,숙박,62181
202301,음식,400079
202301,기타관광,107954
202301,쇼핑,221487
202301,문화관광,68437
202301,역사관광,3810
202301,자연관광,9515
202301,레저스포츠,6273
202301,체험관광,127
202302,기타관광,104530
202302,쇼핑,202873
202302,숙박,67932
202302,음식,415721
202302,문화관광,72037
202302,역사관광,3220
202302,자연관광,9771
202302,레저스포츠,7102
202302,체험관광,122
202303,기타관광,111860
202303,쇼핑,216773
202303,숙박,67531
202303,음식,434849
202303,문화관광,86594
202303,역사관광,3753
202303,자연관광,15093
202303,레저스포츠,10262
202303,체험관광,126
202304,기타관광,122886
202304,쇼핑,220795
202304,숙박,77529
202304,음식,455689
202304,문화관광,119163
202304,역사관광,4444
202304,자연관광,18652
202304,체험관광,324
202304,레저스포츠,14294
202305,기타관광,116461
202305,쇼핑,224631
202305,숙박,72629
202305,음식,440920
202305,문화관광,104248
202305,역사관광,6802
202305,자연관광,20680
202305,체험관광,260
202305,레저스포츠,15239
202306,기타관광,113415
202306,쇼핑,220567
202306,숙박,75994
202306,음식,449146
202306,문화관광,115582
202306,역사관광,4646
202306,자연관광,18897
202306,체험관광,272
202306,레저스포츠,16426
