기준연월,동반유형명,언급건수
202206,기타가족,9136192
202207,기타가족,5936400
202206,부모님,5122704
202205,기타가족,4889248
202206,회사동료,4713984
202206,친구,4279024
202207,부모님,3028320
202207,친구,2920576
202208,기타가족,2796144
202305,기타가족,2642336
202207,회사동료,2604784
202205,부모님,2603680
202306,기타가족,2563552
202205,친구,2398304
202205,회사동료,2382224
202301,기타가족,2286992
202303,기타가족,2222928
202210,기타가족,2214576
202304,기타가족,2172768
202209,기타가족,2165680
202302,기타가족,2149648
202204,기타가족,2140896
202212,기타가족,2041408
202211,기타가족,2003936
202203,기타가족,1903696
202306,친구,1727408
202202,기타가족,1716288
202208,친구,1658416
202305,친구,1642384
202303,친구,1458880
202304,친구,1391552
202302,친구,1373328
202210,친구,1345360
202301,친구,1343888
202201,기타가족,1339056
202212,친구,1281440
202209,친구,1263472
202211,친구,1239696
202208,부모님,1221488
202204,친구,1182576
202212,부모님,1176592
202306,부모님,1150960
202305,부모님,1113120
202203,친구,1074272
202306,회사동료,1044736
202204,부모님,1040304
202202,친구,1020176
202301,부모님,1010912
202305,회사동료,985520
202210,부모님,981184
202302,부모님,966464
202209,부모님,963664
202303,부모님,948272
202304,회사동료,943632
202203,부모님,916992
202206,싱글,913280
202304,부모님,906608
202204,회사동료,890928
202201,친구,878864
202207,싱글,856800
202207,자녀,851808
202303,회사동료,848624
202202,부모님,845808
202211,부모님,839296
202208,자녀,831648
202306,자녀,799024
202305,자녀,796208
202208,싱글,792000
202208,회사동료,788800
202301,회사동료,785696
202203,회사동료,772320
202302,회사동료,769984
202303,자녀,739648
202302,자녀,725968
202209,회사동료,721120
202210,싱글,716464
202212,회사동료,713792
202301,자녀,708800
202210,자녀,692992
202210,회사동료,692688
202211,자녀,685696
202304,자녀,674912
202206,자녀,674736
202205,싱글,672016
202202,회사동료,671024
202212,싱글,666416
202209,자녀,666336
202212,자녀,666224
202211,회사동료,666192
202209,싱글,664096
202205,자녀,661152
202211,싱글,658272
202306,싱글,631984
202305,싱글,610624
202303,싱글,597360
202302,싱글,592112
202301,싱글,591744
202306,연인,574176
202304,싱글,556704
202201,부모님,552720
202305,연인,524560
202208,연인,517728
202207,연인,496208
202306,배우자,482800
202303,연인,479472
202201,자녀,459360
202304,연인,452848
202204,자녀,443664
202203,자녀,441200
202208,배우자,439728
202209,배우자,437760
202305,배우자,436000
202301,연인,428592
202201,회사동료,424224
202206,연인,422976
202302,연인,419600
202303,배우자,412848
202210,연인,411696
202212,연인,408224
202304,배우자,402288
202209,연인,389504
202211,연인,386608
202205,연인,385568
202301,배우자,383984
202207,배우자,383776
202210,배우자,382736
202201,싱글,379280
202203,싱글,379216
202202,자녀,372736
202302,배우자,371536
202206,배우자,366896
202204,싱글,366656
202212,배우자,364304
202205,배우자,353264
202211,배우자,349744
202202,싱글,346672
202201,연인,341424
202208,학생,313248
202204,연인,306432
202203,연인,301584
202207,학생,292880
202202,연인,283808
202305,학생,271600
202302,학생,268416
202306,학생,266544
202204,배우자,266112
202303,학생,262368
202203,배우자,245424
202301,학생,237392
202209,학생,237120
202206,학생,232640
202304,학생,231504
202212,학생,230016
202210,학생,229360
202211,학생,227600
202201,배우자,215200
202205,학생,207904
202202,배우자,197552
202203,학생,159344
202201,학생,158464
202204,학생,149616
202202,학생,142752
