기준연월,업종대분류명,소비액(천원)
202201,숙박업,161459.0
202201,쇼핑업,1482119.0
202201,여가서비스업,546294.0
202201,식음료업,4520479.0
202202,숙박업,144580.0
202202,쇼핑업,1176654.0
202202,여가서비스업,621612.0
202202,식음료업,3872281.0
202203,숙박업,167086.0
202203,쇼핑업,1537785.0
202203,여가서비스업,1029799.0
202203,식음료업,5017903.0
202204,숙박업,152090.0
202204,쇼핑업,1523885.0
202204,여가서비스업,1265669.0
202204,식음료업,5914299.0
202205,숙박업,175306.0
202205,쇼핑업,1587208.0
202205,여가서비스업,1515081.0
202205,식음료업,6585681.0
202206,숙박업,181898.0
202206,쇼핑업,1421072.0
202206,여가서비스업,1492583.0
202206,식음료업,6033718.0
202207,숙박업,199296.0
202207,쇼핑업,1464053.0
202207,여가서비스업,1472136.0
202207,식음료업,5958154.0
202208,숙박업,200317.0
202208,쇼핑업,1481252.0
202208,여가서비스업,1312951.0
202208,식음료업,5748572.0
202209,숙박업,165517.0
202209,쇼핑업,1385457.0
202209,여가서비스업,1276804.0
202209,식음료업,5656992.0
202210,숙박업,217124.0
202210,쇼핑업,1438241.0
202210,여가서비스업,1360187.0
202210,식음료업,6429706.0
202211,숙박업,192060.0
202211,쇼핑업,1224559.0
202211,여가서비스업,1107236.0
202211,식음료업,5743510.0
202212,숙박업,167913.0
202212,쇼핑업,1436052.0
202212,여가서비스업,672604.0
202212,식음료업,5574437.0
202301,숙박업,130274.0
202301,쇼핑업,1299861.0
202301,여가서비스업,575484.0
202301,식음료업,5127236.0
202302,숙박업,146770.0
202302,쇼핑업,1134017.0
202302,여가서비스업,767750.0
202302,식음료업,5348843.0
202303,숙박업,166182.0
202303,쇼핑업,1507862.0
202303,여가서비스업,1172997.0
202303,식음료업,6327052.0
202304,숙박업,176632.0
202304,쇼핑업,1505696.0
202304,여가서비스업,1311423.0
202304,식음료업,6734225.0
202305,숙박업,203955.0
202305,쇼핑업,1559735.0
202305,여가서비스업,1451218.0
202305,식음료업,6993570.0
202306,숙박업,212750.0
202306,쇼핑업,1389263.0
202306,여가서비스업,1419506.0
202306,식음료업,6457044.0
202201,운송업,1016.0
202201,여행업,0.0
202202,운송업,649.0
202203,운송업,937.0
202204,운송업,2813.0
202205,운송업,4059.0
202205,여행업,400.0
202206,운송업,2156.0
202206,여행업,0.0
202207,운송업,4014.0
202208,운송업,2385.0
202209,운송업,4793.0
202210,운송업,3005.0
202211,운송업,1322.0
202211,여행업,691.0
202212,운송업,1324.0
202212,여행업,0.0
202301,운송업,346.0
202302,운송업,626.0
202303,여행업,119.0
202303,운송업,1668.0
202304,여행업,0.0
202304,운송업,4091.0
202305,운송업,1562.0
202305,여행업,1580.0
202306,여행업,1353.0
202306,운송업,1481.0
202201,전체,6711366.0
202202,전체,5815776.0
202203,전체,7753511.0
202204,전체,8858757.0
202205,전체,9867736.0
202206,전체,9131427.0
202207,전체,9097654.0
202208,전체,8745477.0
202209,전체,8489563.0
202210,전체,9448263.0
202211,전체,8269378.0
202212,전체,7852331.0
202301,전체,7133202.0
202302,전체,7398005.0
202303,전체,9175880.0
202304,전체,9732067.0
202305,전체,1.021162E7
202306,전체,9481397.0
