기준연월,동반유형명,언급건수
202305,기타가족,6848
202306,기타가족,5834
202304,기타가족,5475
202301,기타가족,5359
202210,기타가족,5302
202303,기타가족,5240
202209,기타가족,4931
202302,기타가족,4803
202206,기타가족,4750
202208,기타가족,4729
202211,기타가족,4710
202212,기타가족,4637
202205,기타가족,4619
202207,기타가족,4459
202304,자녀,3951
202306,회사동료,3730
202305,자녀,3646
202212,자녀,3532
202306,자녀,3498
202211,자녀,3366
202210,자녀,3345
202305,친구,3296
202209,자녀,3291
202306,친구,3247
202305,회사동료,3226
202204,기타가족,3109
202305,부모님,3092
202304,회사동료,3064
202304,친구,3051
202208,자녀,3047
202207,자녀,3007
202303,친구,3002
202306,부모님,2965
202303,자녀,2935
202201,기타가족,2927
202206,자녀,2871
202302,자녀,2848
202211,친구,2722
202301,친구,2711
202303,회사동료,2701
202302,친구,2694
202210,친구,2667
202212,회사동료,2622
202208,친구,2612
202203,기타가족,2607
202212,친구,2586
202301,회사동료,2573
202205,자녀,2565
202202,기타가족,2536
202209,회사동료,2534
202207,친구,2528
202301,자녀,2488
202210,회사동료,2430
202206,친구,2359
202303,부모님,2353
202209,친구,2328
202208,회사동료,2306
202206,회사동료,2299
202304,부모님,2279
202205,친구,2212
202208,부모님,2196
202302,회사동료,2192
202203,자녀,2171
202211,회사동료,2103
202302,부모님,2100
202210,부모님,2096
202209,부모님,2095
202301,부모님,2091
202204,자녀,2062
202205,부모님,2030
202211,부모님,2012
202201,자녀,2009
202207,회사동료,1953
202207,부모님,1904
202212,부모님,1864
202206,부모님,1861
202204,친구,1761
202205,회사동료,1653
202306,배우자,1568
202202,친구,1554
202203,친구,1535
202202,자녀,1501
202305,배우자,1476
202201,회사동료,1426
202201,친구,1371
202203,회사동료,1348
202303,배우자,1325
202302,배우자,1309
202204,회사동료,1304
202304,배우자,1302
202211,배우자,1281
202212,배우자,1253
202301,배우자,1237
202210,배우자,1227
202202,회사동료,1191
202305,싱글,1187
202204,부모님,1183
202203,부모님,1140
202306,싱글,1137
202201,부모님,1124
202208,배우자,1108
202202,부모님,1090
202304,싱글,1090
202303,학생,1072
202209,배우자,1056
202207,배우자,1053
202303,싱글,1053
202305,연인,1029
202210,싱글,1002
202208,싱글,970
202205,배우자,966
202207,학생,957
202206,배우자,953
202301,싱글,948
202302,싱글,942
202304,학생,938
202302,학생,931
202211,싱글,918
202212,싱글,911
202207,싱글,886
202209,싱글,884
202211,학생,870
202304,연인,850
202305,학생,833
202306,학생,833
202205,싱글,826
202209,학생,808
202306,연인,796
202206,싱글,786
202208,학생,785
202212,학생,768
202203,배우자,754
202212,연인,737
202205,학생,725
202301,학생,699
202303,연인,690
202204,배우자,661
202210,연인,660
202210,학생,655
202302,연인,640
202206,학생,635
202211,연인,635
202202,배우자,593
202301,연인,593
202209,연인,587
202208,연인,548
202204,싱글,546
202206,연인,542
202207,연인,540
202205,연인,538
202203,싱글,533
202201,배우자,512
202201,싱글,509
202203,학생,507
202204,연인,485
202201,학생,480
202204,학생,469
202203,연인,456
202202,싱글,455
202202,학생,444
202202,연인,408
202201,연인,376
