기준연월,목적지 유형,목적지 검색량
202201,숙박,5269
202201,음식,77223
202201,쇼핑,35791
202201,기타관광,404
202201,문화관광,24432
202201,역사관광,1661
202201,자연관광,3192
202201,체험관광,29
202201,레저스포츠,4035
202202,숙박,5439
202202,음식,84867
202202,쇼핑,31242
202202,기타관광,457
202202,문화관광,27033
202202,역사관광,1767
202202,자연관광,3744
202202,체험관광,277
202202,레저스포츠,4862
202203,숙박,6366
202203,음식,101127
202203,쇼핑,35186
202203,자연관광,4492
202203,기타관광,3241
202203,문화관광,31828
202203,역사관광,1604
202203,체험관광,216
202203,레저스포츠,8572
202204,숙박,7346
202204,음식,128995
202204,쇼핑,38606
202204,자연관광,10982
202204,기타관광,12298
202204,문화관광,46860
202204,역사관광,3511
202204,체험관광,368
202204,레저스포츠,10384
202205,숙박,10728
202205,음식,145439
202205,쇼핑,40501
202205,자연관광,6533
202205,기타관광,8066
202205,문화관광,53487
202205,역사관광,3868
202205,체험관광,341
202205,레저스포츠,11177
202206,숙박,12947
202206,음식,152888
202206,쇼핑,37937
202206,자연관광,5257
202206,기타관광,5920
202206,문화관광,46333
202206,역사관광,2021
202206,체험관광,250
202206,레저스포츠,13498
202207,숙박,14189
202207,음식,165114
202207,쇼핑,41843
202207,기타관광,4756
202207,문화관광,44354
202207,역사관광,1703
202207,자연관광,4491
202207,체험관광,237
202207,레저스포츠,12976
202208,숙박,13179
202208,음식,159572
202208,쇼핑,42111
202208,기타관광,5288
202208,문화관광,43912
202208,역사관광,2431
202208,자연관광,4831
202208,체험관광,157
202208,레저스포츠,11808
202209,숙박,11996
202209,음식,139241
202209,기타관광,10084
202209,쇼핑,40745
202209,문화관광,44264
202209,역사관광,3037
202209,자연관광,4989
202209,체험관광,111
202209,레저스포츠,12400
202210,숙박,14496
202210,음식,160610
202210,기타관광,36085
202210,쇼핑,43499
202210,문화관광,64609
202210,역사관광,4313
202210,자연관광,6608
202210,체험관광,275
202210,레저스포츠,13546
202211,숙박,13131
202211,음식,144921
202211,기타관광,31976
202211,쇼핑,38959
202211,문화관광,41316
202211,역사관광,2311
202211,자연관광,4971
202211,체험관광,270
202211,레저스포츠,11648
202212,숙박,12352
202212,음식,159110
202212,기타관광,27749
202212,쇼핑,43594
202212,문화관광,33511
202212,역사관광,1430
202212,자연관광,2594
202212,체험관광,217
202212,레저스포츠,4953
202301,숙박,9034
202301,음식,139375
202301,기타관광,27472
202301,쇼핑,43042
202301,문화관광,30332
202301,역사관광,1994
202301,자연관광,2780
202301,체험관광,150
202301,레저스포츠,3626
202302,기타관광,26667
202302,쇼핑,37359
202302,숙박,10705
202302,음식,145375
202302,문화관광,33491
202302,역사관광,1794
202302,자연관광,3210
202302,체험관광,241
202302,레저스포츠,6452
202303,기타관광,30775
202303,쇼핑,45300
202303,숙박,12187
202303,음식,158628
202303,문화관광,42727
202303,역사관광,2082
202303,자연관광,6040
202303,체험관광,288
202303,레저스포츠,10447
202304,기타관광,32381
202304,쇼핑,45473
202304,숙박,13334
202304,음식,164195
202304,자연관광,8868
202304,문화관광,44028
202304,역사관광,4331
202304,체험관광,649
202304,레저스포츠,13219
202305,기타관광,30614
202305,문화관광,38534
202305,쇼핑,44917
202305,숙박,14398
202305,음식,161671
202305,역사관광,3835
202305,자연관광,5781
202305,체험관광,304
202305,레저스포츠,14167
202306,기타관광,30419
202306,쇼핑,30466
202306,숙박,14853
202306,음식,168523
202306,문화관광,31566
202306,역사관광,2046
202306,자연관광,5149
202306,체험관광,285
202306,레저스포츠,14186
