기준연월,업종대분류명,소비액(천원)
202201,숙박업,1336576.0
202201,쇼핑업,1.3092884E7
202201,여가서비스업,2575387.0
202201,식음료업,2.1433971E7
202201,운송업,34671.0
202201,여행업,2738.0
202202,숙박업,1189088.0
202202,쇼핑업,1.0501168E7
202202,여가서비스업,2404924.0
202202,식음료업,1.803874E7
202202,운송업,30432.0
202202,여행업,3536.0
202203,숙박업,1322882.0
202203,쇼핑업,1.2539809E7
202203,여가서비스업,2963854.0
202203,식음료업,2.2033404E7
202203,운송업,28616.0
202203,여행업,4147.0
202204,숙박업,1397675.0
202204,쇼핑업,1.3394047E7
202204,여가서비스업,3502689.0
202204,식음료업,2.7534049E7
202204,운송업,36713.0
202205,숙박업,1461439.0
202205,쇼핑업,1.4310059E7
202205,여가서비스업,4129756.0
202205,식음료업,3.1814898E7
202205,운송업,42290.0
202206,숙박업,1561690.0
202206,쇼핑업,1.2689414E7
202206,여가서비스업,4276840.0
202206,식음료업,2.9976291E7
202206,운송업,38977.0
202207,숙박업,1740961.0
202207,쇼핑업,1.3160825E7
202207,여가서비스업,4242953.0
202207,식음료업,3.1462129E7
202207,운송업,47589.0
202207,여행업,3378.0
202208,숙박업,1905476.0
202208,쇼핑업,1.2425686E7
202208,여가서비스업,4202644.0
202208,식음료업,3.1354489E7
202208,운송업,52304.0
202209,숙박업,1532891.0
202209,쇼핑업,1.2617288E7
202209,여가서비스업,3726846.0
202209,식음료업,2.7769691E7
202209,운송업,41787.0
202210,숙박업,2102266.0
202210,쇼핑업,1.4509292E7
202210,여가서비스업,4071123.0
202210,식음료업,3.2412545E7
202210,운송업,42638.0
202211,숙박업,1579795.0
202211,여행업,10755.0
202211,쇼핑업,1.2632715E7
202211,여가서비스업,3645895.0
202211,식음료업,2.8783865E7
202211,운송업,47351.0
202212,숙박업,1588234.0
202212,쇼핑업,1.4049925E7
202212,여가서비스업,2907127.0
202212,식음료업,3.1155609E7
202212,운송업,30773.0
202301,숙박업,1328666.0
202301,쇼핑업,1.2313868E7
202301,여가서비스업,2576357.0
202301,식음료업,2.9117016E7
202301,운송업,38501.0
202301,여행업,17186.0
202302,숙박업,1350086.0
202302,쇼핑업,1.0496868E7
202302,여가서비스업,2754767.0
202302,식음료업,2.7808693E7
202302,여행업,34998.0
202302,운송업,23645.0
202303,숙박업,1413051.0
202303,쇼핑업,1.2969994E7
202303,여가서비스업,3500212.0
202303,식음료업,3.0578348E7
202303,여행업,26167.0
202303,운송업,32016.0
202304,숙박업,1526255.0
202304,쇼핑업,1.3064766E7
202304,여가서비스업,3717546.0
202304,식음료업,3.0729506E7
202304,운송업,40497.0
202305,숙박업,1712682.0
202305,쇼핑업,1.3250729E7
202305,여가서비스업,3855275.0
202305,식음료업,3.2426417E7
202305,운송업,41263.0
202306,숙박업,1367690.0
202306,쇼핑업,1.2187982E7
202306,여가서비스업,3933758.0
202306,식음료업,3.0094419E7
202306,운송업,41088.0
202204,여행업,8180.0
202205,여행업,12563.0
202206,여행업,4531.0
202208,여행업,5505.0
202209,여행업,4582.0
202210,여행업,6800.0
202212,여행업,10904.0
202304,여행업,11483.0
202305,여행업,8736.0
202306,여행업,7390.0
202201,전체,3.8476227E7
202202,전체,3.2167888E7
202203,전체,3.8892712E7
202204,전체,4.5873355E7
202205,전체,5.1771006E7
202206,전체,4.8547742E7
202207,전체,5.0657834E7
202208,전체,4.9946105E7
202209,전체,4.5693085E7
202210,전체,5.3144664E7
202211,전체,4.6700377E7
202212,전체,4.9742572E7
202301,전체,4.5391595E7
202302,전체,4.2469058E7
202303,전체,4.8519788E7
202304,전체,4.9090052E7
202305,전체,5.1295102E7
202306,전체,4.7632327E7
