기준연월,목적지 유형,목적지 검색량
202201,숙박,32744
202201,음식,127439
202201,쇼핑,81702
202201,기타관광,26521
202201,문화관광,47226
202201,역사관광,7323
202201,자연관광,24865
202201,체험관광,1611
202201,레저스포츠,11992
202202,숙박,33937
202202,음식,127991
202202,쇼핑,74039
202202,기타관광,21091
202202,문화관광,44759
202202,역사관광,7529
202202,자연관광,21386
202202,체험관광,1737
202202,레저스포츠,9630
202203,숙박,32052
202203,음식,142825
202203,쇼핑,77625
202203,기타관광,19330
202203,문화관광,43798
202203,역사관광,6998
202203,자연관광,21925
202203,체험관광,1783
202203,레저스포츠,10579
202204,숙박,40625
202204,음식,197361
202204,쇼핑,86152
202204,기타관광,27071
202204,문화관광,61923
202204,역사관광,9852
202204,자연관광,29986
202204,체험관광,2010
202204,레저스포츠,13325
202205,숙박,49187
202205,음식,245738
202205,쇼핑,97410
202205,기타관광,26776
202205,문화관광,93976
202205,역사관광,14184
202205,자연관광,33854
202205,체험관광,2177
202205,레저스포츠,16050
202206,숙박,50555
202206,음식,241884
202206,쇼핑,92052
202206,기타관광,24196
202206,문화관광,69392
202206,역사관광,7913
202206,자연관광,30508
202206,체험관광,1654
202206,레저스포츠,17467
202207,숙박,61356
202207,음식,268006
202207,쇼핑,97856
202207,기타관광,23634
202207,문화관광,65816
202207,역사관광,8636
202207,자연관광,43688
202207,레저스포츠,15907
202207,체험관광,1426
202208,숙박,71976
202208,음식,281156
202208,쇼핑,102776
202208,기타관광,28286
202208,문화관광,80369
202208,역사관광,10034
202208,자연관광,57346
202208,레저스포츠,16284
202208,체험관광,1993
202209,숙박,47234
202209,음식,215183
202209,쇼핑,96854
202209,기타관광,29586
202209,문화관광,65531
202209,역사관광,9173
202209,자연관광,28599
202209,레저스포츠,15824
202209,체험관광,1596
202210,숙박,78039
202210,음식,266062
202210,쇼핑,106669
202210,기타관광,93987
202210,레저스포츠,21660
202210,문화관광,105797
202210,역사관광,13184
202210,자연관광,35484
202210,체험관광,2719
202211,숙박,47541
202211,음식,231894
202211,쇼핑,98948
202211,기타관광,77794
202211,레저스포츠,16740
202211,문화관광,69388
202211,역사관광,12112
202211,자연관광,27963
202211,체험관광,2326
202212,숙박,45517
202212,음식,258817
202212,쇼핑,110995
202212,기타관광,76363
202212,문화관광,55372
202212,역사관광,7191
202212,체험관광,1868
202212,레저스포츠,13049
202212,자연관광,22514
202301,숙박,36493
202301,음식,229750
202301,쇼핑,103853
202301,기타관광,77352
202301,문화관광,50490
202301,역사관광,8798
202301,레저스포츠,12514
202301,체험관광,2216
202301,자연관광,25432
202302,쇼핑,90364
202302,숙박,40510
202302,음식,228281
202302,기타관광,72488
202302,문화관광,54151
202302,역사관광,7884
202302,자연관광,23914
202302,레저스포츠,12676
202302,체험관광,2143
202303,쇼핑,98194
202303,숙박,41424
202303,음식,247007
202303,기타관광,80621
202303,문화관광,65972
202303,역사관광,9670
202303,자연관광,31815
202303,체험관광,2175
202303,레저스포츠,14994
202304,쇼핑,99572
202304,숙박,47111
202304,음식,253358
202304,기타관광,79599
202304,문화관광,74637
202304,역사관광,10303
202304,자연관광,30732
202304,체험관광,2173
202304,레저스포츠,18374
202305,쇼핑,99860
202305,숙박,60293
202305,음식,263132
202305,기타관광,78989
202305,문화관광,91728
202305,역사관광,13654
202305,자연관광,28419
202305,레저스포츠,18778
202305,체험관광,1642
202306,쇼핑,83361
202306,숙박,54623
202306,음식,263049
202306,기타관광,81688
202306,문화관광,76293
202306,역사관광,8987
202306,자연관광,35361
202306,체험관광,1460
202306,레저스포츠,19857
