기준연월,업종대분류명,소비액(천원)
202201,숙박업,4695515.0
202201,여행업,19225.0
202201,운송업,75894.0
202201,쇼핑업,1.2276213E7
202201,여가서비스업,9209655.0
202201,식음료업,3.4601499E7
202202,숙박업,4308906.0
202202,여행업,21752.0
202202,운송업,58745.0
202202,쇼핑업,9628192.0
202202,여가서비스업,8854556.0
202202,식음료업,2.8753517E7
202203,숙박업,3889932.0
202203,운송업,86915.0
202203,쇼핑업,1.2125709E7
202203,여가서비스업,1.159769E7
202203,식음료업,3.4180846E7
202203,여행업,20134.0
202204,숙박업,5437002.0
202204,여행업,51417.0
202204,운송업,134380.0
202204,쇼핑업,1.4768491E7
202204,여가서비스업,1.4613747E7
202204,식음료업,4.5047028E7
202205,숙박업,6210843.0
202205,여행업,99370.0
202205,운송업,125552.0
202205,쇼핑업,1.5983174E7
202205,여가서비스업,1.7432456E7
202205,식음료업,5.2646761E7
202206,숙박업,6484934.0
202206,여행업,78696.0
202206,운송업,137130.0
202206,쇼핑업,1.3619537E7
202206,여가서비스업,1.7528937E7
202206,식음료업,5.0019779E7
202207,숙박업,8337779.0
202207,여행업,78327.0
202207,운송업,123700.0
202207,쇼핑업,1.4235438E7
202207,여가서비스업,1.6603746E7
202207,식음료업,5.306442E7
202208,숙박업,1.0121944E7
202208,여행업,77528.0
202208,운송업,145036.0
202208,쇼핑업,1.3808329E7
202208,여가서비스업,1.7279441E7
202208,식음료업,5.8644687E7
202209,숙박업,5418474.0
202209,여행업,40647.0
202209,운송업,99601.0
202209,쇼핑업,1.5184017E7
202209,여가서비스업,1.4649819E7
202209,식음료업,4.4580047E7
202210,숙박업,6835750.0
202210,여행업,64629.0
202210,운송업,149563.0
202210,쇼핑업,1.8848284E7
202210,여가서비스업,1.7308601E7
202210,식음료업,5.5240542E7
202211,숙박업,5446731.0
202211,여행업,25108.0
202211,운송업,97839.0
202211,쇼핑업,1.6050076E7
202211,여가서비스업,1.3983148E7
202211,식음료업,4.5019821E7
202212,숙박업,5036489.0
202212,여행업,28834.0
202212,운송업,66851.0
202212,쇼핑업,1.6532738E7
202212,여가서비스업,8173205.0
202212,식음료업,3.9390572E7
202301,숙박업,4803963.0
202301,여행업,30169.0
202301,운송업,55820.0
202301,쇼핑업,1.3577304E7
202301,여가서비스업,6747075.0
202301,식음료업,4.1112958E7
202302,숙박업,5085669.0
202302,운송업,58732.0
202302,쇼핑업,1.2353195E7
202302,여가서비스업,8723021.0
202302,식음료업,4.1481367E7
202302,여행업,51483.0
202303,숙박업,4861147.0
202303,운송업,120194.0
202303,쇼핑업,1.5607733E7
202303,여가서비스업,1.2352025E7
202303,식음료업,4.7028277E7
202303,여행업,49263.0
202304,숙박업,5955234.0
202304,여행업,60876.0
202304,운송업,190509.0
202304,쇼핑업,1.6538859E7
202304,여가서비스업,1.4858469E7
202304,식음료업,5.4220925E7
202305,숙박업,6149004.0
202305,여행업,79558.0
202305,운송업,154364.0
202305,쇼핑업,1.7178985E7
202305,여가서비스업,1.5899515E7
202305,식음료업,5.4355558E7
202306,숙박업,5733162.0
202306,여행업,46073.0
202306,운송업,132603.0
202306,쇼핑업,1.4277473E7
202306,여가서비스업,1.5631452E7
202306,식음료업,4.878388E7
202201,전체,6.0878001E7
202202,전체,5.1625667E7
202203,전체,6.1901225E7
202204,전체,8.0052065E7
202205,전체,9.2498157E7
202206,전체,8.7869012E7
202207,전체,9.2443411E7
202208,전체,1.00076965E8
202209,전체,7.9972605E7
202210,전체,9.8447369E7
202211,전체,8.0622723E7
202212,전체,6.9228689E7
202301,전체,6.6327289E7
202302,전체,6.7753468E7
202303,전체,8.0018638E7
202304,전체,9.1824872E7
202305,전체,9.3816983E7
202306,전체,8.4604643E7
