기준연월,목적지 유형,목적지 검색량
202201,숙박,90839
202201,음식,247533
202201,쇼핑,93864
202201,기타관광,36670
202201,문화관광,77440
202201,역사관광,49465
202201,체험관광,2317
202201,레저스포츠,27720
202201,자연관광,54215
202202,숙박,97096
202202,음식,261261
202202,쇼핑,81320
202202,기타관광,34513
202202,문화관광,76160
202202,역사관광,49943
202202,자연관광,53904
202202,체험관광,2173
202202,레저스포츠,26458
202203,숙박,80346
202203,음식,270370
202203,쇼핑,83665
202203,기타관광,33058
202203,문화관광,68752
202203,역사관광,45160
202203,체험관광,2811
202203,레저스포츠,36025
202203,자연관광,53297
202204,숙박,136175
202204,음식,402874
202204,쇼핑,101703
202204,기타관광,60358
202204,문화관광,125977
202204,역사관광,90776
202204,자연관광,94090
202204,체험관광,8186
202204,레저스포츠,49874
202205,숙박,161036
202205,음식,505597
202205,쇼핑,115306
202205,기타관광,67372
202205,문화관광,155093
202205,역사관광,92030
202205,자연관광,115394
202205,체험관광,10807
202205,레저스포츠,59718
202206,숙박,181075
202206,음식,524543
202206,쇼핑,105423
202206,기타관광,57200
202206,문화관광,125166
202206,역사관광,72249
202206,자연관광,100609
202206,체험관광,10477
202206,레저스포츠,56142
202207,숙박,216203
202207,음식,559205
202207,쇼핑,108843
202207,기타관광,52138
202207,문화관광,119390
202207,역사관광,63823
202207,자연관광,107402
202207,체험관광,6445
202207,레저스포츠,49363
202208,숙박,252116
202208,음식,622096
202208,쇼핑,121724
202208,기타관광,68699
202208,문화관광,140084
202208,역사관광,85989
202208,자연관광,137100
202208,체험관광,9807
202208,레저스포츠,51649
202209,숙박,157414
202209,음식,484925
202209,기타관광,81341
202209,쇼핑,119491
202209,문화관광,133210
202209,역사관광,85090
202209,자연관광,101160
202209,체험관광,9231
202209,레저스포츠,47954
202210,숙박,227680
202210,음식,603945
202210,기타관광,268198
202210,쇼핑,130594
202210,문화관광,244300
202210,역사관광,120072
202210,자연관광,138458
202210,체험관광,9964
202210,레저스포츠,62854
202211,숙박,169240
202211,음식,496709
202211,기타관광,235606
202211,쇼핑,114673
202211,문화관광,113411
202211,역사관광,92971
202211,자연관광,103319
202211,체험관광,4912
202211,레저스포츠,49357
202212,숙박,147781
202212,음식,446289
202212,기타관광,166597
202212,쇼핑,105165
202212,문화관광,80401
202212,역사관광,42762
202212,자연관광,39493
202212,체험관광,3936
202212,레저스포츠,25322
202301,숙박,140462
202301,음식,460410
202301,기타관광,180627
202301,쇼핑,114341
202301,문화관광,82692
202301,역사관광,53132
202301,자연관광,44203
202301,체험관광,5622
202301,레저스포츠,29279
202302,기타관광,165167
202302,쇼핑,102344
202302,숙박,150008
202302,음식,483916
202302,문화관광,94555
202302,역사관광,63816
202302,자연관광,49190
202302,체험관광,5102
202302,레저스포츠,32307
202303,기타관광,192337
202303,쇼핑,113994
202303,숙박,129352
202303,음식,501824
202303,문화관광,110705
202303,역사관광,71435
202303,자연관광,64266
202303,체험관광,5110
202303,레저스포츠,42568
202304,기타관광,217645
202304,쇼핑,119556
202304,숙박,172944
202304,음식,565548
202304,문화관광,167520
202304,역사관광,98152
202304,자연관광,89383
202304,체험관광,13194
202304,레저스포츠,54959
202305,기타관광,213124
202305,쇼핑,121237
202305,숙박,169118
202305,음식,557845
202305,문화관광,151286
202305,역사관광,80965
202305,자연관광,91020
202305,레저스포츠,58299
202305,체험관광,10263
202306,기타관광,200114
202306,쇼핑,94274
202306,숙박,177914
202306,음식,549804
202306,문화관광,145905
202306,역사관광,71822
202306,레저스포츠,58583
202306,체험관광,14777
202306,자연관광,92132
