기준연월,동반유형명,언급건수
202306,기타가족,158754
202305,기타가족,143698
202208,기타가족,131120
202303,기타가족,130546
202304,기타가족,123538
202207,기타가족,121734
202301,기타가족,121014
202302,기타가족,117376
202306,친구,117278
202210,기타가족,114414
202206,기타가족,114118
202209,기타가족,113106
202211,기타가족,109860
202205,기타가족,108242
202212,기타가족,105980
202305,친구,95454
202303,친구,89910
202201,기타가족,89498
202204,기타가족,88214
202304,친구,85812
202203,기타가족,85352
202202,기타가족,83252
202208,친구,80716
202207,친구,79216
202306,회사동료,78582
202302,친구,76860
202301,친구,74332
202210,친구,73662
202209,친구,71016
202206,친구,69994
202211,친구,69464
202212,친구,67528
202306,부모님,67060
202205,친구,65582
202305,회사동료,65280
202304,회사동료,61002
202305,부모님,59784
202204,친구,58062
202203,친구,57752
202201,친구,57566
202303,부모님,55960
202208,부모님,55954
202202,친구,53832
202207,부모님,51552
202301,부모님,51484
202303,회사동료,51426
202304,부모님,50842
202210,부모님,50148
202211,부모님,49478
202302,부모님,49450
202206,부모님,49406
202209,부모님,47604
202205,부모님,46860
202212,부모님,46450
202305,자녀,44514
202301,자녀,43246
202302,자녀,43124
202306,자녀,42636
202303,자녀,42442
202211,자녀,41234
202301,회사동료,41008
202306,연인,40568
202302,회사동료,40528
202304,자녀,40048
202306,싱글,39740
202212,자녀,39438
202208,회사동료,38608
202209,회사동료,38056
202201,부모님,37792
202210,회사동료,37724
202204,부모님,37636
202203,부모님,37460
202207,회사동료,37142
202212,회사동료,36860
202211,회사동료,36414
202210,자녀,36108
202208,자녀,35810
202202,부모님,34852
202305,싱글,34802
202207,자녀,33770
202305,연인,33572
202303,싱글,33320
202206,회사동료,33220
202208,싱글,33168
202205,회사동료,32908
202207,싱글,32740
202201,자녀,32466
202205,자녀,31118
202206,자녀,30848
202206,싱글,30708
202304,싱글,30614
202301,싱글,30484
202209,자녀,30062
202210,싱글,29700
202211,싱글,29682
202303,연인,29274
202205,싱글,29170
202212,싱글,28754
202302,싱글,28704
202209,싱글,28130
202304,연인,27864
202203,싱글,27630
202204,회사동료,27526
202201,싱글,27462
202204,자녀,26838
202203,자녀,26714
202203,회사동료,26362
202201,회사동료,25790
202204,싱글,25664
202202,싱글,25124
202202,자녀,24778
202306,배우자,24594
202208,배우자,24086
202303,배우자,23490
202202,회사동료,23468
202208,연인,23456
202302,연인,23400
202301,연인,22984
202305,배우자,22892
202207,연인,22860
202210,연인,21856
202207,배우자,21792
202206,배우자,21732
202304,배우자,21474
202209,연인,21082
202206,연인,20742
202210,배우자,20284
202212,배우자,20218
202205,연인,20056
202211,연인,19976
202205,배우자,19940
202212,연인,19770
202211,배우자,19600
202209,배우자,19590
202204,연인,19092
202301,배우자,18620
202302,배우자,18450
202201,연인,18144
202203,연인,18088
202204,배우자,17500
202203,배우자,17222
202201,배우자,15808
202202,연인,15544
202202,배우자,13864
202210,학생,12536
202207,학생,9472
202306,학생,9166
202208,학생,8726
202305,학생,8708
202302,학생,8088
202301,학생,7540
202303,학생,7470
202304,학생,7288
202206,학생,7172
202209,학생,6704
202212,학생,6684
202205,학생,6614
202211,학생,6178
202201,학생,5842
202203,학생,5466
202202,학생,5298
202204,학생,4868
