기준연월,업종대분류명,소비액(천원)
202201,숙박업,3562888.0
202201,쇼핑업,2.4192793E7
202201,여가서비스업,3859488.0
202201,식음료업,4.5240368E7
202201,여행업,1080.0
202201,운송업,24330.0
202202,숙박업,3321032.0
202202,쇼핑업,1.9400415E7
202202,여가서비스업,4437232.0
202202,식음료업,3.8865155E7
202202,여행업,1765.0
202202,운송업,24106.0
202203,숙박업,3298497.0
202203,여행업,10143.0
202203,쇼핑업,2.2776128E7
202203,여가서비스업,7753014.0
202203,식음료업,4.7550319E7
202203,운송업,31000.0
202204,숙박업,4220066.0
202204,여행업,11806.0
202204,쇼핑업,2.5817301E7
202204,여가서비스업,9901047.0
202204,식음료업,6.1700096E7
202204,운송업,59563.0
202205,숙박업,5078363.0
202205,쇼핑업,2.8775433E7
202205,여가서비스업,1.1519586E7
202205,식음료업,6.8593853E7
202205,여행업,11239.0
202205,운송업,90171.0
202206,숙박업,5193512.0
202206,쇼핑업,2.6587221E7
202206,여가서비스업,1.0731843E7
202206,식음료업,6.3756255E7
202206,여행업,4494.0
202206,운송업,81016.0
202207,숙박업,6715300.0
202207,여행업,14565.0
202207,쇼핑업,2.4584516E7
202207,여가서비스업,9420986.0
202207,식음료업,6.5770929E7
202207,운송업,71742.0
202208,숙박업,7625564.0
202208,여행업,12337.0
202208,쇼핑업,2.3670243E7
202208,여가서비스업,8320007.0
202208,식음료업,6.6968737E7
202208,운송업,82466.0
202209,숙박업,4927955.0
202209,쇼핑업,2.7135583E7
202209,여가서비스업,9314905.0
202209,식음료업,6.134309E7
202209,여행업,27748.0
202209,운송업,79847.0
202210,숙박업,5594535.0
202210,쇼핑업,3.2403645E7
202210,여가서비스업,1.0197728E7
202210,식음료업,7.1445367E7
202210,여행업,15830.0
202210,운송업,105129.0
202211,숙박업,4800962.0
202211,운송업,75541.0
202211,쇼핑업,2.7536136E7
202211,여가서비스업,8564612.0
202211,식음료업,5.9132438E7
202211,여행업,10998.0
202212,숙박업,4289313.0
202212,운송업,33848.0
202212,쇼핑업,2.5766888E7
202212,여가서비스업,3851722.0
202212,식음료업,5.4450196E7
202212,여행업,6370.0
202301,숙박업,4333917.0
202301,쇼핑업,2.3508988E7
202301,여가서비스업,3667255.0
202301,식음료업,5.3078723E7
202301,여행업,8438.0
202301,운송업,30404.0
202302,숙박업,4454183.0
202302,쇼핑업,2.132538E7
202302,여가서비스업,4840147.0
202302,식음료업,5.38806E7
202302,여행업,17192.0
202302,운송업,28822.0
202303,숙박업,3898752.0
202303,운송업,68621.0
202303,쇼핑업,2.5578907E7
202303,여가서비스업,8315356.0
202303,식음료업,6.2511359E7
202303,여행업,12721.0
202304,숙박업,4874124.0
202304,운송업,91873.0
202304,쇼핑업,2.6387331E7
202304,여가서비스업,9687434.0
202304,식음료업,6.8786404E7
202304,여행업,5820.0
202305,숙박업,5432957.0
202305,쇼핑업,2.8563638E7
202305,여가서비스업,1.0024109E7
202305,식음료업,6.9325341E7
202305,여행업,11755.0
202305,운송업,77539.0
202306,숙박업,5673481.0
202306,쇼핑업,2.5007512E7
202306,여가서비스업,1.0133186E7
202306,식음료업,6.3840546E7
202306,여행업,10691.0
202306,운송업,79615.0
202201,전체,7.6880948E7
202202,전체,6.6049706E7
202203,전체,8.1419102E7
202204,전체,1.01709879E8
202205,전체,1.14068645E8
202206,전체,1.0635434E8
202207,전체,1.06578039E8
202208,전체,1.06679353E8
202209,전체,1.02829128E8
202210,전체,1.19762234E8
202211,전체,1.00120688E8
202212,전체,8.8398336E7
202301,전체,8.4627725E7
202302,전체,8.4546325E7
202303,전체,1.00385716E8
202304,전체,1.09832987E8
202305,전체,1.13435339E8
202306,전체,1.0474503E8
