기준연월,업종대분류명,소비액(천원)
202201,숙박업,2556813.0
202201,쇼핑업,1.9571535E7
202201,여가서비스업,5017460.0
202201,식음료업,3.5312007E7
202201,운송업,139191.0
202202,숙박업,2368606.0
202202,쇼핑업,1.5098842E7
202202,여가서비스업,6616225.0
202202,식음료업,3.0426499E7
202202,운송업,130869.0
202203,숙박업,2422683.0
202203,쇼핑업,1.835856E7
202203,여가서비스업,1.3129651E7
202203,식음료업,3.757115E7
202203,여행업,4701.0
202203,운송업,136651.0
202204,숙박업,2957947.0
202204,쇼핑업,2.0992146E7
202204,여가서비스업,1.7618652E7
202204,식음료업,4.7462177E7
202204,운송업,206698.0
202204,여행업,13281.0
202205,숙박업,3325479.0
202205,쇼핑업,2.1968768E7
202205,여가서비스업,2.1206287E7
202205,식음료업,5.4910322E7
202205,여행업,10798.0
202205,운송업,264581.0
202206,숙박업,3250464.0
202206,여행업,6129.0
202206,쇼핑업,1.8927518E7
202206,여가서비스업,2.0117243E7
202206,식음료업,5.1268917E7
202206,운송업,245483.0
202207,숙박업,3762411.0
202207,여행업,8246.0
202207,쇼핑업,1.9244525E7
202207,여가서비스업,1.8571961E7
202207,식음료업,5.4513923E7
202207,운송업,244117.0
202208,숙박업,4486426.0
202208,쇼핑업,1.803777E7
202208,여가서비스업,1.6419516E7
202208,식음료업,5.488895E7
202208,여행업,10247.0
202208,운송업,296462.0
202209,숙박업,3156780.0
202209,쇼핑업,2.0174498E7
202209,여가서비스업,1.8918026E7
202209,식음료업,5.0757416E7
202209,운송업,251417.0
202210,숙박업,3921234.0
202210,여행업,8270.0
202210,쇼핑업,2.3361819E7
202210,여가서비스업,2.2085663E7
202210,식음료업,5.821938E7
202210,운송업,398544.0
202211,숙박업,3253743.0
202211,여행업,21205.0
202211,쇼핑업,2.0012967E7
202211,여가서비스업,1.8115965E7
202211,식음료업,4.9807423E7
202211,운송업,246020.0
202212,숙박업,2937514.0
202212,쇼핑업,2.1441374E7
202212,여가서비스업,5144197.0
202212,식음료업,4.6857513E7
202212,운송업,37082.0
202301,숙박업,3029089.0
202301,쇼핑업,1.8429212E7
202301,여가서비스업,3674266.0
202301,식음료업,4.4691145E7
202301,운송업,27765.0
202302,숙박업,2902939.0
202302,쇼핑업,1.6536566E7
202302,여가서비스업,7450884.0
202302,식음료업,4.4400056E7
202302,여행업,17104.0
202302,운송업,34718.0
202303,숙박업,2902270.0
202303,쇼핑업,2.0768747E7
202303,여가서비스업,1.5319554E7
202303,식음료업,5.117356E7
202303,여행업,12682.0
202303,운송업,76016.0
202304,숙박업,3211012.0
202304,여행업,10902.0
202304,쇼핑업,2.0645786E7
202304,여가서비스업,1.8263107E7
202304,식음료업,5.4444374E7
202304,운송업,162341.0
202305,숙박업,3267158.0
202305,여행업,10149.0
202305,쇼핑업,2.1217701E7
202305,여가서비스업,1.976005E7
202305,식음료업,5.6454396E7
202305,운송업,143807.0
202306,숙박업,3110473.0
202306,여행업,16076.0
202306,쇼핑업,1.7789363E7
202306,여가서비스업,1.9574206E7
202306,식음료업,5.2389709E7
202306,운송업,166684.0
202201,여행업,4000.0
202202,여행업,1336.0
202209,여행업,7819.0
202212,여행업,18172.0
202301,여행업,5000.0
202201,전체,6.2601007E7
202202,전체,5.4642376E7
202203,전체,7.1623396E7
202204,전체,8.9250901E7
202205,전체,1.01686235E8
202206,전체,9.3815754E7
202207,전체,9.6345184E7
202208,전체,9.4139372E7
202209,전체,9.3265957E7
202210,전체,1.07994909E8
202211,전체,9.1457323E7
202212,전체,7.6435852E7
202301,전체,6.9856476E7
202302,전체,7.1342267E7
202303,전체,9.0252828E7
202304,전체,9.6737523E7
202305,전체,1.0085326E8
202306,전체,9.3046511E7
