기준연월,업종대분류명,소비액(천원)
202201,숙박업,4809164.0
202201,운송업,118111.0
202201,쇼핑업,3.4119111E7
202201,여가서비스업,1.2659771E7
202201,식음료업,5.7707184E7
202201,여행업,23084.0
202202,숙박업,4388613.0
202202,운송업,92163.0
202202,쇼핑업,2.4588972E7
202202,여가서비스업,1.283978E7
202202,식음료업,4.7843805E7
202202,여행업,19048.0
202203,숙박업,4159521.0
202203,운송업,92511.0
202203,쇼핑업,2.8909709E7
202203,여가서비스업,1.5866031E7
202203,식음료업,5.5910139E7
202203,여행업,24416.0
202204,숙박업,5107455.0
202204,운송업,156024.0
202204,쇼핑업,3.4953729E7
202204,여가서비스업,1.9350186E7
202204,식음료업,7.2536187E7
202204,여행업,19135.0
202205,숙박업,5816624.0
202205,운송업,182568.0
202205,쇼핑업,3.7031265E7
202205,여가서비스업,2.22884E7
202205,식음료업,8.3067571E7
202205,여행업,29670.0
202206,숙박업,6062007.0
202206,운송업,202197.0
202206,쇼핑업,3.2949652E7
202206,여가서비스업,2.0871303E7
202206,식음료업,7.6802927E7
202206,여행업,28498.0
202207,숙박업,7088852.0
202207,운송업,161565.0
202207,쇼핑업,3.2653437E7
202207,여가서비스업,2.0045869E7
202207,식음료업,8.0957785E7
202207,여행업,29639.0
202208,숙박업,8219974.0
202208,운송업,198300.0
202208,쇼핑업,3.1187759E7
202208,여가서비스업,2.0228701E7
202208,식음료업,8.4336244E7
202208,여행업,44748.0
202209,숙박업,5016543.0
202209,운송업,139608.0
202209,쇼핑업,3.238673E7
202209,여가서비스업,1.8057548E7
202209,식음료업,7.0074942E7
202209,여행업,24799.0
202210,숙박업,6353747.0
202210,운송업,220366.0
202210,쇼핑업,3.9095573E7
202210,여가서비스업,2.1278479E7
202210,식음료업,8.44575E7
202210,여행업,36585.0
202211,숙박업,5019899.0
202211,운송업,168025.0
202211,쇼핑업,3.3191934E7
202211,여가서비스업,1.7831839E7
202211,식음료업,7.04537E7
202211,여행업,26011.0
202212,숙박업,5265509.0
202212,운송업,121623.0
202212,쇼핑업,3.4574593E7
202212,여가서비스업,1.2896727E7
202212,식음료업,7.3187415E7
202212,여행업,25456.0
202301,숙박업,5121691.0
202301,운송업,117720.0
202301,쇼핑업,3.1388067E7
202301,여가서비스업,1.0777702E7
202301,식음료업,7.0448697E7
202301,여행업,56447.0
202302,숙박업,4992024.0
202302,운송업,96342.0
202302,쇼핑업,2.5962773E7
202302,여가서비스업,1.2726152E7
202302,식음료업,6.7196273E7
202302,여행업,38240.0
202303,숙박업,4938171.0
202303,운송업,183026.0
202303,쇼핑업,3.2340326E7
202303,여가서비스업,1.6602558E7
202303,식음료업,7.6826224E7
202303,여행업,28449.0
202304,숙박업,5330518.0
202304,운송업,234019.0
202304,쇼핑업,3.4282301E7
202304,여가서비스업,1.8543107E7
202304,식음료업,8.1306186E7
202304,여행업,27757.0
202305,숙박업,5444923.0
202305,운송업,173064.0
202305,쇼핑업,3.4567579E7
202305,여가서비스업,1.9127565E7
202305,식음료업,8.2815823E7
202305,여행업,25424.0
202306,숙박업,5139845.0
202306,운송업,169366.0
202306,쇼핑업,3.0397525E7
202306,여가서비스업,1.9147007E7
202306,식음료업,7.6220321E7
202306,여행업,15662.0
202201,전체,1.09436426E8
202202,전체,8.9772382E7
202203,전체,1.04962326E8
202204,전체,1.32122715E8
202205,전체,1.48416098E8
202206,전체,1.36916585E8
202207,전체,1.40937148E8
202208,전체,1.44215726E8
202209,전체,1.2570017E8
202210,전체,1.51442251E8
202211,전체,1.26691408E8
202212,전체,1.26071323E8
202301,전체,1.17910323E8
202302,전체,1.11011805E8
202303,전체,1.30918755E8
202304,전체,1.39723888E8
202305,전체,1.42154378E8
202306,전체,1.31089728E8
