기준연월,목적지 유형,목적지 검색량
202201,숙박,198212
202201,음식,421736
202201,쇼핑,340113
202201,기타관광,81645
202201,문화관광,147313
202201,역사관광,85895
202201,자연관광,74897
202201,체험관광,13826
202201,레저스포츠,74917
202202,숙박,199301
202202,음식,437874
202202,쇼핑,303269
202202,기타관광,77320
202202,문화관광,140907
202202,역사관광,89107
202202,자연관광,71259
202202,체험관광,11034
202202,레저스포츠,73485
202203,숙박,177142
202203,음식,472694
202203,쇼핑,314361
202203,기타관광,84421
202203,문화관광,165551
202203,역사관광,94968
202203,자연관광,74730
202203,체험관광,10240
202203,레저스포츠,83738
202204,숙박,274668
202204,음식,681713
202204,쇼핑,397457
202204,기타관광,158324
202204,문화관광,261109
202204,역사관광,141992
202204,자연관광,120664
202204,체험관광,14264
202204,레저스포츠,105727
202205,숙박,322201
202205,음식,837375
202205,쇼핑,415839
202205,기타관광,143130
202205,문화관광,332294
202205,역사관광,152879
202205,자연관광,145474
202205,체험관광,16828
202205,레저스포츠,126688
202206,숙박,325067
202206,음식,822696
202206,쇼핑,382559
202206,기타관광,120432
202206,문화관광,262859
202206,역사관광,106554
202206,자연관광,112647
202206,체험관광,14691
202206,레저스포츠,111655
202207,숙박,389461
202207,음식,931603
202207,쇼핑,408190
202207,기타관광,117214
202207,문화관광,262470
202207,역사관광,107918
202207,자연관광,155474
202207,체험관광,15113
202207,레저스포츠,105729
202208,숙박,467815
202208,음식,1031232
202208,쇼핑,475544
202208,기타관광,162944
202208,문화관광,288347
202208,역사관광,153668
202208,자연관광,204437
202208,체험관광,18773
202208,레저스포츠,110322
202209,숙박,268217
202209,음식,718130
202209,기타관광,120872
202209,쇼핑,422474
202209,문화관광,227638
202209,역사관광,116823
202209,자연관광,105272
202209,체험관광,13634
202209,레저스포츠,102434
202210,숙박,393982
202210,음식,944494
202210,기타관광,370289
202210,쇼핑,531964
202210,문화관광,408601
202210,역사관광,176087
202210,자연관광,166872
202210,체험관광,20468
202210,레저스포츠,132567
202211,숙박,288017
202211,음식,750677
202211,기타관광,243217
202211,쇼핑,449510
202211,문화관광,241074
202211,역사관광,132042
202211,자연관광,111307
202211,체험관광,15564
202211,레저스포츠,110671
202212,숙박,279363
202212,음식,795327
202212,기타관광,197729
202212,쇼핑,486327
202212,문화관광,190609
202212,역사관광,77840
202212,자연관광,64322
202212,체험관광,16742
202212,레저스포츠,76694
202301,숙박,235739
202301,음식,726046
202301,기타관광,207869
202301,쇼핑,469531
202301,문화관광,180617
202301,역사관광,99186
202301,자연관광,66499
202301,체험관광,19634
202301,레저스포츠,67605
202302,기타관광,191391
202302,쇼핑,415879
202302,숙박,250506
202302,음식,716823
202302,문화관광,181825
202302,역사관광,96932
202302,자연관광,66173
202302,체험관광,15928
202302,레저스포츠,75288
202303,기타관광,273371
202303,쇼핑,469468
202303,숙박,250846
202303,음식,800282
202303,문화관광,256568
202303,역사관광,148537
202303,자연관광,93661
202303,체험관광,15556
202303,레저스포츠,96576
202304,기타관광,261456
202304,쇼핑,472996
202304,숙박,303074
202304,음식,864999
202304,문화관광,303374
202304,역사관광,152069
202304,자연관광,109432
202304,체험관광,20067
202304,레저스포츠,123817
202305,기타관광,235151
202305,쇼핑,460465
202305,숙박,295935
202305,음식,845277
202305,문화관광,313918
202305,역사관광,162002
202305,자연관광,99700
202305,체험관광,17412
202305,레저스포츠,125822
202306,기타관광,227014
202306,쇼핑,389276
202306,숙박,305152
202306,음식,859691
202306,문화관광,284913
202306,역사관광,122773
202306,자연관광,118555
202306,체험관광,17968
202306,레저스포츠,132494
