기준연월,동반유형명,언급건수
202305,기타가족,2226576
202306,기타가족,2192616
202208,기타가족,2090280
202304,기타가족,2024952
202209,기타가족,1967040
202211,기타가족,1884744
202303,기타가족,1843416
202301,기타가족,1774656
202210,기타가족,1773600
202207,기타가족,1701960
202212,기타가족,1662912
202302,기타가족,1657272
202205,기타가족,1619736
202206,기타가족,1614168
202201,기타가족,1500840
202204,기타가족,1177320
202203,기타가족,1145664
202306,친구,1065048
202305,친구,1063248
202305,부모님,999792
202202,기타가족,983976
202208,자녀,983088
202306,자녀,966456
202208,부모님,957672
202306,부모님,944160
202304,친구,931632
202207,자녀,930816
202305,자녀,926856
202211,자녀,908520
202209,부모님,888480
202301,부모님,887184
202303,친구,857256
202208,친구,853512
202303,부모님,848760
202304,부모님,846072
202210,자녀,840264
202207,부모님,830448
202201,친구,823800
202212,자녀,822888
202209,자녀,819360
202304,회사동료,814608
202303,자녀,813816
202211,부모님,808920
202304,자녀,808608
202210,부모님,804120
202205,부모님,792408
202205,자녀,789480
202206,부모님,781968
202305,회사동료,780936
202302,부모님,774000
202210,친구,772752
202306,회사동료,757824
202209,친구,757368
202207,친구,757128
202206,자녀,755256
202212,친구,741312
202212,부모님,737136
202211,친구,735096
202301,친구,726888
202302,친구,708984
202206,친구,702384
202302,자녀,695448
202212,회사동료,686856
202303,회사동료,674712
202205,친구,646512
202301,자녀,643512
202211,회사동료,628608
202209,회사동료,617760
202203,자녀,599808
202301,회사동료,598392
202205,회사동료,582696
202302,회사동료,580368
202207,회사동료,578016
202210,회사동료,574992
202206,회사동료,571656
202204,자녀,563928
202208,회사동료,556368
202203,부모님,535944
202201,부모님,524520
202204,친구,523968
202201,자녀,517608
202203,회사동료,512232
202204,부모님,509064
202202,부모님,478752
202203,친구,448704
202202,친구,409512
202202,자녀,404232
202201,회사동료,402888
202305,배우자,398712
202204,회사동료,395400
202306,배우자,393768
202208,배우자,371688
202306,싱글,371304
202209,배우자,364968
202303,배우자,356280
202305,싱글,346512
202304,배우자,346224
202302,배우자,344496
202211,배우자,339408
202306,연인,335184
202208,싱글,332544
202304,연인,331032
202206,배우자,329688
202305,연인,328752
202210,배우자,325848
202303,싱글,320304
202304,싱글,320304
202301,배우자,316584
202207,싱글,313944
202206,싱글,311808
202211,싱글,310632
202210,싱글,305256
202205,배우자,301944
202209,싱글,298680
202212,배우자,295920
202205,싱글,293352
202207,배우자,292920
202212,싱글,292848
202303,연인,292848
202202,회사동료,291384
202301,싱글,289200
202204,배우자,275592
202302,싱글,273000
202210,연인,261408
202211,연인,250704
202203,배우자,250320
202306,학생,246864
202212,연인,244872
202208,연인,244392
202203,싱글,225024
202209,연인,223896
202302,연인,220296
202305,학생,219312
202207,연인,218736
202301,연인,218664
202207,학생,214032
202208,학생,212520
202201,배우자,207408
202303,학생,206904
202206,연인,200856
202204,싱글,198480
202201,싱글,196464
202202,배우자,194136
202304,학생,192600
202204,연인,188304
202205,연인,187104
202302,학생,179088
202210,학생,178920
202212,학생,178560
202301,학생,169344
202205,학생,168216
202211,학생,165432
202202,싱글,163440
202203,연인,160968
202209,학생,159000
202206,학생,150000
202201,연인,143952
202202,연인,133584
202204,학생,116904
202201,학생,112464
202203,학생,109416
202202,학생,87120
