기준연월,목적지 유형,목적지 검색량
202201,숙박,170473
202201,음식,372521
202201,기타관광,55604
202201,쇼핑,140785
202201,자연관광,144232
202201,문화관광,139098
202201,역사관광,123650
202201,체험관광,14427
202201,레저스포츠,60727
202202,숙박,177201
202202,음식,385893
202202,기타관광,48794
202202,쇼핑,118462
202202,자연관광,119034
202202,문화관광,128805
202202,역사관광,126840
202202,체험관광,12816
202202,레저스포츠,67798
202203,숙박,143038
202203,음식,387578
202203,기타관광,39453
202203,쇼핑,113045
202203,자연관광,93754
202203,문화관광,120449
202203,역사관광,102873
202203,체험관광,11506
202203,레저스포츠,89164
202204,숙박,255046
202204,음식,614348
202204,기타관광,71556
202204,쇼핑,137264
202204,자연관광,146750
202204,문화관광,206801
202204,역사관광,229910
202204,체험관광,15146
202204,레저스포츠,123652
202205,숙박,305721
202205,음식,713773
202205,기타관광,86975
202205,쇼핑,158406
202205,자연관광,179851
202205,문화관광,238174
202205,역사관광,221679
202205,체험관광,18035
202205,레저스포츠,144300
202206,숙박,312868
202206,음식,718899
202206,기타관광,78542
202206,쇼핑,146770
202206,자연관광,170405
202206,문화관광,207950
202206,역사관광,161229
202206,체험관광,17468
202206,레저스포츠,135172
202207,숙박,382475
202207,음식,816431
202207,기타관광,80234
202207,쇼핑,157950
202207,자연관광,232738
202207,문화관광,210923
202207,역사관광,155200
202207,체험관광,17428
202207,레저스포츠,131098
202208,숙박,463657
202208,음식,956316
202208,기타관광,119124
202208,쇼핑,186422
202208,자연관광,292814
202208,문화관광,281963
202208,역사관광,210452
202208,체험관광,20596
202208,레저스포츠,138769
202209,숙박,266476
202209,음식,639234
202209,기타관광,95394
202209,쇼핑,152872
202209,자연관광,149020
202209,문화관광,184148
202209,역사관광,181758
202209,체험관광,18559
202209,레저스포츠,131014
202210,숙박,381733
202210,음식,855906
202210,기타관광,326361
202210,쇼핑,179609
202210,자연관광,219583
202210,문화관광,307674
202210,역사관광,330324
202210,체험관광,25608
202210,레저스포츠,163081
202211,숙박,282307
202211,음식,675146
202211,기타관광,272639
202211,쇼핑,151547
202211,자연관광,144164
202211,문화관광,181795
202211,역사관광,227544
202211,체험관광,21783
202211,레저스포츠,131839
202212,숙박,254204
202212,음식,654774
202212,기타관광,213493
202212,쇼핑,160756
202212,자연관광,104375
202212,문화관광,156161
202212,역사관광,110758
202212,체험관광,24080
202212,레저스포츠,71096
202301,숙박,212149
202301,음식,628881
202301,기타관광,232142
202301,쇼핑,164814
202301,자연관광,121779
202301,문화관광,161540
202301,역사관광,127535
202301,체험관광,32216
202301,레저스포츠,59286
202302,기타관광,211508
202302,쇼핑,144325
202302,숙박,239376
202302,음식,651968
202302,자연관광,112934
202302,문화관광,176189
202302,역사관광,142362
202302,체험관광,29462
202302,레저스포츠,81104
202303,기타관광,234791
202303,쇼핑,150290
202303,숙박,226346
202303,음식,694376
202303,자연관광,119610
202303,문화관광,195749
202303,역사관광,167645
202303,체험관광,24352
202303,레저스포츠,120186
202304,기타관광,266652
202304,쇼핑,157438
202304,숙박,295065
202304,음식,769107
202304,자연관광,136172
202304,문화관광,222367
202304,역사관광,223828
202304,체험관광,26886
202304,레저스포츠,161100
202305,기타관광,246177
202305,쇼핑,152286
202305,숙박,283452
202305,음식,743927
202305,자연관광,138053
202305,문화관광,219390
202305,역사관광,204524
202305,체험관광,22674
202305,레저스포츠,159722
202306,기타관광,232148
202306,쇼핑,127167
202306,숙박,311114
202306,음식,762395
202306,자연관광,170960
202306,문화관광,215504
202306,역사관광,175710
202306,체험관광,18699
202306,레저스포츠,165002
