기준연월,업종대분류명,소비액(천원)
202201,숙박업,1422972.0
202201,쇼핑업,3.2447637E7
202201,여가서비스업,2589605.0
202201,식음료업,3.1082761E7
202201,운송업,81824.0
202202,숙박업,1287208.0
202202,쇼핑업,2.731894E7
202202,여가서비스업,2482054.0
202202,식음료업,2.6355292E7
202202,운송업,73280.0
202202,여행업,24018.0
202203,숙박업,1398240.0
202203,쇼핑업,3.3829076E7
202203,여가서비스업,2936446.0
202203,식음료업,3.2915078E7
202203,운송업,70729.0
202204,숙박업,1498611.0
202204,쇼핑업,3.8279867E7
202204,여가서비스업,3419949.0
202204,식음료업,3.9680497E7
202204,운송업,116462.0
202205,숙박업,1546650.0
202205,여행업,14908.0
202205,쇼핑업,3.8605877E7
202205,여가서비스업,4182051.0
202205,식음료업,4.5769821E7
202205,운송업,111129.0
202206,숙박업,1639619.0
202206,여행업,11660.0
202206,쇼핑업,3.8022932E7
202206,여가서비스업,4088945.0
202206,식음료업,4.3466771E7
202206,운송업,77065.0
202207,숙박업,1703116.0
202207,쇼핑업,3.2908898E7
202207,여가서비스업,3772516.0
202207,식음료업,4.3031959E7
202207,운송업,74098.0
202208,숙박업,1751342.0
202208,여행업,21851.0
202208,쇼핑업,2.9691736E7
202208,여가서비스업,3772481.0
202208,식음료업,4.1081239E7
202208,운송업,80344.0
202209,숙박업,1454549.0
202209,여행업,23463.0
202209,쇼핑업,3.4021944E7
202209,여가서비스업,3560926.0
202209,식음료업,3.9177625E7
202209,운송업,79573.0
202210,숙박업,1689113.0
202210,여행업,39911.0
202210,쇼핑업,3.9818195E7
202210,여가서비스업,3583590.0
202210,식음료업,4.4103724E7
202210,운송업,89655.0
202211,숙박업,1529442.0
202211,여행업,36745.0
202211,쇼핑업,3.4562964E7
202211,여가서비스업,2979836.0
202211,식음료업,4.0829287E7
202211,운송업,70468.0
202212,숙박업,1526446.0
202212,여행업,30047.0
202212,쇼핑업,3.4663318E7
202212,여가서비스업,2795816.0
202212,식음료업,4.2960489E7
202212,운송업,46740.0
202301,숙박업,1336670.0
202301,여행업,56296.0
202301,쇼핑업,3.0707885E7
202301,여가서비스업,3052761.0
202301,식음료업,4.1106571E7
202301,운송업,47079.0
202302,숙박업,1299286.0
202302,여행업,56446.0
202302,쇼핑업,2.8927972E7
202302,여가서비스업,2934184.0
202302,식음료업,3.9793323E7
202302,운송업,35317.0
202303,숙박업,1364093.0
202303,여행업,37835.0
202303,쇼핑업,3.4245177E7
202303,여가서비스업,3341238.0
202303,식음료업,4.3168382E7
202303,운송업,32412.0
202304,숙박업,1497522.0
202304,여행업,33610.0
202304,쇼핑업,3.4521092E7
202304,여가서비스업,3414890.0
202304,식음료업,4.3530694E7
202304,운송업,49215.0
202305,숙박업,1447945.0
202305,여행업,52796.0
202305,쇼핑업,3.4995993E7
202305,여가서비스업,3638753.0
202305,식음료업,4.5941412E7
202305,운송업,41029.0
202306,숙박업,1355958.0
202306,여행업,21689.0
202306,쇼핑업,3.0141497E7
202306,여가서비스업,3551239.0
202306,식음료업,4.2793724E7
202306,운송업,40063.0
202201,여행업,2720.0
202203,여행업,1534.0
202204,여행업,28126.0
202207,여행업,12776.0
202201,전체,6.7627519E7
202202,전체,5.7540791E7
202203,전체,7.1151102E7
202204,전체,8.302351E7
202205,전체,9.0230435E7
202206,전체,8.7306992E7
202207,전체,8.1503363E7
202208,전체,7.6398993E7
202209,전체,7.8318079E7
202210,전체,8.9324186E7
202211,전체,8.0008743E7
202212,전체,8.2022856E7
202301,전체,7.6307262E7
202302,전체,7.3046528E7
202303,전체,8.2189136E7
202304,전체,8.3047023E7
202305,전체,8.6117927E7
202306,전체,7.7904171E7
