기준연월,동반유형명,언급건수
202305,기타가족,171875
202306,기타가족,157680
202303,기타가족,150635
202304,기타가족,147300
202208,기타가족,146175
202211,기타가족,143985
202210,기타가족,142870
202206,기타가족,138865
202301,기타가족,134350
202302,기타가족,134090
202209,기타가족,131840
202205,기타가족,131365
202212,기타가족,130605
202207,기타가족,126635
202306,친구,111830
202305,친구,100025
202201,기타가족,94795
202303,친구,92640
202304,친구,90285
202204,기타가족,87455
202305,부모님,86215
202203,기타가족,84625
202301,친구,83975
202211,친구,82420
202306,회사동료,82035
202302,친구,82010
202202,기타가족,81145
202210,친구,81135
202212,친구,80365
202208,친구,79540
202207,친구,78780
202209,친구,75005
202205,친구,74945
202206,친구,74350
202206,부모님,74030
202305,회사동료,72125
202303,부모님,71910
202305,자녀,69195
202306,부모님,68910
202304,부모님,65500
202205,부모님,64440
202304,회사동료,64165
202208,부모님,62050
202303,회사동료,61410
202210,부모님,61260
202211,부모님,60000
202304,자녀,59875
202209,부모님,59425
202306,자녀,57575
202207,부모님,57235
202301,부모님,56995
202303,자녀,56950
202204,친구,56945
202212,부모님,55920
202212,회사동료,55635
202302,부모님,55490
202212,자녀,55375
202211,자녀,54830
202211,회사동료,54770
202302,회사동료,53930
202205,자녀,53815
202201,친구,53310
202203,친구,53065
202301,회사동료,52815
202208,자녀,52485
202206,회사동료,51555
202210,자녀,51510
202206,자녀,51345
202301,자녀,50740
202207,회사동료,49965
202209,자녀,49555
202208,회사동료,48040
202302,자녀,47855
202205,회사동료,47680
202210,회사동료,46925
202209,회사동료,46505
202202,친구,46230
202207,자녀,46160
202201,부모님,39205
202201,자녀,37670
202204,자녀,36560
202201,회사동료,36440
202204,부모님,36090
202203,자녀,35925
202306,싱글,35405
202208,싱글,34470
202204,회사동료,34380
202305,싱글,34145
202203,부모님,33635
202306,연인,33570
202210,싱글,33210
202202,부모님,32720
202203,회사동료,32715
202207,싱글,32460
202305,배우자,32130
202306,배우자,30980
202303,싱글,30420
202206,싱글,30300
202211,싱글,30050
202304,싱글,29745
202302,싱글,28990
202202,자녀,28515
202202,회사동료,28495
202205,싱글,28440
202301,싱글,28190
202209,싱글,28160
202304,배우자,28150
202212,싱글,28140
202305,연인,27910
202303,배우자,27625
202303,연인,26675
202212,배우자,24815
202304,연인,24590
202210,배우자,24010
202211,배우자,23850
202205,배우자,23715
202208,배우자,23275
202206,배우자,23115
202301,연인,23040
202212,연인,22830
202301,배우자,22675
202302,연인,22110
202209,배우자,22000
202210,연인,21770
202211,연인,21135
202206,연인,21005
202302,배우자,20875
202208,연인,20120
202207,배우자,19830
202207,연인,19215
202305,학생,19080
202209,연인,18950
202306,학생,18765
202205,연인,18705
202303,학생,18545
202212,학생,18495
202201,싱글,17975
202204,싱글,17900
202203,싱글,17340
202304,학생,17080
202302,학생,16790
202205,학생,16580
202208,학생,16540
202207,학생,16470
202206,학생,15950
202211,학생,15720
202202,싱글,15630
202210,학생,15410
202209,학생,15395
202203,연인,15225
202204,연인,15130
202202,연인,15075
202204,배우자,14615
202301,학생,14610
202201,배우자,14300
202203,배우자,14250
202201,연인,13845
202203,학생,12855
202202,배우자,12585
202202,학생,12215
202204,학생,10605
202201,학생,10085
