기준연월,목적지 유형,목적지 검색량
202201,숙박,34877
202201,음식,135512
202201,쇼핑,95271
202201,기타관광,11678
202201,문화관광,36606
202201,레저스포츠,4436
202201,역사관광,3953
202201,체험관광,6
202201,자연관광,638
202202,숙박,37411
202202,음식,148746
202202,쇼핑,86905
202202,기타관광,11538
202202,문화관광,34675
202202,역사관광,3922
202202,레저스포츠,4237
202202,체험관광,56
202202,자연관광,600
202203,숙박,39859
202203,음식,175456
202203,쇼핑,95106
202203,기타관광,10508
202203,문화관광,41989
202203,역사관광,3648
202203,레저스포츠,5182
202203,자연관광,854
202203,체험관광,41
202204,숙박,49467
202204,음식,234429
202204,쇼핑,107329
202204,기타관광,13803
202204,문화관광,68471
202204,역사관광,5461
202204,레저스포츠,6638
202204,자연관광,1391
202204,체험관광,29
202205,숙박,54633
202205,음식,295999
202205,쇼핑,120710
202205,기타관광,14906
202205,문화관광,91859
202205,역사관광,7637
202205,레저스포츠,8608
202205,체험관광,59
202205,자연관광,1358
202206,숙박,57758
202206,음식,329038
202206,쇼핑,112947
202206,기타관광,13026
202206,문화관광,88760
202206,역사관광,5342
202206,레저스포츠,8746
202206,체험관광,57
202206,자연관광,1046
202207,숙박,60477
202207,음식,361397
202207,쇼핑,120251
202207,기타관광,11797
202207,문화관광,85367
202207,역사관광,4693
202207,레저스포츠,8588
202207,체험관광,44
202207,자연관광,878
202208,숙박,63221
202208,음식,340737
202208,쇼핑,123319
202208,기타관광,11712
202208,문화관광,88843
202208,역사관광,5019
202208,자연관광,887
202208,레저스포츠,8764
202208,체험관광,71
202209,숙박,53119
202209,음식,298614
202209,기타관광,18904
202209,쇼핑,125152
202209,문화관광,77977
202209,역사관광,5873
202209,레저스포츠,8432
202209,체험관광,43
202209,자연관광,989
202210,숙박,62961
202210,음식,328785
202210,기타관광,63597
202210,쇼핑,142294
202210,문화관광,97687
202210,역사관광,7420
202210,자연관광,1010
202210,레저스포츠,9493
202210,체험관광,74
202211,숙박,59559
202211,음식,315778
202211,기타관광,56969
202211,쇼핑,133388
202211,문화관광,79062
202211,역사관광,6755
202211,자연관광,913
202211,레저스포츠,8118
202211,체험관광,67
202212,숙박,53671
202212,음식,332917
202212,기타관광,53697
202212,쇼핑,130436
202212,문화관광,68882
202212,자연관광,608
202212,레저스포츠,5769
202212,역사관광,3865
202212,체험관광,80
202301,숙박,43198
202301,음식,312291
202301,기타관광,54659
202301,쇼핑,131663
202301,문화관광,65736
202301,역사관광,4916
202301,자연관광,689
202301,레저스포츠,5783
202301,체험관광,60
202302,기타관광,47654
202302,쇼핑,118465
202302,숙박,46364
202302,음식,319273
202302,문화관광,64596
202302,역사관광,4735
202302,자연관광,760
202302,레저스포츠,6731
202302,체험관광,49
202303,기타관광,51686
202303,쇼핑,132662
202303,숙박,50304
202303,음식,332252
202303,문화관광,77901
202303,역사관광,5538
202303,레저스포츠,7313
202303,체험관광,77
202303,자연관광,1477
202304,기타관광,59094
202304,쇼핑,131642
202304,숙박,56355
202304,음식,338730
202304,문화관광,86432
202304,역사관광,6238
202304,체험관광,475
202304,레저스포츠,11900
202304,자연관광,1690
202305,기타관광,59548
202305,쇼핑,135082
202305,숙박,55722
202305,음식,346928
202305,문화관광,95837
202305,역사관광,7010
202305,자연관광,1623
202305,체험관광,328
202305,레저스포츠,12246
202306,기타관광,55133
202306,쇼핑,110910
202306,숙박,57413
202306,음식,357617
202306,문화관광,93840
202306,역사관광,5708
202306,체험관광,760
202306,레저스포츠,13042
202306,자연관광,1340
