기준연월,업종대분류명,소비액(천원)
202201,숙박업,2628033.0
202201,쇼핑업,6.9459127E7
202201,여가서비스업,4572038.0
202201,식음료업,5.0776812E7
202201,운송업,105407.0
202202,숙박업,2537061.0
202202,여행업,7963.0
202202,쇼핑업,5.9167798E7
202202,여가서비스업,4014237.0
202202,식음료업,4.1280892E7
202202,운송업,118638.0
202203,숙박업,2954387.0
202203,여행업,2848.0
202203,쇼핑업,6.7482431E7
202203,여가서비스업,4659814.0
202203,식음료업,5.1161828E7
202203,운송업,78177.0
202204,숙박업,3568219.0
202204,여행업,12570.0
202204,쇼핑업,7.2613623E7
202204,여가서비스업,5532033.0
202204,식음료업,6.1832274E7
202204,운송업,122433.0
202205,숙박업,3634666.0
202205,여행업,19589.0
202205,쇼핑업,7.7407654E7
202205,여가서비스업,6622906.0
202205,식음료업,7.1900127E7
202205,운송업,113664.0
202206,숙박업,3633275.0
202206,여행업,10882.0
202206,쇼핑업,7.906097E7
202206,여가서비스업,6318377.0
202206,식음료업,6.8571226E7
202206,운송업,101845.0
202207,숙박업,3382359.0
202207,여행업,18362.0
202207,쇼핑업,7.1953097E7
202207,여가서비스업,6344113.0
202207,식음료업,7.1354273E7
202207,운송업,90177.0
202208,숙박업,3421964.0
202208,여행업,6650.0
202208,쇼핑업,6.7395353E7
202208,여가서비스업,6363151.0
202208,식음료업,6.8127615E7
202208,운송업,115573.0
202209,숙박업,3247616.0
202209,쇼핑업,7.2529662E7
202209,여가서비스업,5843277.0
202209,식음료업,6.5740428E7
202209,운송업,91223.0
202210,숙박업,4236422.0
202210,여행업,31631.0
202210,쇼핑업,8.3704319E7
202210,여가서비스업,6032801.0
202210,식음료업,7.508248E7
202210,운송업,74344.0
202211,숙박업,3946939.0
202211,여행업,12016.0
202211,쇼핑업,7.6180459E7
202211,여가서비스업,5174785.0
202211,식음료업,6.8142097E7
202211,운송업,53847.0
202212,숙박업,4388021.0
202212,여행업,30799.0
202212,쇼핑업,8.2451049E7
202212,여가서비스업,5457672.0
202212,식음료업,7.4519238E7
202212,운송업,36193.0
202301,숙박업,3414316.0
202301,여행업,46340.0
202301,쇼핑업,7.3168697E7
202301,여가서비스업,5637445.0
202301,식음료업,6.8838267E7
202301,운송업,31694.0
202302,숙박업,3571870.0
202302,여행업,48942.0
202302,쇼핑업,6.6082607E7
202302,여가서비스업,5295263.0
202302,식음료업,6.6250718E7
202302,운송업,42710.0
202303,숙박업,3290201.0
202303,여행업,48975.0
202303,쇼핑업,7.4296761E7
202303,여가서비스업,5931202.0
202303,식음료업,7.2617345E7
202303,운송업,43599.0
202304,숙박업,3967760.0
202304,여행업,37760.0
202304,운송업,1310579.0
202304,쇼핑업,7.8491705E7
202304,여가서비스업,5800726.0
202304,식음료업,7.3323743E7
202305,숙박업,3712365.0
202305,여행업,34146.0
202305,운송업,6737224.0
202305,쇼핑업,7.7468701E7
202305,여가서비스업,6269172.0
202305,식음료업,7.6493633E7
202306,숙박업,3257145.0
202306,여행업,50095.0
202306,운송업,6415231.0
202306,쇼핑업,6.9230531E7
202306,여가서비스업,5937918.0
202306,식음료업,7.1143059E7
202201,여행업,3830.0
202209,여행업,18182.0
202201,전체,1.27545247E8
202202,전체,1.07126589E8
202203,전체,1.26339484E8
202204,전체,1.43681152E8
202205,전체,1.59698606E8
202206,전체,1.57696574E8
202207,전체,1.53142382E8
202208,전체,1.45430307E8
202209,전체,1.47470387E8
202210,전체,1.69161997E8
202211,전체,1.53510141E8
202212,전체,1.66882971E8
202301,전체,1.51136759E8
202302,전체,1.41292109E8
202303,전체,1.56228082E8
202304,전체,1.62932273E8
202305,전체,1.70715241E8
202306,전체,1.56033978E8
