기준연월,동반유형명,언급건수
202305,기타가족,584552
202207,기타가족,547616
202306,기타가족,533320
202206,기타가족,514624
202303,기타가족,504768
202304,기타가족,503344
202208,기타가족,502192
202301,기타가족,484904
202209,기타가족,480952
202211,기타가족,476184
202210,기타가족,473208
202205,기타가족,468152
202212,기타가족,462696
202302,기타가족,462288
202305,친구,353488
202204,기타가족,351920
202306,친구,351456
202303,친구,333352
202304,친구,324528
202207,친구,308616
202302,친구,306096
202203,기타가족,305288
202301,친구,302784
202208,친구,301568
202212,친구,296688
202201,기타가족,295336
202206,친구,294432
202211,친구,292376
202210,친구,289272
202209,친구,284232
202202,기타가족,277008
202305,부모님,273696
202205,친구,269608
202306,부모님,246872
202206,부모님,244192
202306,회사동료,239824
202305,회사동료,232304
202301,부모님,230248
202304,부모님,228072
202207,부모님,228016
202303,부모님,227304
202208,부모님,224592
202304,회사동료,219200
202205,부모님,214848
202209,부모님,213808
202211,부모님,212896
202210,부모님,208872
202302,부모님,202648
202204,친구,200968
202305,자녀,200968
202303,회사동료,200304
202303,자녀,200080
202212,부모님,196840
202306,자녀,196744
202201,친구,196576
202203,친구,194744
202206,회사동료,190640
202207,자녀,185688
202304,자녀,181600
202207,회사동료,181136
202211,자녀,177800
202212,회사동료,176032
202302,회사동료,175712
202202,친구,175552
202204,부모님,174976
202208,자녀,173600
202302,자녀,172792
202210,자녀,172152
202206,자녀,171968
202212,자녀,171360
202205,회사동료,169672
202205,자녀,166264
202211,회사동료,166264
202209,자녀,164912
202301,회사동료,164464
202301,자녀,164216
202210,회사동료,162472
202208,회사동료,162016
202209,회사동료,153264
202203,부모님,137440
202303,싱글,126992
202305,싱글,126752
202207,싱글,125728
202202,부모님,124776
202201,부모님,124176
202306,싱글,121744
202208,싱글,120264
202204,회사동료,119992
202210,싱글,119928
202206,싱글,117576
202203,회사동료,116104
202304,싱글,115912
202306,배우자,115584
202204,자녀,115568
202211,싱글,114824
202305,배우자,114592
202212,싱글,112520
202205,싱글,112152
202303,배우자,109472
202302,싱글,109184
202305,연인,108624
202301,싱글,107432
202304,배우자,107368
202209,싱글,106792
202201,자녀,106592
202203,자녀,106520
202201,회사동료,105464
202303,연인,105144
202202,자녀,101816
202306,연인,101576
202206,배우자,100984
202304,연인,100976
202301,배우자,95832
202202,회사동료,94504
202210,배우자,93768
202208,배우자,93120
202207,배우자,91920
202211,배우자,91384
202212,배우자,90408
202302,배우자,90320
202209,배우자,87408
202205,배우자,86536
202212,연인,85056
202208,연인,83832
202210,연인,83288
202211,연인,83216
202207,연인,82856
202302,연인,81968
202206,연인,79624
202301,연인,79216
202209,연인,78488
202204,싱글,73728
202306,학생,72976
202305,학생,70864
202203,싱글,70712
202303,학생,69568
202205,연인,69256
202201,싱글,68968
202202,싱글,65808
202204,배우자,65680
202212,학생,65360
202301,학생,63696
202204,연인,63656
202211,학생,62392
202302,학생,62256
202304,학생,61592
202207,학생,61296
202203,배우자,60464
202208,학생,59872
202203,연인,59464
202210,학생,54464
202201,연인,53648
202206,학생,53328
202209,학생,52312
202201,배우자,51792
202202,연인,51240
202205,학생,48880
202202,배우자,47568
202201,학생,39624
202203,학생,34560
202204,학생,33280
202202,학생,31760
