기준연월,업종대분류명,소비액(천원)
202201,숙박업,9806143.0
202201,여행업,51120.0
202201,운송업,4683529.0
202201,쇼핑업,1.07979187E8
202201,여가서비스업,7018538.0
202201,식음료업,9.0754858E7
202202,숙박업,8972331.0
202202,운송업,4202722.0
202202,쇼핑업,8.7801013E7
202202,여가서비스업,6429140.0
202202,식음료업,7.5809287E7
202202,여행업,93932.0
202203,숙박업,7667319.0
202203,여행업,92011.0
202203,운송업,4843786.0
202203,쇼핑업,9.9713987E7
202203,여가서비스업,7578412.0
202203,식음료업,8.6584918E7
202204,숙박업,9777154.0
202204,여행업,115935.0
202204,운송업,6473574.0
202204,쇼핑업,1.07600309E8
202204,여가서비스업,1.0025958E7
202204,식음료업,1.15167392E8
202205,숙박업,1.1196852E7
202205,여행업,172340.0
202205,운송업,6369726.0
202205,쇼핑업,1.12959251E8
202205,여가서비스업,1.2266391E7
202205,식음료업,1.34643063E8
202206,숙박업,1.1578536E7
202206,여행업,149627.0
202206,운송업,7081819.0
202206,쇼핑업,1.0829792E8
202206,여가서비스업,1.1633772E7
202206,식음료업,1.29075569E8
202207,숙박업,1.3991004E7
202207,여행업,120056.0
202207,운송업,8056732.0
202207,쇼핑업,1.06506317E8
202207,여가서비스업,1.1992753E7
202207,식음료업,1.37586949E8
202208,숙박업,1.4463922E7
202208,여행업,108858.0
202208,운송업,6949602.0
202208,쇼핑업,1.03637721E8
202208,여가서비스업,1.2408765E7
202208,식음료업,1.38420758E8
202209,숙박업,9732072.0
202209,여행업,120760.0
202209,운송업,6088537.0
202209,쇼핑업,1.04077711E8
202209,여가서비스업,1.0594451E7
202209,식음료업,1.19163979E8
202210,숙박업,1.137644E7
202210,운송업,6439340.0
202210,쇼핑업,1.19738119E8
202210,여가서비스업,1.1566203E7
202210,식음료업,1.3490075E8
202210,여행업,129404.0
202211,숙박업,9501118.0
202211,여행업,207251.0
202211,운송업,6769973.0
202211,쇼핑업,1.05687328E8
202211,여가서비스업,9436439.0
202211,식음료업,1.20984635E8
202212,숙박업,1.1308373E7
202212,여행업,122895.0
202212,운송업,7429240.0
202212,쇼핑업,1.15216567E8
202212,여가서비스업,8712300.0
202212,식음료업,1.34189742E8
202301,숙박업,1.0273731E7
202301,여행업,127232.0
202301,운송업,7393254.0
202301,쇼핑업,1.0553029E8
202301,여가서비스업,8250711.0
202301,식음료업,1.2564502E8
202302,숙박업,1.0560147E7
202302,여행업,188664.0
202302,운송업,8096334.0
202302,쇼핑업,9.3220518E7
202302,여가서비스업,8261706.0
202302,식음료업,1.22472963E8
202303,숙박업,8665192.0
202303,여행업,191911.0
202303,운송업,7470379.0
202303,쇼핑업,1.0743088E8
202303,여가서비스업,9410203.0
202303,식음료업,1.27989436E8
202304,숙박업,9394033.0
202304,여행업,189231.0
202304,운송업,6927842.0
202304,쇼핑업,1.10346639E8
202304,여가서비스업,9588595.0
202304,식음료업,1.30727192E8
202305,숙박업,1.0314405E7
202305,여행업,146190.0
202305,운송업,7749186.0
202305,쇼핑업,1.10042291E8
202305,여가서비스업,1.0214238E7
202305,식음료업,1.36145419E8
202306,숙박업,9587926.0
202306,여행업,135770.0
202306,운송업,7692088.0
202306,쇼핑업,1.01874143E8
202306,여가서비스업,1.0234758E7
202306,식음료업,1.2850179E8
202201,전체,2.20293375E8
202202,전체,1.83308426E8
202203,전체,2.06480434E8
202204,전체,2.49160322E8
202205,전체,2.77607623E8
202206,전체,2.67817242E8
202207,전체,2.78253811E8
202208,전체,2.75989625E8
202209,전체,2.4977751E8
202210,전체,2.84150256E8
202211,전체,2.52586744E8
202212,전체,2.76979117E8
202301,전체,2.57220238E8
202302,전체,2.4280033E8
202303,전체,2.61158001E8
202304,전체,2.67173532E8
202305,전체,2.7461173E8
202306,전체,2.58026474E8
