기준연월,목적지 유형,목적지 검색량
202201,숙박,158629
202201,음식,397390
202201,기타관광,84947
202201,쇼핑,401451
202201,문화관광,110458
202201,역사관광,49883
202201,자연관광,114691
202201,레저스포츠,22617
202201,체험관광,5331
202202,숙박,159961
202202,음식,404525
202202,기타관광,79857
202202,쇼핑,355735
202202,문화관광,105061
202202,레저스포츠,21903
202202,역사관광,46127
202202,자연관광,105893
202202,체험관광,4851
202203,숙박,141030
202203,음식,425162
202203,기타관광,73171
202203,쇼핑,365711
202203,문화관광,114907
202203,레저스포츠,26784
202203,역사관광,36294
202203,자연관광,103356
202203,체험관광,5248
202204,숙박,194492
202204,음식,574766
202204,기타관광,95339
202204,쇼핑,417618
202204,문화관광,213578
202204,역사관광,51020
202204,자연관광,126315
202204,레저스포츠,34071
202204,체험관광,6999
202205,숙박,237447
202205,음식,761499
202205,기타관광,103192
202205,쇼핑,453919
202205,자연관광,143092
202205,문화관광,236420
202205,레저스포츠,52588
202205,역사관광,71939
202205,체험관광,9404
202206,숙박,266760
202206,음식,828904
202206,기타관광,102898
202206,쇼핑,415491
202206,자연관광,127815
202206,문화관광,242073
202206,역사관광,53649
202206,레저스포츠,49037
202206,체험관광,10266
202207,숙박,310806
202207,음식,924965
202207,기타관광,111391
202207,쇼핑,452731
202207,자연관광,162070
202207,문화관광,251089
202207,레저스포츠,54239
202207,역사관광,53256
202207,체험관광,10206
202208,숙박,338421
202208,음식,982968
202208,기타관광,120438
202208,쇼핑,475419
202208,자연관광,185446
202208,문화관광,268797
202208,레저스포츠,55473
202208,역사관광,62572
202208,체험관광,11385
202209,숙박,219826
202209,음식,722121
202209,기타관광,103392
202209,쇼핑,439514
202209,자연관광,122405
202209,문화관광,207459
202209,역사관광,51853
202209,레저스포츠,44024
202209,체험관광,9307
202210,숙박,268421
202210,음식,815307
202210,기타관광,185798
202210,쇼핑,552481
202210,자연관광,139131
202210,문화관광,279065
202210,레저스포츠,56039
202210,역사관광,64123
202210,체험관광,10860
202211,숙박,240257
202211,음식,721631
202211,기타관광,171366
202211,쇼핑,500023
202211,자연관광,112743
202211,문화관광,218395
202211,레저스포츠,47843
202211,역사관광,56555
202211,체험관광,10489
202212,숙박,273658
202212,음식,847821
202212,기타관광,178028
202212,쇼핑,580451
202212,자연관광,112581
202212,문화관광,218999
202212,레저스포츠,35944
202212,역사관광,46939
202212,체험관광,14568
202301,숙박,224528
202301,음식,785782
202301,기타관광,187000
202301,쇼핑,549093
202301,자연관광,118240
202301,문화관광,189118
202301,역사관광,61657
202301,레저스포츠,30534
202301,체험관광,15572
202302,기타관광,177078
202302,쇼핑,490066
202302,숙박,237787
202302,음식,760435
202302,자연관광,111349
202302,문화관광,196503
202302,역사관광,53498
202302,레저스포츠,35549
202302,체험관광,12848
202303,기타관광,180816
202303,쇼핑,523102
202303,숙박,210713
202303,음식,774690
202303,자연관광,116741
202303,문화관광,214215
202303,역사관광,53324
202303,레저스포츠,45711
202303,체험관광,11024
202304,기타관광,187266
202304,쇼핑,540557
202304,숙박,243646
202304,음식,826317
202304,자연관광,126979
202304,문화관광,260490
202304,레저스포츠,58242
202304,역사관광,59872
202304,체험관광,12068
202305,기타관광,186439
202305,쇼핑,539638
202305,숙박,248257
202305,음식,843624
202305,자연관광,126455
202305,문화관광,243177
202305,레저스포츠,58238
202305,역사관광,77018
202305,체험관광,11928
202306,기타관광,188384
202306,쇼핑,471469
202306,숙박,256771
202306,음식,840108
202306,자연관광,138257
202306,문화관광,267649
202306,역사관광,61365
202306,레저스포츠,62242
202306,체험관광,11080
