기준연월,업종대분류명,소비액(천원)
202201,숙박업,3.3762151E7
202201,여행업,1657966.0
202201,운송업,4.7034417E7
202201,쇼핑업,3.08948966E8
202201,여가서비스업,2.6389264E7
202201,식음료업,4.27551418E8
202202,숙박업,3.1189856E7
202202,여행업,1407612.0
202202,운송업,4.3244264E7
202202,쇼핑업,2.67331308E8
202202,여가서비스업,2.4331638E7
202202,식음료업,3.59064942E8
202203,숙박업,3.0761766E7
202203,여행업,2143483.0
202203,운송업,5.5636064E7
202203,쇼핑업,3.05306102E8
202203,여가서비스업,2.6572266E7
202203,식음료업,4.33864523E8
202204,숙박업,3.5370932E7
202204,여행업,2591718.0
202204,운송업,7.2913587E7
202204,쇼핑업,3.32654415E8
202204,여가서비스업,3.2264472E7
202204,식음료업,5.35362302E8
202205,숙박업,3.8757508E7
202205,여행업,3185759.0
202205,운송업,8.1111338E7
202205,쇼핑업,3.46317403E8
202205,여가서비스업,4.5617228E7
202205,식음료업,6.01151613E8
202206,숙박업,3.7850312E7
202206,여행업,3101670.0
202206,운송업,8.0245242E7
202206,쇼핑업,3.39463928E8
202206,여가서비스업,4.5076214E7
202206,식음료업,5.6555203E8
202207,숙박업,4.1582259E7
202207,여행업,3199520.0
202207,운송업,7.6891782E7
202207,쇼핑업,3.29818254E8
202207,여가서비스업,4.882034E7
202207,식음료업,5.8065268E8
202208,숙박업,4.143588E7
202208,여행업,3245660.0
202208,운송업,7.7885397E7
202208,쇼핑업,3.09593743E8
202208,여가서비스업,4.6335646E7
202208,식음료업,5.46814656E8
202209,숙박업,3.3412688E7
202209,여행업,3431834.0
202209,운송업,7.2681666E7
202209,쇼핑업,3.0778428E8
202209,여가서비스업,3.8119456E7
202209,식음료업,5.34220295E8
202210,숙박업,3.8684204E7
202210,여행업,3998095.0
202210,운송업,7.7165931E7
202210,쇼핑업,3.44439596E8
202210,여가서비스업,3.6783914E7
202210,식음료업,5.90341963E8
202211,숙박업,3.4826489E7
202211,여행업,3600273.0
202211,운송업,7.6461658E7
202211,쇼핑업,3.2032014E8
202211,여가서비스업,3.1105509E7
202211,식음료업,5.49768369E8
202212,숙박업,4.1748982E7
202212,여행업,4825232.0
202212,운송업,7.383006E7
202212,쇼핑업,3.51941869E8
202212,여가서비스업,4.3227501E7
202212,식음료업,5.99239868E8
202301,숙박업,3.589129E7
202301,여행업,6012018.0
202301,운송업,7.995539E7
202301,쇼핑업,2.97800508E8
202301,여가서비스업,3.9619288E7
202301,식음료업,5.28473825E8
202302,숙박업,3.3368846E7
202302,여행업,6012237.0
202302,운송업,7.6360504E7
202302,쇼핑업,2.82491089E8
202302,여가서비스업,3.3841501E7
202302,식음료업,5.38171097E8
202303,숙박업,3.0529149E7
202303,여행업,6589032.0
202303,운송업,8.1637286E7
202303,쇼핑업,3.19081679E8
202303,여가서비스업,3.4882285E7
202303,식음료업,5.88932836E8
202304,숙박업,3.1900164E7
202304,여행업,6579904.0
202304,운송업,8.2842298E7
202304,쇼핑업,3.19768167E8
202304,여가서비스업,3.5871046E7
202304,식음료업,5.76514758E8
202305,숙박업,3.4445758E7
202305,여행업,7467041.0
202305,운송업,1.122508E8
202305,쇼핑업,3.34075897E8
202305,여가서비스업,4.0989098E7
202305,식음료업,5.86842636E8
202306,숙박업,2.9288443E7
202306,여행업,8224200.0
202306,운송업,1.01839996E8
202306,쇼핑업,3.03078724E8
202306,여가서비스업,4.0196302E7
202306,식음료업,5.58922409E8
202201,전체,8.45344183E8
202202,전체,7.2656962E8
202203,전체,8.54284204E8
202204,전체,1.011157426E9
202205,전체,1.116140848E9
202206,전체,1.071289396E9
202207,전체,1.080964835E9
202208,전체,1.025310982E9
202209,전체,9.89650219E8
202210,전체,1.091413702E9
202211,전체,1.016082438E9
202212,전체,1.114813513E9
202301,전체,9.87752319E8
202302,전체,9.70245273E8
202303,전체,1.061652267E9
202304,전체,1.053476337E9
202305,전체,1.11607123E9
202306,전체,1.041550073E9
