기준연월,동반유형명,언급건수
202206,기타가족,22102975
202207,기타가족,16095650
202205,기타가족,14534925
202206,친구,11813625
202305,기타가족,11737050
202206,부모님,11522600
202306,기타가족,11490475
202208,기타가족,10835575
202206,회사동료,10528625
202304,기타가족,10402000
202303,기타가족,10111500
202210,기타가족,9896525
202301,기타가족,9825875
202207,친구,9777725
202209,기타가족,9682175
202211,기타가족,9564725
202212,기타가족,9525525
202302,기타가족,9412050
202306,친구,8778000
202305,친구,8418150
202205,친구,8330525
202303,친구,8125575
202207,부모님,7870875
202304,친구,7853175
202207,회사동료,7414900
202205,부모님,7342800
202204,기타가족,7162925
202208,친구,7084925
202210,친구,7050675
202211,친구,7011150
202212,친구,6944425
202302,친구,6900800
202205,회사동료,6778525
202301,친구,6724700
202203,기타가족,6469350
202209,친구,6359950
202306,회사동료,5988600
202202,기타가족,5837075
202201,기타가족,5652550
202305,회사동료,5505675
202305,부모님,5398600
202304,회사동료,5289150
202204,친구,4993725
202303,회사동료,4979525
202306,부모님,4929575
202206,배우자,4774375
202203,친구,4575925
202303,부모님,4574250
202211,회사동료,4550650
202208,부모님,4509050
202301,부모님,4489475
202301,회사동료,4351700
202304,부모님,4347250
202212,회사동료,4343600
202302,회사동료,4319650
202209,부모님,4312825
202208,회사동료,4297625
202201,친구,4276525
202305,자녀,4213125
202210,부모님,4198525
202302,부모님,4192950
202211,부모님,4171325
202306,자녀,4167425
202210,회사동료,4139150
202202,친구,4129975
202212,부모님,4055100
202209,회사동료,3993325
202303,자녀,3980875
202304,자녀,3973675
202207,자녀,3910750
202212,자녀,3885125
202206,자녀,3867975
202208,자녀,3778700
202211,자녀,3750625
202205,자녀,3740575
202205,배우자,3736450
202302,자녀,3693500
202206,싱글,3617825
202301,자녀,3566600
202210,자녀,3529975
202207,싱글,3505175
202204,회사동료,3254675
202209,자녀,3249850
202204,부모님,3209825
202306,싱글,3116325
202205,싱글,2986550
202203,회사동료,2982875
202305,싱글,2974775
202207,배우자,2931375
202203,부모님,2918750
202208,싱글,2906975
202304,싱글,2837050
202303,싱글,2819625
202210,싱글,2804200
202209,싱글,2709350
202306,연인,2700925
202211,싱글,2695025
202305,연인,2648975
202212,싱글,2644050
202202,부모님,2643575
202301,싱글,2602025
202302,싱글,2586275
202202,회사동료,2537800
202304,연인,2423825
202201,부모님,2406250
202201,회사동료,2389175
202305,배우자,2377775
202303,연인,2376725
202306,배우자,2302200
202304,배우자,2286100
202204,자녀,2271200
202303,배우자,2263650
202302,연인,2176825
202208,배우자,2078725
202212,연인,2067850
202201,자녀,2050075
202210,연인,2043750
202212,배우자,2026525
202210,배우자,2015650
202203,자녀,2015075
202301,배우자,1998375
202302,배우자,1997550
202208,연인,1988800
202211,배우자,1980550
202211,연인,1980300
202209,배우자,1969775
202207,연인,1959575
202301,연인,1933450
202209,연인,1879450
202206,연인,1807650
202204,싱글,1777600
202202,자녀,1748850
202205,연인,1704450
202203,싱글,1656000
202201,싱글,1639300
202202,싱글,1483275
202306,학생,1439225
202204,연인,1425150
202305,학생,1422775
202303,학생,1403775
202207,학생,1403375
202204,배우자,1379375
202302,학생,1337425
202208,학생,1333825
202304,학생,1323675
202203,연인,1320150
202201,연인,1305625
202211,학생,1286650
202210,학생,1284650
202212,학생,1272475
202203,배우자,1253250
202301,학생,1233300
202206,학생,1182525
202202,연인,1169750
202209,학생,1152250
202201,배우자,1151850
202205,학생,1077000
202202,배우자,1049825
202203,학생,781475
202204,학생,761800
202201,학생,746825
202202,학생,677200
