기준연월,목적지 유형,목적지 검색량
202201,숙박,466317
202201,음식,1392904
202201,쇼핑,1481255
202201,기타관광,175460
202201,문화관광,603424
202201,역사관광,87388
202201,자연관광,8728
202201,레저스포츠,29193
202201,체험관광,1128
202202,숙박,479423
202202,음식,1456223
202202,쇼핑,1310800
202202,기타관광,174568
202202,문화관광,593261
202202,역사관광,88951
202202,자연관광,9625
202202,레저스포츠,27360
202202,체험관광,1212
202203,숙박,503562
202203,음식,1603734
202203,쇼핑,1420060
202203,기타관광,159218
202203,문화관광,673368
202203,역사관광,90128
202203,자연관광,13550
202203,레저스포츠,31631
202203,체험관광,1299
202204,숙박,606104
202204,음식,1925772
202204,쇼핑,1543707
202204,기타관광,215157
202204,문화관광,958666
202204,역사관광,122695
202204,자연관광,36122
202204,레저스포츠,36423
202204,체험관광,1438
202205,숙박,680501
202205,음식,2255354
202205,쇼핑,1701472
202205,기타관광,233403
202205,문화관광,1111255
202205,역사관광,158167
202205,자연관광,27540
202205,레저스포츠,39542
202205,체험관광,1516
202206,숙박,725312
202206,음식,2383080
202206,쇼핑,1697826
202206,기타관광,231237
202206,문화관광,1055320
202206,역사관광,119403
202206,자연관광,21274
202206,레저스포츠,38652
202206,체험관광,1741
202207,숙박,786897
202207,음식,2679302
202207,쇼핑,1858945
202207,기타관광,216505
202207,문화관광,1097954
202207,역사관광,111083
202207,자연관광,21039
202207,레저스포츠,40290
202207,체험관광,1712
202208,숙박,768619
202208,음식,2552184
202208,쇼핑,1875417
202208,기타관광,218858
202208,문화관광,1095061
202208,역사관광,118866
202208,자연관광,20241
202208,레저스포츠,39673
202208,체험관광,1648
202209,숙박,714718
202209,음식,2237431
202209,쇼핑,1818268
202209,기타관광,252135
202209,문화관광,1034021
202209,역사관광,144819
202209,자연관광,23129
202209,레저스포츠,35880
202209,체험관광,1731
202210,숙박,821352
202210,음식,2446942
202210,쇼핑,2094363
202210,기타관광,616682
202210,문화관광,1150665
202210,역사관광,158010
202210,자연관광,26668
202210,레저스포츠,42303
202210,체험관광,2350
202211,숙박,777068
202211,음식,2290659
202211,쇼핑,2024718
202211,기타관광,550630
202211,문화관광,910779
202211,역사관광,129294
202211,자연관광,15698
202211,레저스포츠,36396
202211,체험관광,2120
202212,숙박,830411
202212,음식,2746374
202212,쇼핑,2301299
202212,기타관광,528888
202212,문화관광,956411
202212,역사관광,98474
202212,자연관광,11437
202212,레저스포츠,37183
202212,체험관광,2312
202301,숙박,642506
202301,음식,2305909
202301,쇼핑,2044941
202301,기타관광,537050
202301,문화관광,839939
202301,역사관광,110180
202301,자연관광,9313
202301,레저스포츠,44624
202301,체험관광,2104
202302,쇼핑,1823846
202302,숙박,654930
202302,음식,2266106
202302,기타관광,513245
202302,문화관광,881738
202302,역사관광,101226
202302,자연관광,11162
202302,레저스포츠,39947
202302,체험관광,2473
202303,쇼핑,1969134
202303,숙박,685528
202303,음식,2344914
202303,기타관광,545646
202303,문화관광,969617
202303,역사관광,121631
202303,자연관광,21730
202303,레저스포츠,42129
202303,체험관광,3542
202304,쇼핑,1958002
202304,숙박,736692
202304,음식,2386974
202304,기타관광,593629
202304,문화관광,1063725
202304,역사관광,135695
202304,자연관광,29937
202304,레저스포츠,67687
202304,체험관광,7117
202305,쇼핑,1994464
202305,숙박,723432
202305,음식,2416071
202305,기타관광,603534
202305,문화관광,1090282
202305,역사관광,155304
202305,자연관광,23925
202305,레저스포츠,65751
202305,체험관광,7255
202306,쇼핑,1709817
202306,숙박,730646
202306,음식,2397198
202306,기타관광,587583
202306,문화관광,1093374
202306,역사관광,123464
202306,자연관광,23454
202306,레저스포츠,70028
202306,체험관광,6754
