기준연월,동반유형명,언급건수
202305,기타가족,130945
202306,기타가족,124040
202206,기타가족,121010
202207,기타가족,118655
202208,기타가족,117850
202304,기타가족,116655
202205,기타가족,113520
202209,기타가족,113175
202303,기타가족,111935
202210,기타가족,108880
202301,기타가족,106215
202302,기타가족,105330
202211,기타가족,99235
202212,기타가족,99175
202306,친구,74555
202203,기타가족,73185
202305,친구,72275
202303,친구,71485
202204,기타가족,69920
202201,기타가족,69345
202202,기타가족,67555
202304,친구,67375
202207,친구,65650
202208,친구,63675
202206,친구,63460
202206,부모님,63020
202210,친구,62690
202305,부모님,60935
202212,친구,60470
202301,친구,59815
202211,친구,59160
202302,친구,58250
202207,부모님,57110
202209,친구,57045
202306,부모님,55505
202205,친구,54685
202205,부모님,54090
202303,부모님,53115
202305,자녀,52110
202208,부모님,52015
202304,부모님,50095
202301,부모님,49145
202205,회사동료,48910
202210,부모님,48865
202209,부모님,48270
202206,회사동료,47610
202304,회사동료,46740
202303,자녀,46520
202306,회사동료,46120
202305,회사동료,45990
202212,부모님,45590
202302,부모님,45390
202303,회사동료,44995
202306,자녀,44535
202207,자녀,44345
202211,부모님,44340
202208,자녀,43980
202207,회사동료,43755
202212,회사동료,43190
202203,친구,42650
202304,자녀,42385
202302,자녀,41575
202204,친구,41300
202202,친구,41040
202210,자녀,40595
202212,자녀,40225
202201,친구,38960
202211,자녀,38725
202205,자녀,38155
202208,회사동료,37855
202210,회사동료,37675
202301,회사동료,37185
202209,자녀,37120
202206,자녀,36855
202209,회사동료,36240
202211,회사동료,35480
202301,자녀,35245
202302,회사동료,35005
202203,부모님,33110
202204,부모님,31235
202202,부모님,30765
202203,자녀,29865
202203,회사동료,29265
202201,자녀,28260
202210,싱글,27985
202201,부모님,27965
202306,배우자,27160
202207,싱글,26845
202305,배우자,26570
202304,배우자,26400
202201,회사동료,26240
202208,싱글,25890
202204,회사동료,25320
202305,싱글,25275
202202,회사동료,25220
202306,싱글,25020
202303,배우자,24920
202303,싱글,24650
202204,자녀,24085
202202,자녀,23915
202206,싱글,23780
202304,싱글,23495
202211,싱글,23275
202210,배우자,23095
202302,배우자,22745
202212,싱글,22705
202205,싱글,22645
202209,싱글,22395
202302,싱글,22320
202208,배우자,22155
202301,배우자,21705
202301,싱글,21470
202209,배우자,21435
202212,배우자,21415
202305,연인,21335
202306,연인,21335
202211,배우자,20930
202303,연인,19955
202207,배우자,19625
202205,배우자,19580
202304,연인,18995
202206,배우자,18740
202212,연인,16495
202208,연인,16360
202210,연인,16235
202211,연인,16080
202204,싱글,15880
202203,싱글,15685
202301,연인,15550
202206,연인,15520
202201,싱글,15445
202209,연인,15285
202302,연인,15125
202202,싱글,15090
202207,연인,14675
202203,배우자,14365
202205,연인,14135
202201,배우자,13795
202207,학생,13795
202302,학생,13780
202204,배우자,13595
202305,학생,13270
202208,학생,12995
202306,학생,12960
202303,학생,12805
202301,학생,12410
202304,학생,12065
202202,배우자,11585
202212,학생,10995
202204,연인,10760
202211,학생,10335
202201,연인,10320
202210,학생,10315
202203,연인,10255
202206,학생,10205
202209,학생,9885
202202,연인,9405
202205,학생,9305
202202,학생,8640
202201,학생,8605
202203,학생,8045
202204,학생,6500
