기준연월,업종대분류명,소비액(천원)
202201,숙박업,4743821.0
202201,운송업,2001536.0
202201,쇼핑업,4.4989198E7
202201,여가서비스업,4153860.0
202201,식음료업,5.6520813E7
202201,여행업,26430.0
202202,숙박업,4530937.0
202202,운송업,1714522.0
202202,쇼핑업,3.7380499E7
202202,여가서비스업,4483915.0
202202,식음료업,4.9191085E7
202202,여행업,21183.0
202203,숙박업,4374952.0
202203,운송업,1942802.0
202203,쇼핑업,4.4743476E7
202203,여가서비스업,7641814.0
202203,식음료업,6.0080664E7
202203,여행업,17650.0
202204,숙박업,5025270.0
202204,여행업,28368.0
202204,운송업,2698082.0
202204,쇼핑업,5.0560093E7
202204,여가서비스업,9337635.0
202204,식음료업,7.4323542E7
202205,숙박업,5736201.0
202205,여행업,52932.0
202205,운송업,3133403.0
202205,쇼핑업,5.4213633E7
202205,여가서비스업,1.1261321E7
202205,식음료업,8.6262681E7
202206,숙박업,5643988.0
202206,여행업,48213.0
202206,운송업,3164828.0
202206,쇼핑업,4.988588E7
202206,여가서비스업,1.047326E7
202206,식음료업,8.0402738E7
202207,숙박업,6925670.0
202207,운송업,2712361.0
202207,쇼핑업,5.313416E7
202207,여가서비스업,1.0568617E7
202207,식음료업,8.9040175E7
202207,여행업,35837.0
202208,숙박업,7582309.0
202208,여행업,42272.0
202208,운송업,2821881.0
202208,쇼핑업,5.0463008E7
202208,여가서비스업,1.019447E7
202208,식음료업,8.9132194E7
202209,숙박업,5793360.0
202209,여행업,39670.0
202209,운송업,2330725.0
202209,쇼핑업,5.3079975E7
202209,여가서비스업,1.0494888E7
202209,식음료업,8.5572747E7
202210,숙박업,6338773.0
202210,여행업,39590.0
202210,운송업,3322456.0
202210,쇼핑업,6.0056462E7
202210,여가서비스업,1.0898959E7
202210,식음료업,9.3253564E7
202211,숙박업,5456009.0
202211,여행업,33726.0
202211,운송업,2495067.0
202211,쇼핑업,5.3400295E7
202211,여가서비스업,9206675.0
202211,식음료업,8.1388231E7
202212,숙박업,6355349.0
202212,운송업,2562700.0
202212,쇼핑업,5.8642387E7
202212,여가서비스업,5196440.0
202212,식음료업,8.7823927E7
202212,여행업,13608.0
202301,숙박업,5914927.0
202301,운송업,2776276.0
202301,쇼핑업,5.5631875E7
202301,여가서비스업,5036742.0
202301,식음료업,8.4798724E7
202301,여행업,7466.0
202302,숙박업,5233603.0
202302,운송업,2774429.0
202302,쇼핑업,4.9758321E7
202302,여가서비스업,5740818.0
202302,식음료업,8.397587E7
202302,여행업,10580.0
202303,숙박업,4576855.0
202303,운송업,3262910.0
202303,쇼핑업,5.7799925E7
202303,여가서비스업,7971954.0
202303,식음료업,9.1062428E7
202303,여행업,16930.0
202304,숙박업,5097771.0
202304,여행업,30253.0
202304,운송업,3255570.0
202304,쇼핑업,6.0649438E7
202304,여가서비스업,9397900.0
202304,식음료업,9.4262228E7
202305,숙박업,5638931.0
202305,여행업,40797.0
202305,운송업,4431657.0
202305,쇼핑업,6.2874959E7
202305,여가서비스업,1.0486032E7
202305,식음료업,9.7197101E7
202306,숙박업,5232999.0
202306,운송업,3745981.0
202306,쇼핑업,5.7360007E7
202306,여가서비스업,1.1013736E7
202306,식음료업,9.2850531E7
202306,여행업,24410.0
202201,전체,1.12435659E8
202202,전체,9.7322139E7
202203,전체,1.18801357E8
202204,전체,1.41972991E8
202205,전체,1.60660171E8
202206,전체,1.49618907E8
202207,전체,1.62416821E8
202208,전체,1.60236134E8
202209,전체,1.57311366E8
202210,전체,1.73909804E8
202211,전체,1.51980003E8
202212,전체,1.60594411E8
202301,전체,1.54166011E8
202302,전체,1.47493622E8
202303,전체,1.64691002E8
202304,전체,1.7269316E8
202305,전체,1.80669477E8
202306,전체,1.70227665E8
