기준연월,동반유형명,언급건수
202305,기타가족,1188396
202306,기타가족,1169531
202304,기타가족,1012979
202303,기타가족,971905
202206,기타가족,935275
202207,기타가족,930457
202208,기타가족,929269
202301,기타가족,893673
202205,기타가족,865304
202302,기타가족,852126
202210,기타가족,845801
202209,기타가족,840796
202212,기타가족,813274
202211,기타가족,801031
202306,친구,669438
202305,친구,628540
202304,친구,612788
202204,기타가족,578105
202303,친구,549065
202306,회사동료,524073
202203,기타가족,522478
202305,부모님,503910
202202,기타가족,502029
202305,회사동료,494274
202201,기타가족,483516
202207,친구,480546
202306,부모님,471097
202302,친구,463661
202304,회사동료,463375
202206,친구,449625
202305,자녀,449240
202301,친구,447084
202212,친구,444290
202306,자녀,441914
202208,친구,440363
202210,친구,439703
202303,회사동료,428395
202205,친구,426624
202303,부모님,421465
202209,친구,419518
202211,친구,416900
202304,부모님,414865
202303,자녀,409860
202206,부모님,402666
202304,자녀,402611
202207,부모님,399377
202210,부모님,392975
202205,자녀,390302
202208,부모님,379610
202205,부모님,379566
202301,부모님,378389
202207,자녀,375969
202206,자녀,372361
202302,자녀,369754
202302,부모님,367092
202302,회사동료,358160
202209,부모님,356444
202301,회사동료,349415
202212,부모님,338580
202212,자녀,336578
202211,자녀,336413
202212,회사동료,335148
202206,회사동료,334114
202210,자녀,332838
202211,부모님,328878
202208,자녀,327745
202301,자녀,326887
202209,자녀,326766
202207,회사동료,323543
202209,회사동료,320265
202205,회사동료,316822
202210,회사동료,316778
202211,회사동료,314380
202208,회사동료,313566
202204,친구,296989
202202,부모님,283723
202204,자녀,266937
202203,친구,264792
202204,부모님,255673
202201,친구,254815
202202,친구,243023
202203,자녀,237930
202306,배우자,230373
202203,부모님,227876
202306,연인,220902
202305,배우자,220231
202306,싱글,218581
202303,배우자,211266
202304,배우자,210958
202305,싱글,209231
202201,부모님,206833
202204,회사동료,206107
202208,배우자,202213
202305,연인,201454
202202,자녀,199771
202303,싱글,197890
202201,자녀,196570
202304,싱글,195184
202203,회사동료,194106
202201,회사동료,193996
202302,배우자,192665
202207,싱글,192621
202205,배우자,186483
202207,배우자,184690
202206,싱글,182512
202208,싱글,178783
202303,연인,178156
202206,배우자,177452
202302,싱글,177188
202205,싱글,176462
202212,싱글,176352
202301,배우자,171226
202210,싱글,170720
202304,연인,168718
202301,싱글,167079
202211,싱글,166694
202209,싱글,164516
202202,회사동료,163856
202212,배우자,160105
202210,배우자,159819
202209,배우자,158774
202211,배우자,152812
202210,연인,152240
202204,배우자,150854
202302,연인,148346
202301,연인,144430
202212,연인,143341
202209,연인,137544
202208,연인,134915
202211,연인,133914
202206,연인,130526
202207,연인,128040
202205,연인,122870
202204,연인,117601
202302,학생,117106
202306,학생,115643
202207,학생,113234
202303,학생,112354
202304,학생,110517
202203,배우자,109604
202204,싱글,107360
202305,학생,104467
202201,싱글,103367
202203,싱글,102542
202208,학생,102487
202203,연인,99506
202206,학생,97317
202301,학생,95777
202201,연인,93533
202209,학생,93148
202211,학생,93093
202202,싱글,92147
202210,학생,92048
202212,학생,90783
202201,배우자,89892
202202,연인,86416
202202,배우자,86251
202205,학생,83677
202202,학생,69608
202204,학생,68651
202201,학생,60005
202203,학생,58025
