기준연월,동반유형명,언급건수
202305,기타가족,1979296
202306,기타가족,1844084
202304,기타가족,1709708
202303,기타가족,1601248
202208,기타가족,1554036
202205,기타가족,1481766
202206,기타가족,1471954
202209,기타가족,1460778
202301,기타가족,1424830
202210,기타가족,1390444
202302,기타가족,1376892
202211,기타가족,1375000
202207,기타가족,1334916
202212,기타가족,1219658
202204,기타가족,1094192
202201,기타가족,1077868
202203,기타가족,1061324
202202,기타가족,1000406
202305,부모님,997106
202306,부모님,938014
202306,자녀,904882
202305,자녀,884224
202206,부모님,877272
202303,부모님,870474
202304,부모님,860354
202304,자녀,829224
202306,친구,824010
202205,부모님,823944
202303,자녀,806784
202205,자녀,800536
202208,부모님,793188
202305,회사동료,771606
202305,친구,767426
202306,회사동료,730906
202209,부모님,721028
202207,부모님,715682
202206,자녀,705826
202301,부모님,704594
202208,자녀,704352
202210,자녀,690558
202210,부모님,689018
202207,자녀,686158
202211,자녀,673662
202304,친구,669658
202212,자녀,668932
202304,회사동료,664202
202209,자녀,663388
202211,부모님,660814
202302,부모님,653488
202303,친구,653268
202301,자녀,620708
202206,친구,619828
202302,자녀,612568
202208,친구,607640
202303,회사동료,600556
202204,자녀,597102
202212,부모님,594572
202203,자녀,592218
202204,부모님,588676
202212,회사동료,574222
202203,부모님,572330
202207,친구,545380
202207,회사동료,527472
202301,친구,527296
202202,부모님,525998
202210,친구,524898
202211,친구,514690
202205,회사동료,513150
202201,부모님,511280
202209,친구,510180
202206,회사동료,508178
202302,친구,505934
202209,회사동료,504548
202201,자녀,503250
202211,회사동료,492514
202212,친구,482064
202208,회사동료,479534
202205,친구,476938
202202,자녀,476366
202302,회사동료,470756
202210,회사동료,450340
202201,회사동료,448294
202301,회사동료,438966
202305,배우자,433400
202201,친구,417164
202306,배우자,395252
202203,회사동료,389884
202204,친구,380688
202202,회사동료,374550
202203,친구,365398
202204,회사동료,363946
202303,배우자,352352
202304,배우자,345994
202202,친구,339966
202205,배우자,331936
202211,배우자,308308
202206,배우자,304062
202306,싱글,298518
202302,배우자,289432
202208,배우자,288596
202207,배우자,278190
202210,배우자,271788
202212,배우자,269654
202204,배우자,265826
202301,배우자,264242
202305,싱글,263934
202306,연인,260524
202208,싱글,259688
202209,배우자,259182
202203,배우자,254826
202304,싱글,246884
202303,싱글,245652
202305,연인,237666
202207,싱글,236874
202206,싱글,235928
202205,싱글,231902
202303,연인,226776
202209,싱글,224400
202302,싱글,223608
202210,싱글,222530
202211,싱글,222244
202301,싱글,219758
202201,배우자,216964
202207,연인,212960
202202,배우자,209748
202212,싱글,209022
202304,연인,208978
202208,연인,205634
202210,연인,202268
202206,연인,191312
202204,싱글,184536
202212,연인,183722
202209,연인,177826
202301,연인,177298
202203,싱글,177144
202211,연인,175934
202305,학생,172128
202207,학생,171072
202303,학생,170830
202208,학생,165242
202205,연인,162580
202201,싱글,161304
202304,학생,159060
202202,싱글,158928
202306,학생,151624
202211,학생,148060
202210,학생,147730
202206,학생,145816
202302,연인,144694
202301,학생,141658
202204,연인,141526
202205,학생,136466
202212,학생,135938
202203,연인,135586
202209,학생,134222
202302,학생,126566
202202,연인,124872
202201,연인,119218
202201,학생,115786
202202,학생,100276
202203,학생,94930
202204,학생,83358
