기준연월,목적지 유형,목적지 검색량
202201,숙박,133730
202201,음식,276708
202201,기타관광,107100
202201,쇼핑,74985
202201,자연관광,94158
202201,문화관광,91661
202201,역사관광,56002
202201,레저스포츠,44621
202201,체험관광,3615
202202,숙박,136083
202202,음식,288881
202202,기타관광,97884
202202,쇼핑,64716
202202,자연관광,88258
202202,문화관광,91222
202202,역사관광,55640
202202,레저스포츠,44340
202202,체험관광,4110
202203,숙박,124860
202203,음식,316856
202203,기타관광,95714
202203,쇼핑,69413
202203,자연관광,91766
202203,문화관광,110303
202203,역사관광,79530
202203,레저스포츠,54839
202203,체험관광,19200
202204,숙박,190613
202204,음식,456840
202204,기타관광,165075
202204,쇼핑,86817
202204,자연관광,139611
202204,문화관광,160573
202204,역사관광,139732
202204,레저스포츠,75103
202204,체험관광,17632
202205,숙박,224571
202205,음식,541571
202205,기타관광,181314
202205,쇼핑,96326
202205,자연관광,153869
202205,문화관광,207610
202205,역사관광,94400
202205,체험관광,9193
202205,레저스포츠,86768
202206,숙박,235391
202206,음식,529937
202206,기타관광,153317
202206,쇼핑,87578
202206,자연관광,138843
202206,문화관광,182372
202206,역사관광,72078
202206,체험관광,8077
202206,레저스포츠,80967
202207,숙박,290446
202207,음식,608000
202207,기타관광,146365
202207,쇼핑,93095
202207,자연관광,159737
202207,문화관광,180256
202207,역사관광,65999
202207,체험관광,9226
202207,레저스포츠,76489
202208,숙박,354541
202208,음식,742420
202208,기타관광,195357
202208,쇼핑,109252
202208,자연관광,205222
202208,문화관광,233181
202208,역사관광,91910
202208,체험관광,11719
202208,레저스포츠,85610
202209,숙박,191161
202209,음식,472864
202209,기타관광,159150
202209,문화관광,153086
202209,쇼핑,89109
202209,자연관광,133157
202209,역사관광,90571
202209,체험관광,6009
202209,레저스포츠,71134
202210,숙박,264989
202210,음식,625247
202210,기타관광,335006
202210,문화관광,249615
202210,쇼핑,109323
202210,자연관광,171896
202210,역사관광,126441
202210,체험관광,7931
202210,레저스포츠,90228
202211,숙박,197710
202211,음식,480447
202211,기타관광,246816
202211,문화관광,147790
202211,쇼핑,91971
202211,자연관광,118927
202211,역사관광,114302
202211,체험관광,5720
202211,레저스포츠,76667
202212,숙박,176043
202212,음식,413251
202212,기타관광,180596
202212,문화관광,107761
202212,쇼핑,88056
202212,자연관광,72975
202212,역사관광,42509
202212,체험관광,4661
202212,레저스포츠,40369
202301,숙박,161826
202301,음식,425689
202301,기타관광,204528
202301,문화관광,117823
202301,쇼핑,92663
202301,자연관광,86747
202301,역사관광,55144
202301,체험관광,6946
202301,레저스포츠,34918
202302,기타관광,184214
202302,문화관광,131020
202302,쇼핑,84057
202302,숙박,183594
202302,음식,458804
202302,자연관광,87453
202302,역사관광,60033
202302,체험관광,7284
202302,레저스포츠,48074
202303,기타관광,222343
202303,문화관광,177585
202303,쇼핑,94288
202303,숙박,182100
202303,음식,512578
202303,자연관광,115894
202303,역사관광,130220
202303,체험관광,24998
202303,레저스포츠,63281
202304,기타관광,341930
202304,문화관광,210108
202304,쇼핑,103878
202304,숙박,235063
202304,음식,585476
202304,자연관광,137468
202304,역사관광,132800
202304,체험관광,12337
202304,레저스포츠,79748
202305,기타관광,297498
202305,문화관광,194702
202305,쇼핑,99570
202305,숙박,219962
202305,음식,561258
202305,자연관광,122700
202305,역사관광,87977
202305,체험관광,7029
202305,레저스포츠,79724
202306,기타관광,259703
202306,문화관광,150697
202306,쇼핑,80667
202306,숙박,224743
202306,음식,547268
202306,자연관광,126108
202306,역사관광,73534
202306,레저스포츠,86038
202306,체험관광,7133
