기준연월,업종대분류명,소비액(천원)
202201,숙박업,4383519.0
202201,쇼핑업,1.7607141E7
202201,여가서비스업,4203736.0
202201,식음료업,3.2994279E7
202201,운송업,24142.0
202202,숙박업,3436075.0
202202,쇼핑업,1.3596557E7
202202,여가서비스업,4318980.0
202202,식음료업,2.6894352E7
202202,운송업,21957.0
202203,숙박업,2151347.0
202203,여행업,7680.0
202203,쇼핑업,1.6019007E7
202203,여가서비스업,7185527.0
202203,식음료업,3.076139E7
202203,운송업,25488.0
202204,숙박업,2959019.0
202204,여행업,7128.0
202204,쇼핑업,1.883677E7
202204,여가서비스업,9721519.0
202204,식음료업,4.1172847E7
202204,운송업,28845.0
202205,숙박업,3239118.0
202205,여행업,11174.0
202205,쇼핑업,2.0122955E7
202205,여가서비스업,1.1230115E7
202205,식음료업,4.7409113E7
202205,운송업,32338.0
202206,숙박업,3137168.0
202206,여행업,12405.0
202206,쇼핑업,1.6808769E7
202206,여가서비스업,1.081907E7
202206,식음료업,4.3602121E7
202206,운송업,34229.0
202207,숙박업,3649120.0
202207,여행업,5792.0
202207,쇼핑업,1.6272415E7
202207,여가서비스업,9471710.0
202207,식음료업,4.4364195E7
202207,운송업,33732.0
202208,숙박업,4310306.0
202208,여행업,8107.0
202208,쇼핑업,1.4376524E7
202208,여가서비스업,9045628.0
202208,식음료업,4.6544146E7
202208,운송업,24743.0
202209,숙박업,2561382.0
202209,여행업,12787.0
202209,쇼핑업,1.4298248E7
202209,여가서비스업,8094858.0
202209,식음료업,3.6555639E7
202209,운송업,29239.0
202210,숙박업,3607071.0
202210,여행업,23039.0
202210,쇼핑업,1.6383686E7
202210,여가서비스업,9537017.0
202210,식음료업,4.2879195E7
202210,운송업,30852.0
202211,숙박업,2951518.0
202211,여행업,34257.0
202211,쇼핑업,1.4133355E7
202211,여가서비스업,7878142.0
202211,식음료업,3.6750721E7
202211,운송업,18705.0
202212,숙박업,3503739.0
202212,쇼핑업,1.5047088E7
202212,여가서비스업,3307234.0
202212,식음료업,3.2642916E7
202212,운송업,23638.0
202212,여행업,1751.0
202301,숙박업,4409333.0
202301,쇼핑업,1.3632015E7
202301,여가서비스업,2768804.0
202301,식음료업,3.3925344E7
202301,운송업,17871.0
202301,여행업,21237.0
202302,숙박업,3575471.0
202302,쇼핑업,1.1499783E7
202302,여가서비스업,3891666.0
202302,식음료업,3.3268842E7
202302,여행업,14911.0
202302,운송업,17098.0
202303,숙박업,2345220.0
202303,쇼핑업,1.428056E7
202303,여가서비스업,6331225.0
202303,식음료업,3.6323418E7
202303,여행업,7504.0
202303,운송업,40189.0
202304,숙박업,2939733.0
202304,쇼핑업,1.4209473E7
202304,여가서비스업,7550807.0
202304,식음료업,4.0167319E7
202304,여행업,27254.0
202304,운송업,18311.0
202305,숙박업,2906451.0
202305,여행업,37074.0
202305,쇼핑업,1.4763325E7
202305,여가서비스업,7876148.0
202305,식음료업,4.0987019E7
202305,운송업,33204.0
202306,숙박업,2758657.0
202306,여행업,20948.0
202306,쇼핑업,1.2043055E7
202306,여가서비스업,8024945.0
202306,식음료업,3.7092649E7
202306,운송업,13183.0
202201,여행업,740.0
202202,여행업,500.0
202201,전체,5.9213557E7
202202,전체,4.8268421E7
202203,전체,5.6150439E7
202204,전체,7.2726127E7
202205,전체,8.2044812E7
202206,전체,7.4413762E7
202207,전체,7.3796965E7
202208,전체,7.4309454E7
202209,전체,6.1552153E7
202210,전체,7.246086E7
202211,전체,6.1766698E7
202212,전체,5.4526367E7
202301,전체,5.4774603E7
202302,전체,5.2267771E7
202303,전체,5.9328116E7
202304,전체,6.4912896E7
202305,전체,6.660322E7
202306,전체,5.9953437E7
